[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 2865.45it/s]
logs/be3a4fa5-b8e4-4da6-82ed-1162db0a2beb.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 8, 65, 66, 67, 68, 72, 131, 132, 133, 134, 136] for warmup
Resetting Model
step:0/200 val_loss:10.8297 train_time:0ms step_avg:0.03ms
step:1/200 train_time:393ms step_avg:392.97ms step_ms:392.97 refresh:0
step:2/200 train_time:817ms step_avg:408.46ms step_ms:423.96 refresh:0
step:3/200 train_time:1264ms step_avg:421.40ms step_ms:447.29 refresh:0
step:4/200 train_time:1722ms step_avg:430.44ms step_ms:457.56 refresh:0
step:5/200 train_time:2177ms step_avg:435.32ms step_ms:454.84 refresh:0
step:6/200 train_time:2636ms step_avg:439.41ms step_ms:459.83 refresh:0
step:7/200 train_time:3100ms step_avg:442.85ms step_ms:463.54 refresh:0
step:8/200 train_time:3560ms step_avg:445.02ms step_ms:460.15 refresh:0
step:9/200 train_time:4023ms step_avg:447.04ms step_ms:463.23 refresh:0
step:10/200 train_time:4482ms step_avg:448.23ms step_ms:458.94 refresh:0
step:11/200 train_time:4944ms step_avg:449.43ms step_ms:461.45 refresh:0
step:12/200 train_time:5411ms step_avg:450.93ms step_ms:467.46 refresh:0
step:13/200 train_time:5896ms step_avg:453.56ms step_ms:485.08 refresh:0
step:14/200 train_time:6427ms step_avg:459.04ms step_ms:530.31 refresh:0
step:15/200 train_time:6958ms step_avg:463.88ms step_ms:531.60 refresh:0
step:16/200 train_time:7440ms step_avg:464.97ms step_ms:481.36 refresh:0
step:17/200 train_time:7920ms step_avg:465.88ms step_ms:480.42 refresh:0
step:18/200 train_time:8386ms step_avg:465.91ms step_ms:466.43 refresh:0
step:19/200 train_time:8860ms step_avg:466.30ms step_ms:473.21 refresh:0
step:20/200 train_time:9324ms step_avg:466.21ms step_ms:464.66 refresh:0
step:21/200 train_time:9882ms step_avg:470.56ms step_ms:557.49 refresh:0
step:22/200 train_time:10400ms step_avg:472.72ms step_ms:518.16 refresh:0
step:23/200 train_time:10897ms step_avg:473.78ms step_ms:497.02 refresh:0
step:24/200 train_time:11374ms step_avg:473.93ms step_ms:477.47 refresh:0
step:25/200 train_time:11862ms step_avg:474.49ms step_ms:487.85 refresh:0
step:26/200 train_time:12350ms step_avg:475.00ms step_ms:487.77 refresh:0
step:27/200 train_time:12834ms step_avg:475.32ms step_ms:483.71 refresh:0
step:28/200 train_time:13323ms step_avg:475.81ms step_ms:488.99 refresh:0
step:29/200 train_time:13814ms step_avg:476.33ms step_ms:490.80 refresh:0
step:30/200 train_time:14336ms step_avg:477.87ms step_ms:522.42 refresh:0
step:31/200 train_time:14940ms step_avg:481.93ms step_ms:603.84 refresh:0
step:32/200 train_time:15478ms step_avg:483.69ms step_ms:538.24 refresh:0
step:33/200 train_time:15973ms step_avg:484.04ms step_ms:495.27 refresh:0
step:34/200 train_time:16473ms step_avg:484.51ms step_ms:499.96 refresh:0
step:35/200 train_time:16973ms step_avg:484.96ms step_ms:500.15 refresh:0
step:36/200 train_time:17467ms step_avg:485.21ms step_ms:494.05 refresh:0
step:37/200 train_time:17955ms step_avg:485.28ms step_ms:487.75 refresh:0
step:38/200 train_time:18497ms step_avg:486.78ms step_ms:542.22 refresh:0
step:39/200 train_time:19075ms step_avg:489.11ms step_ms:577.85 refresh:0
step:40/200 train_time:19631ms step_avg:490.78ms step_ms:555.83 refresh:0
step:41/200 train_time:20144ms step_avg:491.32ms step_ms:512.95 refresh:0
step:42/200 train_time:20658ms step_avg:491.85ms step_ms:513.75 refresh:0
step:43/200 train_time:21166ms step_avg:492.23ms step_ms:508.04 refresh:0
step:44/200 train_time:21680ms step_avg:492.72ms step_ms:513.66 refresh:0
step:45/200 train_time:22204ms step_avg:493.43ms step_ms:524.83 refresh:0
step:46/200 train_time:22740ms step_avg:494.34ms step_ms:535.24 refresh:0
step:47/200 train_time:23267ms step_avg:495.04ms step_ms:527.06 refresh:0
step:48/200 train_time:23780ms step_avg:495.41ms step_ms:512.85 refresh:0
step:49/200 train_time:24321ms step_avg:496.35ms step_ms:541.49 refresh:0
step:50/200 train_time:24868ms step_avg:497.35ms step_ms:546.60 refresh:0
step:50/200 val_loss:5.6283 train_time:24957ms step_avg:499.13ms
step:51/200 train_time:25546ms step_avg:500.90ms step_ms:678.21 refresh:0
step:52/200 train_time:26230ms step_avg:504.42ms step_ms:684.00 refresh:0
step:53/200 train_time:26829ms step_avg:506.22ms step_ms:599.61 refresh:0
step:54/200 train_time:27393ms step_avg:507.28ms step_ms:563.67 refresh:0
step:55/200 train_time:27944ms step_avg:508.07ms step_ms:550.61 refresh:0
step:56/200 train_time:28505ms step_avg:509.02ms step_ms:561.41 refresh:0
step:57/200 train_time:29081ms step_avg:510.19ms step_ms:575.57 refresh:0
step:58/200 train_time:29660ms step_avg:511.39ms step_ms:579.77 refresh:0
step:59/200 train_time:30235ms step_avg:512.46ms step_ms:574.81 refresh:0
step:60/200 train_time:30813ms step_avg:513.55ms step_ms:577.56 refresh:0
step:61/200 train_time:31387ms step_avg:514.54ms step_ms:574.06 refresh:0
step:62/200 train_time:31971ms step_avg:515.65ms step_ms:583.71 refresh:0
step:63/200 train_time:32548ms step_avg:516.64ms step_ms:577.83 refresh:0
step:64/200 train_time:33124ms step_avg:517.56ms step_ms:575.34 refresh:0
step:65/200 train_time:33700ms step_avg:518.46ms step_ms:576.13 refresh:0
step:66/200 train_time:34282ms step_avg:519.43ms step_ms:582.60 refresh:0
step:67/200 train_time:34866ms step_avg:520.39ms step_ms:583.74 refresh:0
step:68/200 train_time:36085ms step_avg:530.67ms step_ms:1219.22 refresh:0
step:69/200 train_time:37311ms step_avg:540.74ms step_ms:1225.93 refresh:0
step:70/200 train_time:38510ms step_avg:550.15ms step_ms:1199.01 refresh:0
step:71/200 train_time:39664ms step_avg:558.64ms step_ms:1153.23 refresh:0
step:72/200 train_time:40823ms step_avg:566.99ms step_ms:1159.85 refresh:0
step:73/200 train_time:41981ms step_avg:575.08ms step_ms:1157.32 refresh:0
step:74/200 train_time:43249ms step_avg:584.45ms step_ms:1268.41 refresh:0
step:75/200 train_time:44490ms step_avg:593.20ms step_ms:1240.89 refresh:0
step:76/200 train_time:45707ms step_avg:601.41ms step_ms:1217.23 refresh:0
step:77/200 train_time:46911ms step_avg:609.23ms step_ms:1203.26 refresh:0
step:78/200 train_time:48127ms step_avg:617.01ms step_ms:1216.23 refresh:0
step:79/200 train_time:49325ms step_avg:624.37ms step_ms:1198.13 refresh:0
step:80/200 train_time:50534ms step_avg:631.67ms step_ms:1208.59 refresh:0
step:81/200 train_time:51739ms step_avg:638.75ms step_ms:1205.04 refresh:0
step:82/200 train_time:52957ms step_avg:645.81ms step_ms:1218.19 refresh:0
