[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 33825.03it/s]
logs/ed659f85-189a-4c3e-b577-7cc1a69828ae.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 65, 66, 67, 68, 131, 132, 133, 134, 198, 199, 200] for warmup
Resetting Model
step:0/200 val_loss:10.8274 train_time:0ms step_avg:0.03ms
step:1/200 train_time:334ms step_avg:334.03ms
step:2/200 train_time:685ms step_avg:342.58ms
step:3/200 train_time:1045ms step_avg:348.25ms
step:4/200 train_time:1401ms step_avg:350.28ms
step:5/200 train_time:1756ms step_avg:351.29ms
step:6/200 train_time:2114ms step_avg:352.33ms
step:7/200 train_time:2473ms step_avg:353.24ms
step:8/200 train_time:2827ms step_avg:353.38ms
step:9/200 train_time:3187ms step_avg:354.12ms
step:10/200 train_time:3546ms step_avg:354.56ms
step:11/200 train_time:3905ms step_avg:354.98ms
step:12/200 train_time:4265ms step_avg:355.39ms
step:13/200 train_time:4625ms step_avg:355.77ms
step:14/200 train_time:4983ms step_avg:355.96ms
step:15/200 train_time:5345ms step_avg:356.33ms
step:16/200 train_time:5703ms step_avg:356.45ms
step:17/200 train_time:6064ms step_avg:356.73ms
step:18/200 train_time:6423ms step_avg:356.81ms
step:19/200 train_time:6785ms step_avg:357.10ms
step:20/200 train_time:7143ms step_avg:357.14ms
step:21/200 train_time:7504ms step_avg:357.34ms
step:22/200 train_time:7862ms step_avg:357.38ms
step:23/200 train_time:8223ms step_avg:357.54ms
step:24/200 train_time:8582ms step_avg:357.58ms
step:25/200 train_time:8943ms step_avg:357.74ms
step:26/200 train_time:9303ms step_avg:357.81ms
step:27/200 train_time:9664ms step_avg:357.92ms
step:28/200 train_time:10022ms step_avg:357.94ms
step:29/200 train_time:10385ms step_avg:358.09ms
step:30/200 train_time:10745ms step_avg:358.15ms
step:31/200 train_time:11104ms step_avg:358.20ms
step:32/200 train_time:11464ms step_avg:358.24ms
step:33/200 train_time:11824ms step_avg:358.31ms
step:34/200 train_time:12183ms step_avg:358.33ms
step:35/200 train_time:12544ms step_avg:358.41ms
step:36/200 train_time:12903ms step_avg:358.40ms
step:37/200 train_time:13264ms step_avg:358.48ms
step:38/200 train_time:13623ms step_avg:358.49ms
step:39/200 train_time:13984ms step_avg:358.57ms
step:40/200 train_time:14344ms step_avg:358.59ms
