[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 63791.70it/s]
logs/670668d0-c819-4bb9-9224-c602fad1b77d.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 18, 19, 20, 21, 38, 39, 40, 41, 58, 59, 60] for warmup
Resetting Model
step:0/60 val_loss:10.8284 train_time:0ms step_avg:0.04ms
step:1/60 train_time:344ms step_avg:343.76ms
step:2/60 train_time:692ms step_avg:346.14ms
step:3/60 train_time:1051ms step_avg:350.34ms
step:4/60 train_time:1407ms step_avg:351.81ms
step:5/60 train_time:1761ms step_avg:352.29ms
step:6/60 train_time:2118ms step_avg:352.97ms
step:7/60 train_time:2476ms step_avg:353.76ms
step:8/60 train_time:2830ms step_avg:353.80ms
step:9/60 train_time:3191ms step_avg:354.51ms
step:10/60 train_time:3551ms step_avg:355.06ms
step:11/60 train_time:3906ms step_avg:355.11ms
step:12/60 train_time:4265ms step_avg:355.38ms
step:13/60 train_time:4625ms step_avg:355.74ms
step:14/60 train_time:4983ms step_avg:355.91ms
step:15/60 train_time:5342ms step_avg:356.17ms
step:16/60 train_time:5704ms step_avg:356.49ms
step:17/60 train_time:6061ms step_avg:356.52ms
step:18/60 train_time:6419ms step_avg:356.61ms
step:19/60 train_time:6779ms step_avg:356.79ms
step:20/60 train_time:7136ms step_avg:356.79ms
step:20/60 val_loss:6.5474 train_time:7203ms step_avg:360.17ms
step:21/60 train_time:7767ms step_avg:369.87ms
step:22/60 train_time:8435ms step_avg:383.40ms
step:23/60 train_time:9100ms step_avg:395.64ms
step:24/60 train_time:9764ms step_avg:406.83ms
step:25/60 train_time:10429ms step_avg:417.17ms
step:26/60 train_time:11094ms step_avg:426.69ms
step:27/60 train_time:11761ms step_avg:435.61ms
step:28/60 train_time:12429ms step_avg:443.90ms
step:29/60 train_time:13095ms step_avg:451.57ms
step:30/60 train_time:13764ms step_avg:458.81ms
step:31/60 train_time:14433ms step_avg:465.58ms
step:32/60 train_time:15099ms step_avg:471.86ms
step:33/60 train_time:15767ms step_avg:477.79ms
step:34/60 train_time:16434ms step_avg:483.36ms
step:35/60 train_time:17102ms step_avg:488.62ms
step:36/60 train_time:17768ms step_avg:493.56ms
step:37/60 train_time:18437ms step_avg:498.30ms
step:38/60 train_time:19105ms step_avg:502.75ms
step:39/60 train_time:19772ms step_avg:506.97ms
step:40/60 train_time:20441ms step_avg:511.02ms
step:40/60 val_loss:5.4233 train_time:20548ms step_avg:513.70ms
step:41/60 train_time:21397ms step_avg:521.87ms
step:42/60 train_time:22385ms step_avg:532.98ms
step:43/60 train_time:23376ms step_avg:543.62ms
step:44/60 train_time:24368ms step_avg:553.81ms
step:45/60 train_time:25358ms step_avg:563.51ms
step:46/60 train_time:26349ms step_avg:572.80ms
step:47/60 train_time:27340ms step_avg:581.71ms
step:48/60 train_time:28329ms step_avg:590.19ms
step:49/60 train_time:29320ms step_avg:598.37ms
step:50/60 train_time:30311ms step_avg:606.23ms
step:51/60 train_time:31304ms step_avg:613.80ms
step:52/60 train_time:32296ms step_avg:621.08ms
step:53/60 train_time:33287ms step_avg:628.06ms
step:54/60 train_time:34277ms step_avg:634.75ms
step:55/60 train_time:35270ms step_avg:641.28ms
step:56/60 train_time:36263ms step_avg:647.55ms
step:57/60 train_time:37251ms step_avg:653.53ms
step:58/60 train_time:38242ms step_avg:659.35ms
step:59/60 train_time:39230ms step_avg:664.91ms
step:60/60 train_time:40218ms step_avg:670.29ms
step:60/60 val_loss:4.8502 train_time:40365ms step_avg:672.76ms
peak memory allocated: 37326 MiB reserved: 53018 MiB
