track3_locom_runner source=records/track_3_optimization/train_gpt_simple.py generated=/tmp/track3_from2000_floor009_to2400_213135.py steps=2400 trials=1 nproc=1 mbs=16 trial_arg_mode=positional-count
track3_locom_source_sha source=3191da541544c96aa4a4a9dfdde8a8e1fa674620583b69c61f10818c74c1436b generator=d531e33ce23d51002c957fcc78dd20b60f95396fc2b6045993de8c47bd3c047d generated=2e36f73914723db9d20e8a6ff5c02151b64d6153f85b89ebf72818818f950594
logs/cef98661-8dbe-4ff6-aa60-6c9953fef568.txt
track3_trial_seed=3710 trial=0
locoprop_m_owner rank=0 world=1 owned_layers=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] sample_tokens=2048 gather_samples=True accum_samples=False micro_sample_tokens=32 aux_capture=False aux_seqs=16 batched_prep=False
track3_checkpoint_loaded path:/root/.cache/track3_checkpoints/track3_noloco_slope_seed3710_seed3710_step2000.pt step:2000 seed:3710 val_loss:None load_optimizers:True
track3_resume_advanced_data steps:2000
step:2000/2400 val_loss:3.37333 train_time:0.000s step_avg:nanms
step:2001/2400 train_time:3.121s step_avg:1.56ms
step:2002/2400 train_time:4.379s step_avg:2.19ms
step:2003/2400 train_time:5.639s step_avg:2.82ms
step:2004/2400 train_time:6.900s step_avg:3.44ms
step:2005/2400 train_time:8.161s step_avg:4.07ms
step:2006/2400 train_time:9.421s step_avg:4.70ms
step:2007/2400 train_time:10.684s step_avg:5.32ms
step:2008/2400 train_time:11.945s step_avg:5.95ms
step:2009/2400 train_time:13.208s step_avg:6.57ms
step:2010/2400 train_time:14.472s step_avg:7.20ms
step:2011/2400 train_time:15.735s step_avg:7.82ms
step:2012/2400 train_time:17.004s step_avg:8.45ms
step:2013/2400 train_time:18.267s step_avg:9.07ms
step:2014/2400 train_time:19.532s step_avg:9.70ms
step:2015/2400 train_time:20.799s step_avg:10.32ms
step:2016/2400 train_time:22.066s step_avg:10.95ms
step:2017/2400 train_time:23.329s step_avg:11.57ms
step:2018/2400 train_time:24.590s step_avg:12.19ms
step:2019/2400 train_time:25.861s step_avg:12.81ms
step:2020/2400 train_time:27.127s step_avg:13.43ms
step:2021/2400 train_time:28.394s step_avg:14.05ms
step:2022/2400 train_time:29.661s step_avg:14.67ms
step:2023/2400 train_time:30.927s step_avg:15.29ms
step:2024/2400 train_time:32.189s step_avg:15.90ms
step:2025/2400 train_time:33.456s step_avg:16.52ms
step:2025/2400 val_loss:3.37099 train_time:33.457s step_avg:1338.26ms
step:2026/2400 train_time:34.726s step_avg:17.14ms
step:2027/2400 train_time:35.988s step_avg:17.75ms
