track3_locom_runner source=records/track_3_optimization/train_gpt_simple.py generated=/tmp/track3_noloco_ckpt2000_2100_from1800_212259.py steps=2100 trials=1 nproc=1 mbs=16 trial_arg_mode=positional-count
track3_locom_source_sha source=3191da541544c96aa4a4a9dfdde8a8e1fa674620583b69c61f10818c74c1436b generator=d531e33ce23d51002c957fcc78dd20b60f95396fc2b6045993de8c47bd3c047d generated=5351ff33a990e35a208480d486ba6e69a3ec2cd02230248f89e2b98362116cfe
logs/10702ec3-aba3-40fe-88e4-ea9a8516c93b.txt
track3_trial_seed=3710 trial=0
locoprop_m_owner rank=0 world=1 owned_layers=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] sample_tokens=2048 gather_samples=True accum_samples=False micro_sample_tokens=32 aux_capture=False aux_seqs=16 batched_prep=False
track3_checkpoint_loaded path:/root/.cache/track3_checkpoints/track3_kdepth_k5-lr2e4_seed3710_step1800.pt step:1800 seed:3710 val_loss:None load_optimizers:True
track3_resume_advanced_data steps:1800
step:1800/2100 val_loss:3.39867 train_time:0.000s step_avg:nanms
step:1801/2100 train_time:3.116s step_avg:1.73ms
step:1802/2100 train_time:4.374s step_avg:2.43ms
step:1803/2100 train_time:5.633s step_avg:3.12ms
step:1804/2100 train_time:6.893s step_avg:3.82ms
step:1805/2100 train_time:8.154s step_avg:4.52ms
step:1806/2100 train_time:9.413s step_avg:5.21ms
step:1807/2100 train_time:10.676s step_avg:5.91ms
step:1808/2100 train_time:11.938s step_avg:6.60ms
step:1809/2100 train_time:13.199s step_avg:7.30ms
step:1810/2100 train_time:14.458s step_avg:7.99ms
step:1811/2100 train_time:15.718s step_avg:8.68ms
step:1812/2100 train_time:16.980s step_avg:9.37ms
step:1813/2100 train_time:18.239s step_avg:10.06ms
step:1814/2100 train_time:19.500s step_avg:10.75ms
step:1815/2100 train_time:20.763s step_avg:11.44ms
step:1816/2100 train_time:22.022s step_avg:12.13ms
step:1817/2100 train_time:23.282s step_avg:12.81ms
step:1818/2100 train_time:24.542s step_avg:13.50ms
step:1819/2100 train_time:25.803s step_avg:14.19ms
step:1820/2100 train_time:27.063s step_avg:14.87ms
step:1821/2100 train_time:28.325s step_avg:15.55ms
step:1822/2100 train_time:29.584s step_avg:16.24ms
step:1823/2100 train_time:30.844s step_avg:16.92ms
step:1824/2100 train_time:32.105s step_avg:17.60ms
step:1825/2100 train_time:33.370s step_avg:18.29ms
step:1825/2100 val_loss:3.39515 train_time:33.371s step_avg:1334.84ms
step:1826/2100 train_time:34.639s step_avg:18.97ms
step:1827/2100 train_time:35.907s step_avg:19.65ms
step:1828/2100 train_time:37.170s step_avg:20.33ms
step:1829/2100 train_time:38.432s step_avg:21.01ms
step:1830/2100 train_time:39.696s step_avg:21.69ms
step:1831/2100 train_time:40.962s step_avg:22.37ms
step:1832/2100 train_time:42.230s step_avg:23.05ms
step:1833/2100 train_time:43.489s step_avg:23.73ms
step:1834/2100 train_time:44.755s step_avg:24.40ms
step:1835/2100 train_time:46.016s step_avg:25.08ms
step:1836/2100 train_time:47.277s step_avg:25.75ms
step:1837/2100 train_time:48.535s step_avg:26.42ms
step:1838/2100 train_time:49.800s step_avg:27.09ms
step:1839/2100 train_time:51.063s step_avg:27.77ms
step:1840/2100 train_time:52.329s step_avg:28.44ms
