track3_locom_runner source=records/track_3_optimization/train_gpt_simple.py generated=/tmp/track3_suffix_bridge_bump150_2250_2650_from2125_seed3710_to2400.py steps=2400 trials=1 nproc=1 mbs=16 trial_arg_mode=positional-count
track3_locom_source_sha source=3191da541544c96aa4a4a9dfdde8a8e1fa674620583b69c61f10818c74c1436b generator=a0f1e20c02ec41b684a471db8bf45d7f75522dbe7ed843c9653298914b3809ed generated=f709d46ea19debd6ebd762e5ccb9628fdb958e452a3911d7d3a47e3450e90ed0
logs/785b42d5-503b-46bd-9087-42c75ab40900.txt
track3_trial_seed=3710 trial=0
locoprop_m_owner rank=0 world=1 owned_layers=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] sample_tokens=1024 gather_samples=True accum_samples=False micro_sample_tokens=32 aux_capture=False aux_seqs=16 batched_prep=False
track3_checkpoint_loaded path:/home/ubuntu/.cache/track3_checkpoints/track3_locom_2000_control_seed3710_seed3710_step2125.pt step:2125 seed:3710 val_loss:None load_optimizers:True
track3_resume_advanced_data steps:2125
step:2125/2400 val_loss:3.36215 train_time:0.000s step_avg:nanms
step:2126/2400 train_time:3.194s step_avg:1.50ms
step:2127/2400 train_time:4.449s step_avg:2.09ms
step:2128/2400 train_time:5.705s step_avg:2.68ms
step:2129/2400 train_time:6.965s step_avg:3.27ms
step:2130/2400 train_time:8.226s step_avg:3.86ms
step:2131/2400 train_time:9.481s step_avg:4.45ms
step:2132/2400 train_time:10.742s step_avg:5.04ms
step:2133/2400 train_time:12.001s step_avg:5.63ms
step:2134/2400 train_time:13.258s step_avg:6.21ms
step:2135/2400 train_time:14.520s step_avg:6.80ms
step:2136/2400 train_time:15.778s step_avg:7.39ms
step:2137/2400 train_time:17.037s step_avg:7.97ms
step:2138/2400 train_time:18.296s step_avg:8.56ms
step:2139/2400 train_time:19.554s step_avg:9.14ms
step:2140/2400 train_time:20.815s step_avg:9.73ms
step:2141/2400 train_time:22.079s step_avg:10.31ms
step:2142/2400 train_time:23.340s step_avg:10.90ms
step:2143/2400 train_time:24.601s step_avg:11.48ms
step:2144/2400 train_time:25.866s step_avg:12.06ms
step:2145/2400 train_time:27.126s step_avg:12.65ms
step:2146/2400 train_time:28.386s step_avg:13.23ms
step:2147/2400 train_time:29.646s step_avg:13.81ms
step:2148/2400 train_time:30.905s step_avg:14.39ms
step:2149/2400 train_time:32.160s step_avg:14.97ms
step:2150/2400 train_time:33.427s step_avg:15.55ms
step:2150/2400 val_loss:3.36004 train_time:33.427s step_avg:1337.07ms
step:2151/2400 train_time:34.687s step_avg:16.13ms
step:2152/2400 train_time:35.950s step_avg:16.71ms
step:2153/2400 train_time:37.208s step_avg:17.28ms
step:2154/2400 train_time:38.474s step_avg:17.86ms
step:2155/2400 train_time:39.732s step_avg:18.44ms
step:2156/2400 train_time:40.997s step_avg:19.02ms
step:2157/2400 train_time:42.256s step_avg:19.59ms
step:2158/2400 train_time:43.513s step_avg:20.16ms
step:2159/2400 train_time:44.776s step_avg:20.74ms
step:2160/2400 train_time:46.038s step_avg:21.31ms
step:2161/2400 train_time:47.298s step_avg:21.89ms
step:2162/2400 train_time:48.560s step_avg:22.46ms
step:2163/2400 train_time:49.821s step_avg:23.03ms
step:2164/2400 train_time:51.085s step_avg:23.61ms
step:2165/2400 train_time:52.346s step_avg:24.18ms
step:2166/2400 train_time:53.608s step_avg:24.75ms
step:2167/2400 train_time:54.874s step_avg:25.32ms
step:2168/2400 train_time:56.133s step_avg:25.89ms
step:2169/2400 train_time:57.394s step_avg:26.46ms
step:2170/2400 train_time:58.658s step_avg:27.03ms
step:2171/2400 train_time:59.918s step_avg:27.60ms
step:2172/2400 train_time:61.179s step_avg:28.17ms
step:2173/2400 train_time:62.440s step_avg:28.73ms
step:2174/2400 train_time:63.708s step_avg:29.30ms
step:2175/2400 train_time:64.970s step_avg:29.87ms
step:2175/2400 val_loss:3.35801 train_time:64.970s step_avg:1261.72ms
step:2176/2400 train_time:66.237s step_avg:30.44ms
step:2177/2400 train_time:67.499s step_avg:31.01ms
step:2178/2400 train_time:68.761s step_avg:31.57ms
step:2179/2400 train_time:70.023s step_avg:32.14ms
step:2180/2400 train_time:71.281s step_avg:32.70ms
step:2181/2400 train_time:72.543s step_avg:33.26ms
step:2182/2400 train_time:73.803s step_avg:33.82ms
step:2183/2400 train_time:75.065s step_avg:34.39ms
step:2184/2400 train_time:76.324s step_avg:34.95ms
step:2185/2400 train_time:77.585s step_avg:35.51ms
step:2186/2400 train_time:78.845s step_avg:36.07ms
step:2187/2400 train_time:80.109s step_avg:36.63ms
step:2188/2400 train_time:81.375s step_avg:37.19ms
step:2189/2400 train_time:82.640s step_avg:37.75ms
step:2190/2400 train_time:83.905s step_avg:38.31ms
step:2191/2400 train_time:85.171s step_avg:38.87ms
step:2192/2400 train_time:86.436s step_avg:39.43ms
step:2193/2400 train_time:87.696s step_avg:39.99ms
step:2194/2400 train_time:88.954s step_avg:40.54ms
step:2195/2400 train_time:90.217s step_avg:41.10ms
step:2196/2400 train_time:91.478s step_avg:41.66ms
step:2197/2400 train_time:92.742s step_avg:42.21ms
step:2198/2400 train_time:94.006s step_avg:42.77ms
step:2199/2400 train_time:95.270s step_avg:43.32ms
step:2200/2400 train_time:96.536s step_avg:43.88ms
step:2200/2400 val_loss:3.35626 train_time:96.536s step_avg:1262.63ms
step:2201/2400 train_time:97.810s step_avg:44.44ms
step:2202/2400 train_time:99.072s step_avg:44.99ms
step:2203/2400 train_time:100.338s step_avg:45.55ms
