track3_locom_runner source=records/track_3_optimization/train_gpt_simple.py generated=/tmp/track3_late_linear3000_noloco_h3000_from2400_seed3710_to2600.py steps=2600 trials=1 nproc=1 mbs=16 trial_arg_mode=positional-count
track3_locom_source_sha source=3191da541544c96aa4a4a9dfdde8a8e1fa674620583b69c61f10818c74c1436b generator=d531e33ce23d51002c957fcc78dd20b60f95396fc2b6045993de8c47bd3c047d generated=7bf44b91fdceb0a17bda386c8c4b682ce6f120c73a74e756b56e223f1e6378e2
logs/efa259c8-a2b0-46b1-a4f9-1083ee9aa1bd.txt
track3_trial_seed=3710 trial=0
locoprop_m_owner rank=0 world=1 owned_layers=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] sample_tokens=1024 gather_samples=True accum_samples=False micro_sample_tokens=32 aux_capture=False aux_seqs=16 batched_prep=False
track3_checkpoint_loaded path:/root/.cache/track3_checkpoints/track3_short2000_wr3105p120_mult035_hold2400_seed3710_step2400.pt step:2400 seed:3710 val_loss:None load_optimizers:True
track3_resume_advanced_data steps:2400
step:2400/2600 val_loss:3.34500 train_time:0.000s step_avg:nanms
step:2401/2600 train_time:27.037s step_avg:11.26ms
step:2402/2600 train_time:28.289s step_avg:11.78ms
step:2403/2600 train_time:29.544s step_avg:12.29ms
step:2404/2600 train_time:30.797s step_avg:12.81ms
step:2405/2600 train_time:32.061s step_avg:13.33ms
step:2406/2600 train_time:33.325s step_avg:13.85ms
step:2407/2600 train_time:34.578s step_avg:14.37ms
step:2408/2600 train_time:35.830s step_avg:14.88ms
step:2409/2600 train_time:37.085s step_avg:15.39ms
step:2410/2600 train_time:38.340s step_avg:15.91ms
step:2411/2600 train_time:39.594s step_avg:16.42ms
step:2412/2600 train_time:40.851s step_avg:16.94ms
step:2413/2600 train_time:42.104s step_avg:17.45ms
step:2414/2600 train_time:43.359s step_avg:17.96ms
step:2415/2600 train_time:44.614s step_avg:18.47ms
step:2416/2600 train_time:45.874s step_avg:18.99ms
step:2417/2600 train_time:47.128s step_avg:19.50ms
step:2418/2600 train_time:48.382s step_avg:20.01ms
step:2419/2600 train_time:49.638s step_avg:20.52ms
step:2420/2600 train_time:50.895s step_avg:21.03ms
step:2421/2600 train_time:52.154s step_avg:21.54ms
step:2422/2600 train_time:53.412s step_avg:22.05ms
step:2423/2600 train_time:54.667s step_avg:22.56ms
