track3_locom_runner source=records/track_3_optimization/train_gpt_simple.py generated=/tmp/track3_locom_2000_control_seed3710.py steps=2125 trials=1 nproc=1 mbs=16 trial_arg_mode=positional-count
track3_locom_source_sha source=3191da541544c96aa4a4a9dfdde8a8e1fa674620583b69c61f10818c74c1436b generator=d531e33ce23d51002c957fcc78dd20b60f95396fc2b6045993de8c47bd3c047d generated=c94a53d9da8ac23365fe9ed25bd635aa8176ff236224880112d7b389f8bc0a48
logs/9b6522a7-4791-4cf9-a3ce-a88acb8183fc.txt
track3_trial_seed=3710 trial=0
locoprop_m_owner rank=0 world=1 owned_layers=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] sample_tokens=1024 gather_samples=True accum_samples=False micro_sample_tokens=32 aux_capture=False aux_seqs=16 batched_prep=False
track3_checkpoint_loaded path:/home/ubuntu/.cache/track3_checkpoints/track3_locom_good2000_seed3710_step2000.pt step:2000 seed:3710 val_loss:None load_optimizers:True
track3_resume_advanced_data steps:2000
step:2000/2125 val_loss:3.37335 train_time:0.000s step_avg:nanms
step:2001/2125 train_time:20.501s step_avg:10.25ms
step:2002/2125 train_time:21.753s step_avg:10.87ms
step:2003/2125 train_time:23.007s step_avg:11.49ms
step:2004/2125 train_time:24.266s step_avg:12.11ms
step:2005/2125 train_time:25.523s step_avg:12.73ms
step:2006/2125 train_time:26.784s step_avg:13.35ms
step:2007/2125 train_time:28.045s step_avg:13.97ms
step:2008/2125 train_time:29.304s step_avg:14.59ms
step:2009/2125 train_time:30.567s step_avg:15.21ms
step:2010/2125 train_time:31.828s step_avg:15.83ms
step:2011/2125 train_time:33.090s step_avg:16.45ms
step:2012/2125 train_time:34.350s step_avg:17.07ms
step:2013/2125 train_time:35.609s step_avg:17.69ms
step:2014/2125 train_time:36.874s step_avg:18.31ms
step:2015/2125 train_time:38.134s step_avg:18.92ms
step:2016/2125 train_time:39.396s step_avg:19.54ms
step:2017/2125 train_time:40.656s step_avg:20.16ms
step:2018/2125 train_time:41.922s step_avg:20.77ms
step:2019/2125 train_time:43.187s step_avg:21.39ms
step:2020/2125 train_time:44.450s step_avg:22.00ms
step:2021/2125 train_time:45.712s step_avg:22.62ms
step:2022/2125 train_time:46.975s step_avg:23.23ms
step:2023/2125 train_time:48.239s step_avg:23.85ms
step:2024/2125 train_time:49.501s step_avg:24.46ms
step:2025/2125 train_time:50.768s step_avg:25.07ms
step:2025/2125 val_loss:3.37099 train_time:50.768s step_avg:2030.72ms
step:2026/2125 train_time:52.038s step_avg:25.69ms
step:2027/2125 train_time:53.302s step_avg:26.30ms
step:2028/2125 train_time:54.570s step_avg:26.91ms
step:2029/2125 train_time:55.834s step_avg:27.52ms
step:2030/2125 train_time:57.097s step_avg:28.13ms
step:2031/2125 train_time:58.358s step_avg:28.73ms
step:2032/2125 train_time:59.623s step_avg:29.34ms
step:2033/2125 train_time:60.887s step_avg:29.95ms
step:2034/2125 train_time:62.152s step_avg:30.56ms
step:2035/2125 train_time:63.414s step_avg:31.16ms
step:2036/2125 train_time:64.675s step_avg:31.77ms
step:2037/2125 train_time:65.935s step_avg:32.37ms
step:2038/2125 train_time:67.195s step_avg:32.97ms
step:2039/2125 train_time:68.456s step_avg:33.57ms
step:2040/2125 train_time:69.718s step_avg:34.18ms
step:2041/2125 train_time:70.981s step_avg:34.78ms
step:2042/2125 train_time:72.248s step_avg:35.38ms
step:2043/2125 train_time:73.509s step_avg:35.98ms
step:2044/2125 train_time:74.773s step_avg:36.58ms
step:2045/2125 train_time:76.035s step_avg:37.18ms
step:2046/2125 train_time:77.297s step_avg:37.78ms
step:2047/2125 train_time:78.559s step_avg:38.38ms
step:2048/2125 train_time:79.821s step_avg:38.98ms
step:2049/2125 train_time:81.087s step_avg:39.57ms
step:2050/2125 train_time:82.351s step_avg:40.17ms
step:2050/2125 val_loss:3.36867 train_time:82.351s step_avg:1263.33ms
step:2051/2125 train_time:83.618s step_avg:40.77ms
step:2052/2125 train_time:84.882s step_avg:41.37ms
step:2053/2125 train_time:86.145s step_avg:41.96ms
step:2054/2125 train_time:87.405s step_avg:42.55ms
step:2055/2125 train_time:88.667s step_avg:43.15ms
step:2056/2125 train_time:89.937s step_avg:43.74ms
step:2057/2125 train_time:91.202s step_avg:44.34ms
step:2058/2125 train_time:92.464s step_avg:44.93ms
step:2059/2125 train_time:93.723s step_avg:45.52ms
step:2060/2125 train_time:94.984s step_avg:46.11ms
step:2061/2125 train_time:96.249s step_avg:46.70ms
step:2062/2125 train_time:97.514s step_avg:47.29ms
step:2063/2125 train_time:98.780s step_avg:47.88ms
step:2064/2125 train_time:100.041s step_avg:48.47ms
step:2065/2125 train_time:101.304s step_avg:49.06ms
step:2066/2125 train_time:102.567s step_avg:49.65ms
step:2067/2125 train_time:103.831s step_avg:50.23ms
step:2068/2125 train_time:105.097s step_avg:50.82ms
step:2069/2125 train_time:106.364s step_avg:51.41ms
step:2070/2125 train_time:107.629s step_avg:51.99ms
step:2071/2125 train_time:108.897s step_avg:52.58ms
step:2072/2125 train_time:110.162s step_avg:53.17ms
step:2073/2125 train_time:111.429s step_avg:53.75ms
step:2074/2125 train_time:112.694s step_avg:54.34ms
step:2075/2125 train_time:113.959s step_avg:54.92ms
step:2075/2125 val_loss:3.36657 train_time:113.960s step_avg:1264.34ms
step:2076/2125 train_time:115.227s step_avg:55.50ms
step:2077/2125 train_time:116.497s step_avg:56.09ms
step:2078/2125 train_time:117.760s step_avg:56.67ms
step:2079/2125 train_time:119.025s step_avg:57.25ms
step:2080/2125 train_time:120.296s step_avg:57.83ms
step:2081/2125 train_time:121.564s step_avg:58.42ms
step:2082/2125 train_time:122.826s step_avg:58.99ms
step:2083/2125 train_time:124.094s step_avg:59.57ms
step:2084/2125 train_time:125.358s step_avg:60.15ms
step:2085/2125 train_time:126.625s step_avg:60.73ms
step:2086/2125 train_time:127.895s step_avg:61.31ms
step:2087/2125 train_time:129.164s step_avg:61.89ms
step:2088/2125 train_time:130.428s step_avg:62.47ms
step:2089/2125 train_time:131.693s step_avg:63.04ms
step:2090/2125 train_time:132.963s step_avg:63.62ms
step:2091/2125 train_time:134.245s step_avg:64.20ms
step:2092/2125 train_time:135.509s step_avg:64.77ms
step:2093/2125 train_time:136.778s step_avg:65.35ms
step:2094/2125 train_time:138.042s step_avg:65.92ms
step:2095/2125 train_time:139.305s step_avg:66.49ms
step:2096/2125 train_time:140.574s step_avg:67.07ms
step:2097/2125 train_time:141.844s step_avg:67.64ms
step:2098/2125 train_time:143.111s step_avg:68.21ms
step:2099/2125 train_time:144.378s step_avg:68.78ms
step:2100/2125 train_time:145.641s step_avg:69.35ms
step:2100/2125 val_loss:3.36420 train_time:145.642s step_avg:1267.28ms
step:2101/2125 train_time:146.910s step_avg:69.92ms
step:2102/2125 train_time:148.178s step_avg:70.49ms
step:2103/2125 train_time:149.445s step_avg:71.06ms
