track3_locom_runner source=records/track_3_optimization/train_gpt_simple.py generated=/tmp/track3_locom_2000_floor111_seed3710.py steps=2125 trials=1 nproc=1 mbs=16 trial_arg_mode=positional-count
track3_locom_source_sha source=3191da541544c96aa4a4a9dfdde8a8e1fa674620583b69c61f10818c74c1436b generator=d531e33ce23d51002c957fcc78dd20b60f95396fc2b6045993de8c47bd3c047d generated=c94a53d9da8ac23365fe9ed25bd635aa8176ff236224880112d7b389f8bc0a48
logs/c8721bdf-ac3a-4653-9815-d471621b2998.txt
track3_trial_seed=3710 trial=0
locoprop_m_owner rank=0 world=1 owned_layers=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] sample_tokens=1024 gather_samples=True accum_samples=False micro_sample_tokens=32 aux_capture=False aux_seqs=16 batched_prep=False
track3_checkpoint_loaded path:/home/ubuntu/.cache/track3_checkpoints/track3_locom_good2000_seed3710_step2000.pt step:2000 seed:3710 val_loss:None load_optimizers:True
track3_resume_advanced_data steps:2000
step:2000/2125 val_loss:3.37335 train_time:0.000s step_avg:nanms
step:2001/2125 train_time:3.119s step_avg:1.56ms
step:2002/2125 train_time:4.380s step_avg:2.19ms
step:2003/2125 train_time:5.643s step_avg:2.82ms
step:2004/2125 train_time:6.906s step_avg:3.45ms
step:2005/2125 train_time:8.175s step_avg:4.08ms
step:2006/2125 train_time:9.443s step_avg:4.71ms
step:2007/2125 train_time:10.713s step_avg:5.34ms
step:2008/2125 train_time:11.983s step_avg:5.97ms
step:2009/2125 train_time:13.254s step_avg:6.60ms
step:2010/2125 train_time:14.524s step_avg:7.23ms
step:2011/2125 train_time:15.791s step_avg:7.85ms
step:2012/2125 train_time:17.059s step_avg:8.48ms
step:2013/2125 train_time:18.330s step_avg:9.11ms
step:2014/2125 train_time:19.602s step_avg:9.73ms
step:2015/2125 train_time:20.866s step_avg:10.36ms
step:2016/2125 train_time:22.137s step_avg:10.98ms
step:2017/2125 train_time:23.404s step_avg:11.60ms
step:2018/2125 train_time:24.676s step_avg:12.23ms
step:2019/2125 train_time:25.942s step_avg:12.85ms
step:2020/2125 train_time:27.208s step_avg:13.47ms
step:2021/2125 train_time:28.475s step_avg:14.09ms
step:2022/2125 train_time:29.746s step_avg:14.71ms
step:2023/2125 train_time:31.011s step_avg:15.33ms
step:2024/2125 train_time:32.278s step_avg:15.95ms
step:2025/2125 train_time:33.543s step_avg:16.56ms
step:2025/2125 val_loss:3.37118 train_time:33.543s step_avg:1341.72ms
step:2026/2125 train_time:34.817s step_avg:17.19ms
step:2027/2125 train_time:36.078s step_avg:17.80ms
step:2028/2125 train_time:37.349s step_avg:18.42ms
step:2029/2125 train_time:38.610s step_avg:19.03ms
step:2030/2125 train_time:39.875s step_avg:19.64ms
step:2031/2125 train_time:41.140s step_avg:20.26ms
step:2032/2125 train_time:42.405s step_avg:20.87ms
step:2033/2125 train_time:43.673s step_avg:21.48ms
step:2034/2125 train_time:44.934s step_avg:22.09ms
step:2035/2125 train_time:46.200s step_avg:22.70ms
step:2036/2125 train_time:47.464s step_avg:23.31ms
step:2037/2125 train_time:48.732s step_avg:23.92ms
step:2038/2125 train_time:49.998s step_avg:24.53ms
step:2039/2125 train_time:51.260s step_avg:25.14ms
step:2040/2125 train_time:52.524s step_avg:25.75ms
step:2041/2125 train_time:53.794s step_avg:26.36ms
step:2042/2125 train_time:55.065s step_avg:26.97ms
step:2043/2125 train_time:56.331s step_avg:27.57ms
step:2044/2125 train_time:57.592s step_avg:28.18ms
step:2045/2125 train_time:58.857s step_avg:28.78ms
step:2046/2125 train_time:60.120s step_avg:29.38ms
step:2047/2125 train_time:61.384s step_avg:29.99ms
step:2048/2125 train_time:62.654s step_avg:30.59ms
