track3_locom_runner source=records/track_3_optimization/train_gpt_simple.py generated=/tmp/track3_locom_2000_ramp111_seed3710.py steps=2125 trials=1 nproc=1 mbs=16 trial_arg_mode=positional-count
track3_locom_source_sha source=3191da541544c96aa4a4a9dfdde8a8e1fa674620583b69c61f10818c74c1436b generator=d531e33ce23d51002c957fcc78dd20b60f95396fc2b6045993de8c47bd3c047d generated=c94a53d9da8ac23365fe9ed25bd635aa8176ff236224880112d7b389f8bc0a48
logs/3a6ffce6-c0c1-4f31-9b1c-8fb9b97f518d.txt
track3_trial_seed=3710 trial=0
locoprop_m_owner rank=0 world=1 owned_layers=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] sample_tokens=1024 gather_samples=True accum_samples=False micro_sample_tokens=32 aux_capture=False aux_seqs=16 batched_prep=False
track3_checkpoint_loaded path:/home/ubuntu/.cache/track3_checkpoints/track3_locom_good2000_seed3710_step2000.pt step:2000 seed:3710 val_loss:None load_optimizers:True
track3_resume_advanced_data steps:2000
step:2000/2125 val_loss:3.37335 train_time:0.000s step_avg:nanms
step:2001/2125 train_time:3.124s step_avg:1.56ms
step:2002/2125 train_time:4.384s step_avg:2.19ms
step:2003/2125 train_time:5.649s step_avg:2.82ms
step:2004/2125 train_time:6.908s step_avg:3.45ms
step:2005/2125 train_time:8.172s step_avg:4.08ms
step:2006/2125 train_time:9.438s step_avg:4.70ms
step:2007/2125 train_time:10.706s step_avg:5.33ms
step:2008/2125 train_time:11.967s step_avg:5.96ms
step:2009/2125 train_time:13.231s step_avg:6.59ms
step:2010/2125 train_time:14.497s step_avg:7.21ms
step:2011/2125 train_time:15.764s step_avg:7.84ms
step:2012/2125 train_time:17.029s step_avg:8.46ms
step:2013/2125 train_time:18.293s step_avg:9.09ms
step:2014/2125 train_time:19.560s step_avg:9.71ms
step:2015/2125 train_time:20.824s step_avg:10.33ms
step:2016/2125 train_time:22.090s step_avg:10.96ms
step:2017/2125 train_time:23.357s step_avg:11.58ms
step:2018/2125 train_time:24.623s step_avg:12.20ms
step:2019/2125 train_time:25.890s step_avg:12.82ms
step:2020/2125 train_time:27.155s step_avg:13.44ms
step:2021/2125 train_time:28.420s step_avg:14.06ms
step:2022/2125 train_time:29.688s step_avg:14.68ms
