track3_locom_runner source=records/track_3_optimization/train_gpt_simple.py generated=/tmp/track3_suffix_floor004_from2125_seed3710_to2400.py steps=2400 trials=1 nproc=1 mbs=16 trial_arg_mode=positional-count
track3_locom_source_sha source=3191da541544c96aa4a4a9dfdde8a8e1fa674620583b69c61f10818c74c1436b generator=d531e33ce23d51002c957fcc78dd20b60f95396fc2b6045993de8c47bd3c047d generated=2e36f73914723db9d20e8a6ff5c02151b64d6153f85b89ebf72818818f950594
logs/166cf13a-de94-4ed6-91f8-f7cacde2bc2b.txt
track3_trial_seed=3710 trial=0
locoprop_m_owner rank=0 world=1 owned_layers=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] sample_tokens=1024 gather_samples=True accum_samples=False micro_sample_tokens=32 aux_capture=False aux_seqs=16 batched_prep=False
track3_checkpoint_loaded path:/home/ubuntu/.cache/track3_checkpoints/track3_locom_2000_control_seed3710_seed3710_step2125.pt step:2125 seed:3710 val_loss:None load_optimizers:True
track3_resume_advanced_data steps:2125
step:2125/2400 val_loss:3.36216 train_time:0.000s step_avg:nanms
step:2126/2400 train_time:21.255s step_avg:10.00ms
step:2127/2400 train_time:22.504s step_avg:10.58ms
step:2128/2400 train_time:23.755s step_avg:11.16ms
step:2129/2400 train_time:25.012s step_avg:11.75ms
step:2130/2400 train_time:26.265s step_avg:12.33ms
step:2131/2400 train_time:27.521s step_avg:12.91ms
step:2132/2400 train_time:28.781s step_avg:13.50ms
step:2133/2400 train_time:30.034s step_avg:14.08ms
step:2134/2400 train_time:31.295s step_avg:14.67ms
step:2135/2400 train_time:32.552s step_avg:15.25ms
step:2136/2400 train_time:33.811s step_avg:15.83ms
step:2137/2400 train_time:35.067s step_avg:16.41ms
step:2138/2400 train_time:36.324s step_avg:16.99ms
step:2139/2400 train_time:37.583s step_avg:17.57ms
step:2140/2400 train_time:38.842s step_avg:18.15ms
step:2141/2400 train_time:40.102s step_avg:18.73ms
step:2142/2400 train_time:41.360s step_avg:19.31ms
step:2143/2400 train_time:42.618s step_avg:19.89ms
step:2144/2400 train_time:43.878s step_avg:20.47ms
step:2145/2400 train_time:45.138s step_avg:21.04ms
step:2146/2400 train_time:46.399s step_avg:21.62ms
step:2147/2400 train_time:47.662s step_avg:22.20ms
step:2148/2400 train_time:48.923s step_avg:22.78ms
step:2149/2400 train_time:50.182s step_avg:23.35ms
step:2150/2400 train_time:51.442s step_avg:23.93ms
step:2150/2400 val_loss:3.36004 train_time:51.443s step_avg:2057.72ms
step:2151/2400 train_time:52.708s step_avg:24.50ms
step:2152/2400 train_time:53.968s step_avg:25.08ms
step:2153/2400 train_time:55.226s step_avg:25.65ms
step:2154/2400 train_time:56.485s step_avg:26.22ms
step:2155/2400 train_time:57.747s step_avg:26.80ms
step:2156/2400 train_time:59.007s step_avg:27.37ms
step:2157/2400 train_time:60.267s step_avg:27.94ms
step:2158/2400 train_time:61.532s step_avg:28.51ms
step:2159/2400 train_time:62.796s step_avg:29.09ms
step:2160/2400 train_time:64.059s step_avg:29.66ms
step:2161/2400 train_time:65.320s step_avg:30.23ms
step:2162/2400 train_time:66.578s step_avg:30.79ms
step:2163/2400 train_time:67.840s step_avg:31.36ms
step:2164/2400 train_time:69.103s step_avg:31.93ms
step:2165/2400 train_time:70.364s step_avg:32.50ms
step:2166/2400 train_time:71.624s step_avg:33.07ms
step:2167/2400 train_time:72.885s step_avg:33.63ms
step:2168/2400 train_time:74.147s step_avg:34.20ms
step:2169/2400 train_time:75.405s step_avg:34.76ms
step:2170/2400 train_time:76.668s step_avg:35.33ms
step:2171/2400 train_time:77.927s step_avg:35.89ms
step:2172/2400 train_time:79.189s step_avg:36.46ms
step:2173/2400 train_time:80.450s step_avg:37.02ms
step:2174/2400 train_time:81.718s step_avg:37.59ms
step:2175/2400 train_time:82.982s step_avg:38.15ms
step:2175/2400 val_loss:3.35801 train_time:82.983s step_avg:1261.60ms
step:2176/2400 train_time:84.250s step_avg:38.72ms
step:2177/2400 train_time:85.511s step_avg:39.28ms
step:2178/2400 train_time:86.772s step_avg:39.84ms
step:2179/2400 train_time:88.031s step_avg:40.40ms
step:2180/2400 train_time:89.292s step_avg:40.96ms
step:2181/2400 train_time:90.552s step_avg:41.52ms
step:2182/2400 train_time:91.813s step_avg:42.08ms
step:2183/2400 train_time:93.076s step_avg:42.64ms
step:2184/2400 train_time:94.347s step_avg:43.20ms
step:2185/2400 train_time:95.612s step_avg:43.76ms
step:2186/2400 train_time:96.874s step_avg:44.32ms
step:2187/2400 train_time:98.138s step_avg:44.87ms
step:2188/2400 train_time:99.398s step_avg:45.43ms
step:2189/2400 train_time:100.663s step_avg:45.99ms
step:2190/2400 train_time:101.928s step_avg:46.54ms
step:2191/2400 train_time:103.189s step_avg:47.10ms
step:2192/2400 train_time:104.454s step_avg:47.65ms
step:2193/2400 train_time:105.715s step_avg:48.21ms
step:2194/2400 train_time:106.985s step_avg:48.76ms
step:2195/2400 train_time:108.248s step_avg:49.32ms
step:2196/2400 train_time:109.509s step_avg:49.87ms
step:2197/2400 train_time:110.772s step_avg:50.42ms
