track3_locom_runner source=records/track_3_optimization/train_gpt_simple.py generated=/tmp/track3_suffix_floor006_from2125_seed3710_to2400.py steps=2400 trials=1 nproc=1 mbs=16 trial_arg_mode=positional-count
track3_locom_source_sha source=3191da541544c96aa4a4a9dfdde8a8e1fa674620583b69c61f10818c74c1436b generator=d531e33ce23d51002c957fcc78dd20b60f95396fc2b6045993de8c47bd3c047d generated=2e36f73914723db9d20e8a6ff5c02151b64d6153f85b89ebf72818818f950594
logs/014c4f1b-508f-4a41-944b-edc0a7f67378.txt
track3_trial_seed=3710 trial=0
locoprop_m_owner rank=0 world=1 owned_layers=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] sample_tokens=1024 gather_samples=True accum_samples=False micro_sample_tokens=32 aux_capture=False aux_seqs=16 batched_prep=False
track3_checkpoint_loaded path:/home/ubuntu/.cache/track3_checkpoints/track3_locom_2000_control_seed3710_seed3710_step2125.pt step:2125 seed:3710 val_loss:None load_optimizers:True
track3_resume_advanced_data steps:2125
step:2125/2400 val_loss:3.36216 train_time:0.000s step_avg:nanms
step:2126/2400 train_time:3.118s step_avg:1.47ms
step:2127/2400 train_time:4.375s step_avg:2.06ms
step:2128/2400 train_time:5.639s step_avg:2.65ms
step:2129/2400 train_time:6.904s step_avg:3.24ms
step:2130/2400 train_time:8.169s step_avg:3.84ms
step:2131/2400 train_time:9.432s step_avg:4.43ms
step:2132/2400 train_time:10.697s step_avg:5.02ms
step:2133/2400 train_time:11.965s step_avg:5.61ms
step:2134/2400 train_time:13.230s step_avg:6.20ms
step:2135/2400 train_time:14.495s step_avg:6.79ms
step:2136/2400 train_time:15.759s step_avg:7.38ms
step:2137/2400 train_time:17.028s step_avg:7.97ms
step:2138/2400 train_time:18.295s step_avg:8.56ms
step:2139/2400 train_time:19.558s step_avg:9.14ms
step:2140/2400 train_time:20.828s step_avg:9.73ms
step:2141/2400 train_time:22.093s step_avg:10.32ms
step:2142/2400 train_time:23.365s step_avg:10.91ms
step:2143/2400 train_time:24.636s step_avg:11.50ms
step:2144/2400 train_time:25.908s step_avg:12.08ms
step:2145/2400 train_time:27.175s step_avg:12.67ms
step:2146/2400 train_time:28.449s step_avg:13.26ms
step:2147/2400 train_time:29.722s step_avg:13.84ms
step:2148/2400 train_time:30.994s step_avg:14.43ms
step:2149/2400 train_time:32.268s step_avg:15.02ms
step:2150/2400 train_time:33.540s step_avg:15.60ms
step:2150/2400 val_loss:3.36005 train_time:33.540s step_avg:1341.61ms
step:2151/2400 train_time:34.816s step_avg:16.19ms
step:2152/2400 train_time:36.090s step_avg:16.77ms
step:2153/2400 train_time:37.365s step_avg:17.35ms
step:2154/2400 train_time:38.631s step_avg:17.93ms
step:2155/2400 train_time:39.905s step_avg:18.52ms
step:2156/2400 train_time:41.174s step_avg:19.10ms
step:2157/2400 train_time:42.447s step_avg:19.68ms
step:2158/2400 train_time:43.718s step_avg:20.26ms
step:2159/2400 train_time:44.987s step_avg:20.84ms
step:2160/2400 train_time:46.253s step_avg:21.41ms
step:2161/2400 train_time:47.527s step_avg:21.99ms
step:2162/2400 train_time:48.796s step_avg:22.57ms
step:2163/2400 train_time:50.067s step_avg:23.15ms
step:2164/2400 train_time:51.332s step_avg:23.72ms
step:2165/2400 train_time:52.606s step_avg:24.30ms
step:2166/2400 train_time:53.871s step_avg:24.87ms
step:2167/2400 train_time:55.141s step_avg:25.45ms
step:2168/2400 train_time:56.411s step_avg:26.02ms
step:2169/2400 train_time:57.684s step_avg:26.59ms
step:2170/2400 train_time:58.950s step_avg:27.17ms
step:2171/2400 train_time:60.219s step_avg:27.74ms
step:2172/2400 train_time:61.488s step_avg:28.31ms
step:2173/2400 train_time:62.756s step_avg:28.88ms
