track3_locom_runner source=records/track_3_optimization/train_gpt_simple.py generated=/tmp/track3_suffix_floor008_from2125_seed3710_to2400.py steps=2400 trials=1 nproc=1 mbs=16 trial_arg_mode=positional-count
track3_locom_source_sha source=3191da541544c96aa4a4a9dfdde8a8e1fa674620583b69c61f10818c74c1436b generator=d531e33ce23d51002c957fcc78dd20b60f95396fc2b6045993de8c47bd3c047d generated=2e36f73914723db9d20e8a6ff5c02151b64d6153f85b89ebf72818818f950594
logs/e05f879f-cef0-4812-b8c1-f6d3c1b22489.txt
track3_trial_seed=3710 trial=0
locoprop_m_owner rank=0 world=1 owned_layers=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] sample_tokens=1024 gather_samples=True accum_samples=False micro_sample_tokens=32 aux_capture=False aux_seqs=16 batched_prep=False
track3_checkpoint_loaded path:/home/ubuntu/.cache/track3_checkpoints/track3_locom_2000_control_seed3710_seed3710_step2125.pt step:2125 seed:3710 val_loss:None load_optimizers:True
track3_resume_advanced_data steps:2125
step:2125/2400 val_loss:3.36216 train_time:0.000s step_avg:nanms
step:2126/2400 train_time:3.126s step_avg:1.47ms
step:2127/2400 train_time:4.398s step_avg:2.07ms
step:2128/2400 train_time:5.665s step_avg:2.66ms
step:2129/2400 train_time:6.939s step_avg:3.26ms
step:2130/2400 train_time:8.208s step_avg:3.85ms
step:2131/2400 train_time:9.478s step_avg:4.45ms
step:2132/2400 train_time:10.753s step_avg:5.04ms
step:2133/2400 train_time:12.022s step_avg:5.64ms
step:2134/2400 train_time:13.295s step_avg:6.23ms
step:2135/2400 train_time:14.569s step_avg:6.82ms
step:2136/2400 train_time:15.841s step_avg:7.42ms
step:2137/2400 train_time:17.111s step_avg:8.01ms
step:2138/2400 train_time:18.379s step_avg:8.60ms
step:2139/2400 train_time:19.653s step_avg:9.19ms
step:2140/2400 train_time:20.920s step_avg:9.78ms
step:2141/2400 train_time:22.193s step_avg:10.37ms
step:2142/2400 train_time:23.475s step_avg:10.96ms
step:2143/2400 train_time:24.754s step_avg:11.55ms
step:2144/2400 train_time:26.024s step_avg:12.14ms
step:2145/2400 train_time:27.296s step_avg:12.73ms
step:2146/2400 train_time:28.567s step_avg:13.31ms
step:2147/2400 train_time:29.838s step_avg:13.90ms
step:2148/2400 train_time:31.114s step_avg:14.49ms
step:2149/2400 train_time:32.387s step_avg:15.07ms
step:2150/2400 train_time:33.658s step_avg:15.65ms
step:2150/2400 val_loss:3.36005 train_time:33.660s step_avg:1346.39ms
step:2151/2400 train_time:34.935s step_avg:16.24ms
step:2152/2400 train_time:36.205s step_avg:16.82ms
step:2153/2400 train_time:37.480s step_avg:17.41ms
step:2154/2400 train_time:38.749s step_avg:17.99ms
step:2155/2400 train_time:40.021s step_avg:18.57ms
