track3_locom_runner source=records/track_3_optimization/train_gpt_simple.py generated=/tmp/track3_suffix_pr287_h3075p110_from2600_seed3710_to2800.py steps=2800 trials=1 nproc=1 mbs=16 trial_arg_mode=positional-count
track3_locom_source_sha source=3191da541544c96aa4a4a9dfdde8a8e1fa674620583b69c61f10818c74c1436b generator=d531e33ce23d51002c957fcc78dd20b60f95396fc2b6045993de8c47bd3c047d generated=cecc9ad410cf33dd01d177eec698ef6f1295a9cf0449e9536b30ccfce055ac63
logs/a36316df-c525-4c90-b36b-311d6dc3e4a4.txt
track3_trial_seed=3710 trial=0
locoprop_m_owner rank=0 world=1 owned_layers=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] sample_tokens=1024 gather_samples=True accum_samples=False micro_sample_tokens=32 aux_capture=False aux_seqs=16 batched_prep=False
track3_checkpoint_loaded path:/home/ubuntu/.cache/track3_checkpoints/track3_locom_2000_control_seed3710_seed3710_step2600.pt step:2600 seed:3710 val_loss:None load_optimizers:True
track3_resume_advanced_data steps:2600
step:2600/2800 val_loss:3.33472 train_time:0.000s step_avg:nanms
step:2601/2800 train_time:3.144s step_avg:1.21ms
step:2602/2800 train_time:4.408s step_avg:1.69ms
step:2603/2800 train_time:5.676s step_avg:2.18ms
step:2604/2800 train_time:6.943s step_avg:2.67ms
step:2605/2800 train_time:8.211s step_avg:3.15ms
step:2606/2800 train_time:9.480s step_avg:3.64ms
step:2607/2800 train_time:10.747s step_avg:4.12ms
step:2608/2800 train_time:12.019s step_avg:4.61ms
step:2609/2800 train_time:13.282s step_avg:5.09ms
step:2610/2800 train_time:14.551s step_avg:5.58ms
step:2611/2800 train_time:15.824s step_avg:6.06ms
step:2612/2800 train_time:17.095s step_avg:6.54ms
step:2613/2800 train_time:18.364s step_avg:7.03ms
step:2614/2800 train_time:19.634s step_avg:7.51ms
step:2615/2800 train_time:20.903s step_avg:7.99ms
step:2616/2800 train_time:22.172s step_avg:8.48ms
step:2617/2800 train_time:23.439s step_avg:8.96ms
step:2618/2800 train_time:24.704s step_avg:9.44ms
step:2619/2800 train_time:25.973s step_avg:9.92ms
step:2620/2800 train_time:27.238s step_avg:10.40ms
step:2621/2800 train_time:28.502s step_avg:10.87ms
step:2622/2800 train_time:29.767s step_avg:11.35ms
step:2623/2800 train_time:31.037s step_avg:11.83ms
step:2624/2800 train_time:32.298s step_avg:12.31ms
step:2625/2800 train_time:33.566s step_avg:12.79ms
step:2625/2800 val_loss:3.33727 train_time:33.567s step_avg:1342.67ms
step:2626/2800 train_time:34.840s step_avg:13.27ms
step:2627/2800 train_time:36.108s step_avg:13.74ms
step:2628/2800 train_time:37.373s step_avg:14.22ms
step:2629/2800 train_time:38.643s step_avg:14.70ms
step:2630/2800 train_time:39.908s step_avg:15.17ms
step:2631/2800 train_time:41.172s step_avg:15.65ms
step:2632/2800 train_time:42.432s step_avg:16.12ms
step:2633/2800 train_time:43.692s step_avg:16.59ms
step:2634/2800 train_time:44.959s step_avg:17.07ms
step:2635/2800 train_time:46.223s step_avg:17.54ms
step:2636/2800 train_time:47.485s step_avg:18.01ms
step:2637/2800 train_time:48.750s step_avg:18.49ms
step:2638/2800 train_time:50.015s step_avg:18.96ms
step:2639/2800 train_time:51.283s step_avg:19.43ms
step:2640/2800 train_time:52.551s step_avg:19.91ms
step:2641/2800 train_time:53.818s step_avg:20.38ms
step:2642/2800 train_time:55.087s step_avg:20.85ms
step:2643/2800 train_time:56.349s step_avg:21.32ms
step:2644/2800 train_time:57.614s step_avg:21.79ms
step:2645/2800 train_time:58.883s step_avg:22.26ms
step:2646/2800 train_time:60.146s step_avg:22.73ms
step:2647/2800 train_time:61.411s step_avg:23.20ms
step:2648/2800 train_time:62.676s step_avg:23.67ms
step:2649/2800 train_time:63.942s step_avg:24.14ms
step:2650/2800 train_time:65.207s step_avg:24.61ms
step:2650/2800 val_loss:3.33722 train_time:65.207s step_avg:1265.62ms
step:2651/2800 train_time:66.477s step_avg:25.08ms
step:2652/2800 train_time:67.742s step_avg:25.54ms
step:2653/2800 train_time:69.010s step_avg:26.01ms
step:2654/2800 train_time:70.279s step_avg:26.48ms
step:2655/2800 train_time:71.544s step_avg:26.95ms
step:2656/2800 train_time:72.809s step_avg:27.41ms
step:2657/2800 train_time:74.080s step_avg:27.88ms
step:2658/2800 train_time:75.344s step_avg:28.35ms
step:2659/2800 train_time:76.611s step_avg:28.81ms
step:2660/2800 train_time:77.879s step_avg:29.28ms
step:2661/2800 train_time:79.162s step_avg:29.75ms
step:2662/2800 train_time:80.424s step_avg:30.21ms
step:2663/2800 train_time:81.692s step_avg:30.68ms
step:2664/2800 train_time:82.959s step_avg:31.14ms
step:2665/2800 train_time:84.226s step_avg:31.60ms
step:2666/2800 train_time:85.492s step_avg:32.07ms
step:2667/2800 train_time:86.759s step_avg:32.53ms
step:2668/2800 train_time:88.028s step_avg:32.99ms
step:2669/2800 train_time:89.298s step_avg:33.46ms
step:2670/2800 train_time:90.564s step_avg:33.92ms
step:2671/2800 train_time:91.831s step_avg:34.38ms
step:2672/2800 train_time:93.099s step_avg:34.84ms
step:2673/2800 train_time:94.366s step_avg:35.30ms
step:2674/2800 train_time:95.636s step_avg:35.77ms
step:2675/2800 train_time:96.902s step_avg:36.23ms
step:2675/2800 val_loss:3.33592 train_time:96.903s step_avg:1267.82ms
step:2676/2800 train_time:98.182s step_avg:36.69ms
step:2677/2800 train_time:99.448s step_avg:37.15ms
