track3_locom_runner source=records/track_3_optimization/train_gpt_simple.py generated=/tmp/track3_suffix_bridge_blend_p15_2250_2650_from2125_seed3710_to2400.py steps=2400 trials=1 nproc=1 mbs=16 trial_arg_mode=positional-count
track3_locom_source_sha source=3191da541544c96aa4a4a9dfdde8a8e1fa674620583b69c61f10818c74c1436b generator=d531e33ce23d51002c957fcc78dd20b60f95396fc2b6045993de8c47bd3c047d generated=2e36f73914723db9d20e8a6ff5c02151b64d6153f85b89ebf72818818f950594
logs/2f6f7593-3901-47f6-b083-a6a428ed5ced.txt
track3_trial_seed=3710 trial=0
locoprop_m_owner rank=0 world=1 owned_layers=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] sample_tokens=1024 gather_samples=True accum_samples=False micro_sample_tokens=32 aux_capture=False aux_seqs=16 batched_prep=False
track3_checkpoint_loaded path:/root/.cache/track3_checkpoints/track3_noloco_ckpt2125_seed3710_seed3710_step2125.pt step:2125 seed:3710 val_loss:None load_optimizers:True
track3_resume_advanced_data steps:2125
step:2125/2400 val_loss:3.36215 train_time:0.000s step_avg:nanms
step:2126/2400 train_time:3.186s step_avg:1.50ms
step:2127/2400 train_time:4.439s step_avg:2.09ms
step:2128/2400 train_time:5.694s step_avg:2.68ms
step:2129/2400 train_time:6.948s step_avg:3.26ms
step:2130/2400 train_time:8.198s step_avg:3.85ms
step:2131/2400 train_time:9.448s step_avg:4.43ms
step:2132/2400 train_time:10.702s step_avg:5.02ms
step:2133/2400 train_time:11.955s step_avg:5.60ms
step:2134/2400 train_time:13.217s step_avg:6.19ms
step:2135/2400 train_time:14.469s step_avg:6.78ms
step:2136/2400 train_time:15.724s step_avg:7.36ms
step:2137/2400 train_time:16.976s step_avg:7.94ms
step:2138/2400 train_time:18.226s step_avg:8.52ms
step:2139/2400 train_time:19.477s step_avg:9.11ms
step:2140/2400 train_time:20.727s step_avg:9.69ms
step:2141/2400 train_time:21.984s step_avg:10.27ms
step:2142/2400 train_time:23.236s step_avg:10.85ms
step:2143/2400 train_time:24.488s step_avg:11.43ms
step:2144/2400 train_time:25.739s step_avg:12.01ms
step:2145/2400 train_time:26.989s step_avg:12.58ms
step:2146/2400 train_time:28.241s step_avg:13.16ms
step:2147/2400 train_time:29.497s step_avg:13.74ms
step:2148/2400 train_time:30.748s step_avg:14.31ms
step:2149/2400 train_time:31.998s step_avg:14.89ms
step:2150/2400 train_time:33.252s step_avg:15.47ms
step:2150/2400 val_loss:3.36004 train_time:33.252s step_avg:1330.08ms
step:2151/2400 train_time:34.507s step_avg:16.04ms
step:2152/2400 train_time:35.759s step_avg:16.62ms
step:2153/2400 train_time:37.017s step_avg:17.19ms
step:2154/2400 train_time:38.266s step_avg:17.77ms
step:2155/2400 train_time:39.519s step_avg:18.34ms
step:2156/2400 train_time:40.769s step_avg:18.91ms
step:2157/2400 train_time:42.018s step_avg:19.48ms
step:2158/2400 train_time:43.273s step_avg:20.05ms
step:2159/2400 train_time:44.525s step_avg:20.62ms
step:2160/2400 train_time:45.777s step_avg:21.19ms
step:2161/2400 train_time:47.033s step_avg:21.76ms
step:2162/2400 train_time:48.282s step_avg:22.33ms
step:2163/2400 train_time:49.535s step_avg:22.90ms
step:2164/2400 train_time:50.788s step_avg:23.47ms
step:2165/2400 train_time:52.041s step_avg:24.04ms
step:2166/2400 train_time:53.293s step_avg:24.60ms
step:2167/2400 train_time:54.546s step_avg:25.17ms
step:2168/2400 train_time:55.797s step_avg:25.74ms
step:2169/2400 train_time:57.048s step_avg:26.30ms
step:2170/2400 train_time:58.296s step_avg:26.86ms
