track3_locom_runner source=records/track_3_optimization/train_gpt_simple.py generated=/tmp/track3_suffix_bridge_bump150_2250_2650_from2125_seed3710_to2400.py steps=2400 trials=1 nproc=1 mbs=16 trial_arg_mode=positional-count
track3_locom_source_sha source=3191da541544c96aa4a4a9dfdde8a8e1fa674620583b69c61f10818c74c1436b generator=d531e33ce23d51002c957fcc78dd20b60f95396fc2b6045993de8c47bd3c047d generated=2e36f73914723db9d20e8a6ff5c02151b64d6153f85b89ebf72818818f950594
logs/3c3f3706-1848-4603-9aad-e5b251bd47e9.txt
track3_trial_seed=3710 trial=0
locoprop_m_owner rank=0 world=1 owned_layers=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] sample_tokens=1024 gather_samples=True accum_samples=False micro_sample_tokens=32 aux_capture=False aux_seqs=16 batched_prep=False
track3_checkpoint_loaded path:/root/.cache/track3_checkpoints/track3_noloco_ckpt2125_seed3710_seed3710_step2125.pt step:2125 seed:3710 val_loss:None load_optimizers:True
track3_resume_advanced_data steps:2125
step:2125/2400 val_loss:3.36215 train_time:0.000s step_avg:nanms
step:2126/2400 train_time:26.712s step_avg:12.56ms
step:2127/2400 train_time:27.960s step_avg:13.15ms
step:2128/2400 train_time:29.209s step_avg:13.73ms
step:2129/2400 train_time:30.459s step_avg:14.31ms
step:2130/2400 train_time:31.710s step_avg:14.89ms
step:2131/2400 train_time:32.961s step_avg:15.47ms
step:2132/2400 train_time:34.211s step_avg:16.05ms
step:2133/2400 train_time:35.462s step_avg:16.63ms
step:2134/2400 train_time:36.715s step_avg:17.20ms
step:2135/2400 train_time:37.966s step_avg:17.78ms
step:2136/2400 train_time:39.218s step_avg:18.36ms
step:2137/2400 train_time:40.472s step_avg:18.94ms
step:2138/2400 train_time:41.724s step_avg:19.52ms
step:2139/2400 train_time:42.974s step_avg:20.09ms
step:2140/2400 train_time:44.223s step_avg:20.67ms
step:2141/2400 train_time:45.482s step_avg:21.24ms
step:2142/2400 train_time:46.745s step_avg:21.82ms
step:2143/2400 train_time:48.000s step_avg:22.40ms
step:2144/2400 train_time:49.251s step_avg:22.97ms
step:2145/2400 train_time:50.502s step_avg:23.54ms
step:2146/2400 train_time:51.755s step_avg:24.12ms
step:2147/2400 train_time:53.009s step_avg:24.69ms
step:2148/2400 train_time:54.260s step_avg:25.26ms
step:2149/2400 train_time:55.507s step_avg:25.83ms
step:2150/2400 train_time:56.761s step_avg:26.40ms
step:2150/2400 val_loss:3.36003 train_time:56.762s step_avg:2270.47ms
step:2151/2400 train_time:58.019s step_avg:26.97ms
step:2152/2400 train_time:59.272s step_avg:27.54ms
step:2153/2400 train_time:60.518s step_avg:28.11ms
step:2154/2400 train_time:61.768s step_avg:28.68ms
step:2155/2400 train_time:63.018s step_avg:29.24ms
step:2156/2400 train_time:64.266s step_avg:29.81ms
step:2157/2400 train_time:65.517s step_avg:30.37ms
step:2158/2400 train_time:66.768s step_avg:30.94ms
step:2159/2400 train_time:68.024s step_avg:31.51ms
step:2160/2400 train_time:69.279s step_avg:32.07ms
step:2161/2400 train_time:70.532s step_avg:32.64ms
step:2162/2400 train_time:71.785s step_avg:33.20ms
step:2163/2400 train_time:73.038s step_avg:33.77ms
step:2164/2400 train_time:74.290s step_avg:34.33ms
step:2165/2400 train_time:75.544s step_avg:34.89ms
step:2166/2400 train_time:76.809s step_avg:35.46ms
step:2167/2400 train_time:78.063s step_avg:36.02ms
step:2168/2400 train_time:79.316s step_avg:36.58ms
step:2169/2400 train_time:80.571s step_avg:37.15ms
step:2170/2400 train_time:81.824s step_avg:37.71ms
step:2171/2400 train_time:83.078s step_avg:38.27ms
step:2172/2400 train_time:84.331s step_avg:38.83ms
step:2173/2400 train_time:85.586s step_avg:39.39ms
step:2174/2400 train_time:86.842s step_avg:39.95ms
step:2175/2400 train_time:88.098s step_avg:40.50ms
step:2175/2400 val_loss:3.35801 train_time:88.098s step_avg:1253.45ms
step:2176/2400 train_time:89.362s step_avg:41.07ms
step:2177/2400 train_time:90.619s step_avg:41.63ms
step:2178/2400 train_time:91.879s step_avg:42.19ms
step:2179/2400 train_time:93.136s step_avg:42.74ms
step:2180/2400 train_time:94.390s step_avg:43.30ms
step:2181/2400 train_time:95.647s step_avg:43.85ms
step:2182/2400 train_time:96.901s step_avg:44.41ms
step:2183/2400 train_time:98.156s step_avg:44.96ms
step:2184/2400 train_time:99.412s step_avg:45.52ms
step:2185/2400 train_time:100.667s step_avg:46.07ms
step:2186/2400 train_time:101.926s step_avg:46.63ms
step:2187/2400 train_time:103.182s step_avg:47.18ms
step:2188/2400 train_time:104.440s step_avg:47.73ms
step:2189/2400 train_time:105.699s step_avg:48.29ms
step:2190/2400 train_time:106.956s step_avg:48.84ms
step:2191/2400 train_time:108.224s step_avg:49.39ms
step:2192/2400 train_time:109.479s step_avg:49.95ms
step:2193/2400 train_time:110.733s step_avg:50.49ms
step:2194/2400 train_time:111.989s step_avg:51.04ms
step:2195/2400 train_time:113.244s step_avg:51.59ms
step:2196/2400 train_time:114.498s step_avg:52.14ms
step:2197/2400 train_time:115.755s step_avg:52.69ms
step:2198/2400 train_time:117.007s step_avg:53.23ms
step:2199/2400 train_time:118.260s step_avg:53.78ms
step:2200/2400 train_time:119.518s step_avg:54.33ms
step:2200/2400 val_loss:3.35626 train_time:119.518s step_avg:1256.81ms
step:2201/2400 train_time:120.775s step_avg:54.87ms
step:2202/2400 train_time:122.034s step_avg:55.42ms
step:2203/2400 train_time:123.288s step_avg:55.96ms
step:2204/2400 train_time:124.538s step_avg:56.51ms
step:2205/2400 train_time:125.792s step_avg:57.05ms
step:2206/2400 train_time:127.045s step_avg:57.59ms
step:2207/2400 train_time:128.303s step_avg:58.13ms
step:2208/2400 train_time:129.555s step_avg:58.68ms
step:2209/2400 train_time:130.809s step_avg:59.22ms
step:2210/2400 train_time:132.063s step_avg:59.76ms
step:2211/2400 train_time:133.325s step_avg:60.30ms
step:2212/2400 train_time:134.574s step_avg:60.84ms
step:2213/2400 train_time:135.826s step_avg:61.38ms
step:2214/2400 train_time:137.076s step_avg:61.91ms
step:2215/2400 train_time:138.329s step_avg:62.45ms
step:2216/2400 train_time:139.584s step_avg:62.99ms
step:2217/2400 train_time:140.834s step_avg:63.52ms
step:2218/2400 train_time:142.084s step_avg:64.06ms
step:2219/2400 train_time:143.335s step_avg:64.59ms
step:2220/2400 train_time:144.589s step_avg:65.13ms
step:2221/2400 train_time:145.845s step_avg:65.67ms
step:2222/2400 train_time:147.099s step_avg:66.20ms
step:2223/2400 train_time:148.352s step_avg:66.74ms
step:2224/2400 train_time:149.605s step_avg:67.27ms
step:2225/2400 train_time:150.859s step_avg:67.80ms
step:2225/2400 val_loss:3.35477 train_time:150.859s step_avg:1253.63ms
step:2226/2400 train_time:152.116s step_avg:68.34ms
step:2227/2400 train_time:153.366s step_avg:68.87ms
step:2228/2400 train_time:154.619s step_avg:69.40ms
step:2229/2400 train_time:155.872s step_avg:69.93ms
step:2230/2400 train_time:157.122s step_avg:70.46ms
step:2231/2400 train_time:158.374s step_avg:70.99ms
step:2232/2400 train_time:159.629s step_avg:71.52ms
step:2233/2400 train_time:160.884s step_avg:72.05ms
step:2234/2400 train_time:162.145s step_avg:72.58ms
step:2235/2400 train_time:163.395s step_avg:73.11ms
step:2236/2400 train_time:164.648s step_avg:73.64ms
step:2237/2400 train_time:165.903s step_avg:74.16ms
step:2238/2400 train_time:167.156s step_avg:74.69ms
step:2239/2400 train_time:168.408s step_avg:75.22ms
step:2240/2400 train_time:169.663s step_avg:75.74ms
step:2241/2400 train_time:170.916s step_avg:76.27ms
step:2242/2400 train_time:172.170s step_avg:76.79ms
step:2243/2400 train_time:173.420s step_avg:77.32ms
step:2244/2400 train_time:174.672s step_avg:77.84ms
step:2245/2400 train_time:175.926s step_avg:78.36ms
step:2246/2400 train_time:177.178s step_avg:78.89ms
step:2247/2400 train_time:178.432s step_avg:79.41ms
step:2248/2400 train_time:179.685s step_avg:79.93ms
step:2249/2400 train_time:180.938s step_avg:80.45ms
step:2250/2400 train_time:182.190s step_avg:80.97ms
step:2250/2400 val_loss:3.35306 train_time:182.190s step_avg:1253.23ms
step:2251/2400 train_time:183.448s step_avg:81.50ms
step:2252/2400 train_time:184.699s step_avg:82.02ms
step:2253/2400 train_time:185.953s step_avg:82.54ms
step:2254/2400 train_time:187.205s step_avg:83.05ms
step:2255/2400 train_time:188.460s step_avg:83.57ms
step:2256/2400 train_time:189.714s step_avg:84.09ms
step:2257/2400 train_time:190.970s step_avg:84.61ms
step:2258/2400 train_time:192.228s step_avg:85.13ms
step:2259/2400 train_time:193.490s step_avg:85.65ms
step:2260/2400 train_time:194.741s step_avg:86.17ms
step:2261/2400 train_time:195.992s step_avg:86.68ms
step:2262/2400 train_time:197.244s step_avg:87.20ms
step:2263/2400 train_time:198.496s step_avg:87.71ms
step:2264/2400 train_time:199.749s step_avg:88.23ms
step:2265/2400 train_time:201.007s step_avg:88.74ms
step:2266/2400 train_time:202.258s step_avg:89.26ms
step:2267/2400 train_time:203.512s step_avg:89.77ms
step:2268/2400 train_time:204.763s step_avg:90.28ms
step:2269/2400 train_time:206.019s step_avg:90.80ms
step:2270/2400 train_time:207.272s step_avg:91.31ms
step:2271/2400 train_time:208.525s step_avg:91.82ms
step:2272/2400 train_time:209.778s step_avg:92.33ms
step:2273/2400 train_time:211.030s step_avg:92.84ms
step:2274/2400 train_time:212.285s step_avg:93.35ms
step:2275/2400 train_time:213.540s step_avg:93.86ms
step:2275/2400 val_loss:3.35162 train_time:213.540s step_avg:1254.02ms
step:2276/2400 train_time:214.798s step_avg:94.38ms
step:2277/2400 train_time:216.055s step_avg:94.89ms
step:2278/2400 train_time:217.313s step_avg:95.40ms
step:2279/2400 train_time:218.570s step_avg:95.91ms
step:2280/2400 train_time:219.823s step_avg:96.41ms
step:2281/2400 train_time:221.107s step_avg:96.93ms
step:2282/2400 train_time:222.359s step_avg:97.44ms
step:2283/2400 train_time:223.625s step_avg:97.95ms
step:2284/2400 train_time:224.878s step_avg:98.46ms
step:2285/2400 train_time:226.132s step_avg:98.96ms
step:2286/2400 train_time:227.386s step_avg:99.47ms
step:2287/2400 train_time:228.639s step_avg:99.97ms
step:2288/2400 train_time:229.893s step_avg:100.48ms
step:2289/2400 train_time:231.147s step_avg:100.98ms
step:2290/2400 train_time:232.401s step_avg:101.49ms
step:2291/2400 train_time:233.654s step_avg:101.99ms
step:2292/2400 train_time:234.907s step_avg:102.49ms
step:2293/2400 train_time:236.160s step_avg:102.99ms
step:2294/2400 train_time:237.415s step_avg:103.49ms
step:2295/2400 train_time:238.670s step_avg:104.00ms
step:2296/2400 train_time:239.924s step_avg:104.50ms
step:2297/2400 train_time:241.176s step_avg:105.00ms
step:2298/2400 train_time:242.431s step_avg:105.50ms
step:2299/2400 train_time:243.690s step_avg:106.00ms
step:2300/2400 train_time:244.948s step_avg:106.50ms
step:2300/2400 val_loss:3.35035 train_time:244.948s step_avg:1256.30ms
step:2301/2400 train_time:246.205s step_avg:107.00ms
step:2302/2400 train_time:247.460s step_avg:107.50ms
step:2303/2400 train_time:248.714s step_avg:108.00ms
step:2304/2400 train_time:249.969s step_avg:108.49ms
