track3_locom_runner source=records/track_3_optimization/train_gpt_simple.py generated=/tmp/track3_suffix_cold3000_from2500_seed3710_to3000.py steps=3000 trials=1 nproc=1 mbs=16 trial_arg_mode=positional-count
track3_locom_source_sha source=3191da541544c96aa4a4a9dfdde8a8e1fa674620583b69c61f10818c74c1436b generator=1f2aba256e8c0784674092a34bcec2b6faf9e7920af69a3218504a1fdebecc71 generated=7d7456f9b9aac031712921b9bda13f1e2f3b65c827713f5cd4c1ef91539e1fb2
logs/7b42bd3f-f272-42cd-8e1e-d1a2e8f0d70c.txt
track3_trial_seed=3710 trial=0
locoprop_m_owner rank=0 world=1 owned_layers=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] surface=fc sample_tokens=1024 gather_samples=True accum_samples=False micro_sample_tokens=32 aux_capture=False aux_seqs=16 batched_prep=False
track3_checkpoint_loaded path:/root/.cache/track3_checkpoints/track3_suffix_cold3000_from2000_seed3710_to2500_seed3710_step2500.pt step:2500 seed:3710 val_loss:None load_optimizers:True
track3_resume_advanced_data steps:2500
step:2500/3000 val_loss:3.34114 train_time:0.000s step_avg:nanms
step:2501/3000 train_time:3.145s step_avg:1.26ms
step:2502/3000 train_time:4.397s step_avg:1.76ms
step:2503/3000 train_time:5.655s step_avg:2.26ms
step:2504/3000 train_time:6.913s step_avg:2.76ms
step:2505/3000 train_time:8.172s step_avg:3.26ms
step:2506/3000 train_time:9.423s step_avg:3.76ms
step:2507/3000 train_time:10.681s step_avg:4.26ms
step:2508/3000 train_time:11.940s step_avg:4.76ms
step:2509/3000 train_time:13.193s step_avg:5.26ms
step:2510/3000 train_time:14.449s step_avg:5.76ms
step:2511/3000 train_time:15.708s step_avg:6.26ms
step:2512/3000 train_time:16.962s step_avg:6.75ms
step:2513/3000 train_time:18.214s step_avg:7.25ms
step:2514/3000 train_time:19.471s step_avg:7.75ms
step:2515/3000 train_time:20.732s step_avg:8.24ms
step:2516/3000 train_time:21.992s step_avg:8.74ms
step:2517/3000 train_time:23.247s step_avg:9.24ms
step:2518/3000 train_time:24.504s step_avg:9.73ms
step:2519/3000 train_time:25.761s step_avg:10.23ms
step:2520/3000 train_time:27.017s step_avg:10.72ms
step:2521/3000 train_time:28.271s step_avg:11.21ms
step:2522/3000 train_time:29.528s step_avg:11.71ms
step:2523/3000 train_time:30.786s step_avg:12.20ms
