track3_locom_runner source=records/track_3_optimization/train_gpt_simple.py generated=/tmp/track3_suffix_cold3000_from2500_seed3710_to3000.py steps=3000 trials=1 nproc=1 mbs=16 trial_arg_mode=positional-count
track3_locom_source_sha source=3191da541544c96aa4a4a9dfdde8a8e1fa674620583b69c61f10818c74c1436b generator=1f2aba256e8c0784674092a34bcec2b6faf9e7920af69a3218504a1fdebecc71 generated=7d7456f9b9aac031712921b9bda13f1e2f3b65c827713f5cd4c1ef91539e1fb2
logs/2e591582-72ab-4386-931c-f9bd7f504f15.txt
track3_trial_seed=3710 trial=0
locoprop_m_owner rank=0 world=1 owned_layers=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] surface=fc sample_tokens=1024 gather_samples=True accum_samples=False micro_sample_tokens=32 aux_capture=False aux_seqs=16 batched_prep=False
track3_checkpoint_loaded path:/root/.cache/track3_checkpoints/track3_suffix_cold3000_from2000_seed3710_to2500_seed3710_step2500.pt step:2500 seed:3710 val_loss:None load_optimizers:True
track3_resume_advanced_data steps:2500
step:2500/3000 val_loss:3.34114 train_time:0.000s step_avg:nanms
step:2501/3000 train_time:3.159s step_avg:1.26ms
step:2502/3000 train_time:16.253s step_avg:6.50ms
step:2503/3000 train_time:17.558s step_avg:7.01ms
step:2504/3000 train_time:18.867s step_avg:7.53ms
step:2505/3000 train_time:20.176s step_avg:8.05ms
step:2506/3000 train_time:21.481s step_avg:8.57ms
step:2507/3000 train_time:22.789s step_avg:9.09ms
step:2508/3000 train_time:24.097s step_avg:9.61ms
step:2509/3000 train_time:25.405s step_avg:10.13ms
step:2510/3000 train_time:26.713s step_avg:10.64ms
step:2511/3000 train_time:28.023s step_avg:11.16ms
step:2512/3000 train_time:29.332s step_avg:11.68ms
step:2513/3000 train_time:30.648s step_avg:12.20ms
step:2514/3000 train_time:31.954s step_avg:12.71ms
step:2515/3000 train_time:33.266s step_avg:13.23ms
step:2516/3000 train_time:34.575s step_avg:13.74ms
step:2517/3000 train_time:35.888s step_avg:14.26ms
step:2518/3000 train_time:37.197s step_avg:14.77ms
step:2519/3000 train_time:38.508s step_avg:15.29ms
step:2520/3000 train_time:39.821s step_avg:15.80ms
step:2521/3000 train_time:41.136s step_avg:16.32ms
step:2522/3000 train_time:42.446s step_avg:16.83ms
step:2523/3000 train_time:43.760s step_avg:17.34ms
step:2524/3000 train_time:45.079s step_avg:17.86ms
step:2525/3000 train_time:46.391s step_avg:18.37ms
step:2525/3000 val_loss:3.34036 train_time:46.392s step_avg:1855.66ms
step:2526/3000 train_time:47.715s step_avg:18.89ms
step:2527/3000 train_time:49.028s step_avg:19.40ms
step:2528/3000 train_time:50.343s step_avg:19.91ms
step:2529/3000 train_time:51.654s step_avg:20.42ms
step:2530/3000 train_time:52.966s step_avg:20.93ms
step:2531/3000 train_time:54.280s step_avg:21.45ms
step:2532/3000 train_time:55.598s step_avg:21.96ms
step:2533/3000 train_time:56.910s step_avg:22.47ms
step:2534/3000 train_time:58.221s step_avg:22.98ms
step:2535/3000 train_time:59.537s step_avg:23.49ms
step:2536/3000 train_time:60.851s step_avg:24.00ms
step:2537/3000 train_time:62.160s step_avg:24.50ms
step:2538/3000 train_time:63.473s step_avg:25.01ms
step:2539/3000 train_time:64.793s step_avg:25.52ms
step:2540/3000 train_time:66.108s step_avg:26.03ms
step:2541/3000 train_time:67.419s step_avg:26.53ms
step:2542/3000 train_time:68.735s step_avg:27.04ms
step:2543/3000 train_time:70.053s step_avg:27.55ms
step:2544/3000 train_time:71.368s step_avg:28.05ms
step:2545/3000 train_time:72.680s step_avg:28.56ms
step:2546/3000 train_time:73.994s step_avg:29.06ms
step:2547/3000 train_time:75.308s step_avg:29.57ms
step:2548/3000 train_time:76.619s step_avg:30.07ms
step:2549/3000 train_time:77.934s step_avg:30.57ms
step:2550/3000 train_time:79.249s step_avg:31.08ms
step:2550/3000 val_loss:3.33961 train_time:79.249s step_avg:1314.31ms
step:2551/3000 train_time:80.567s step_avg:31.58ms
step:2552/3000 train_time:81.886s step_avg:32.09ms
step:2553/3000 train_time:83.201s step_avg:32.59ms
step:2554/3000 train_time:84.514s step_avg:33.09ms
step:2555/3000 train_time:85.828s step_avg:33.59ms
step:2556/3000 train_time:87.140s step_avg:34.09ms
step:2557/3000 train_time:88.456s step_avg:34.59ms
step:2558/3000 train_time:89.769s step_avg:35.09ms
step:2559/3000 train_time:91.088s step_avg:35.60ms
step:2560/3000 train_time:92.406s step_avg:36.10ms
step:2561/3000 train_time:93.722s step_avg:36.60ms
step:2562/3000 train_time:95.036s step_avg:37.09ms
step:2563/3000 train_time:96.351s step_avg:37.59ms
step:2564/3000 train_time:97.667s step_avg:38.09ms
step:2565/3000 train_time:98.984s step_avg:38.59ms
step:2566/3000 train_time:100.300s step_avg:39.09ms
step:2567/3000 train_time:101.615s step_avg:39.59ms
step:2568/3000 train_time:102.930s step_avg:40.08ms
step:2569/3000 train_time:104.248s step_avg:40.58ms
step:2570/3000 train_time:105.563s step_avg:41.08ms
step:2571/3000 train_time:106.874s step_avg:41.57ms
step:2572/3000 train_time:108.187s step_avg:42.06ms
step:2573/3000 train_time:109.500s step_avg:42.56ms
step:2574/3000 train_time:110.814s step_avg:43.05ms
step:2575/3000 train_time:112.124s step_avg:43.54ms
step:2575/3000 val_loss:3.33891 train_time:112.125s step_avg:1315.02ms
step:2576/3000 train_time:113.445s step_avg:44.04ms
step:2577/3000 train_time:114.757s step_avg:44.53ms
step:2578/3000 train_time:116.065s step_avg:45.02ms
step:2579/3000 train_time:117.381s step_avg:45.51ms
step:2580/3000 train_time:118.692s step_avg:46.00ms
step:2581/3000 train_time:120.007s step_avg:46.50ms
step:2582/3000 train_time:121.321s step_avg:46.99ms
step:2583/3000 train_time:122.634s step_avg:47.48ms
step:2584/3000 train_time:123.945s step_avg:47.97ms
step:2585/3000 train_time:125.260s step_avg:48.46ms
step:2586/3000 train_time:126.575s step_avg:48.95ms
step:2587/3000 train_time:127.890s step_avg:49.44ms
step:2588/3000 train_time:129.204s step_avg:49.92ms
step:2589/3000 train_time:130.521s step_avg:50.41ms
step:2590/3000 train_time:131.831s step_avg:50.90ms
step:2591/3000 train_time:133.147s step_avg:51.39ms
step:2592/3000 train_time:134.462s step_avg:51.88ms
step:2593/3000 train_time:135.774s step_avg:52.36ms
step:2594/3000 train_time:137.091s step_avg:52.85ms
step:2595/3000 train_time:138.406s step_avg:53.34ms
step:2596/3000 train_time:139.726s step_avg:53.82ms
step:2597/3000 train_time:141.042s step_avg:54.31ms
step:2598/3000 train_time:142.356s step_avg:54.79ms
step:2599/3000 train_time:143.669s step_avg:55.28ms
step:2600/3000 train_time:144.985s step_avg:55.76ms
step:2600/3000 val_loss:3.33829 train_time:144.985s step_avg:1314.40ms
step:2601/3000 train_time:146.300s step_avg:56.25ms
step:2602/3000 train_time:147.618s step_avg:56.73ms
step:2603/3000 train_time:148.936s step_avg:57.22ms
step:2604/3000 train_time:150.251s step_avg:57.70ms
step:2605/3000 train_time:151.565s step_avg:58.18ms
step:2606/3000 train_time:152.879s step_avg:58.66ms
step:2607/3000 train_time:154.195s step_avg:59.15ms
step:2608/3000 train_time:155.510s step_avg:59.63ms
step:2609/3000 train_time:156.825s step_avg:60.11ms
step:2610/3000 train_time:158.140s step_avg:60.59ms
step:2611/3000 train_time:159.454s step_avg:61.07ms
step:2612/3000 train_time:160.769s step_avg:61.55ms
step:2613/3000 train_time:162.084s step_avg:62.03ms
step:2614/3000 train_time:163.397s step_avg:62.51ms
step:2615/3000 train_time:164.712s step_avg:62.99ms
step:2616/3000 train_time:166.025s step_avg:63.47ms
step:2617/3000 train_time:167.342s step_avg:63.94ms
step:2618/3000 train_time:168.657s step_avg:64.42ms
step:2619/3000 train_time:169.974s step_avg:64.90ms
step:2620/3000 train_time:171.290s step_avg:65.38ms
step:2621/3000 train_time:172.607s step_avg:65.86ms
step:2622/3000 train_time:173.920s step_avg:66.33ms
step:2623/3000 train_time:175.238s step_avg:66.81ms
step:2624/3000 train_time:176.553s step_avg:67.28ms
step:2625/3000 train_time:177.872s step_avg:67.76ms
step:2625/3000 val_loss:3.33774 train_time:177.872s step_avg:1315.50ms
step:2626/3000 train_time:179.191s step_avg:68.24ms
step:2627/3000 train_time:180.505s step_avg:68.71ms
step:2628/3000 train_time:181.826s step_avg:69.19ms
step:2629/3000 train_time:183.141s step_avg:69.66ms
step:2630/3000 train_time:184.454s step_avg:70.13ms
step:2631/3000 train_time:185.770s step_avg:70.61ms
step:2632/3000 train_time:187.084s step_avg:71.08ms
step:2633/3000 train_time:188.403s step_avg:71.55ms
step:2634/3000 train_time:189.718s step_avg:72.03ms
step:2635/3000 train_time:191.030s step_avg:72.50ms
step:2636/3000 train_time:192.343s step_avg:72.97ms
step:2637/3000 train_time:193.656s step_avg:73.44ms
step:2638/3000 train_time:194.971s step_avg:73.91ms
step:2639/3000 train_time:196.287s step_avg:74.38ms
step:2640/3000 train_time:197.600s step_avg:74.85ms
step:2641/3000 train_time:198.915s step_avg:75.32ms
step:2642/3000 train_time:200.228s step_avg:75.79ms
step:2643/3000 train_time:201.546s step_avg:76.26ms
step:2644/3000 train_time:202.862s step_avg:76.73ms
step:2645/3000 train_time:204.176s step_avg:77.19ms
step:2646/3000 train_time:205.490s step_avg:77.66ms
step:2647/3000 train_time:206.807s step_avg:78.13ms
step:2648/3000 train_time:208.119s step_avg:78.59ms
step:2649/3000 train_time:209.436s step_avg:79.06ms
step:2650/3000 train_time:210.751s step_avg:79.53ms
step:2650/3000 val_loss:3.33714 train_time:210.752s step_avg:1315.17ms
step:2651/3000 train_time:212.075s step_avg:80.00ms
step:2652/3000 train_time:213.392s step_avg:80.46ms
step:2653/3000 train_time:214.707s step_avg:80.93ms
step:2654/3000 train_time:216.024s step_avg:81.40ms
step:2655/3000 train_time:217.345s step_avg:81.86ms
step:2656/3000 train_time:218.663s step_avg:82.33ms
step:2657/3000 train_time:219.981s step_avg:82.79ms
step:2658/3000 train_time:221.293s step_avg:83.26ms
step:2659/3000 train_time:222.610s step_avg:83.72ms
step:2660/3000 train_time:223.924s step_avg:84.18ms
step:2661/3000 train_time:225.261s step_avg:84.65ms
step:2662/3000 train_time:226.576s step_avg:85.11ms
step:2663/3000 train_time:227.890s step_avg:85.58ms
step:2664/3000 train_time:229.203s step_avg:86.04ms
step:2665/3000 train_time:230.524s step_avg:86.50ms
step:2666/3000 train_time:231.838s step_avg:86.96ms
step:2667/3000 train_time:233.151s step_avg:87.42ms
step:2668/3000 train_time:234.469s step_avg:87.88ms
step:2669/3000 train_time:235.786s step_avg:88.34ms
step:2670/3000 train_time:237.101s step_avg:88.80ms
step:2671/3000 train_time:238.414s step_avg:89.26ms
step:2672/3000 train_time:239.727s step_avg:89.72ms
step:2673/3000 train_time:241.040s step_avg:90.18ms
step:2674/3000 train_time:242.355s step_avg:90.63ms
step:2675/3000 train_time:243.670s step_avg:91.09ms
step:2675/3000 val_loss:3.33670 train_time:243.670s step_avg:1316.75ms
step:2676/3000 train_time:244.988s step_avg:91.55ms
step:2677/3000 train_time:246.305s step_avg:92.01ms
step:2678/3000 train_time:247.622s step_avg:92.47ms
step:2679/3000 train_time:248.939s step_avg:92.92ms
step:2680/3000 train_time:250.255s step_avg:93.38ms
step:2681/3000 train_time:251.573s step_avg:93.84ms
step:2682/3000 train_time:252.889s step_avg:94.29ms
step:2683/3000 train_time:254.203s step_avg:94.75ms
step:2684/3000 train_time:255.519s step_avg:95.20ms
step:2685/3000 train_time:256.832s step_avg:95.65ms
step:2686/3000 train_time:258.147s step_avg:96.11ms
step:2687/3000 train_time:259.464s step_avg:96.56ms
step:2688/3000 train_time:260.779s step_avg:97.02ms
step:2689/3000 train_time:262.089s step_avg:97.47ms
step:2690/3000 train_time:263.399s step_avg:97.92ms
step:2691/3000 train_time:264.711s step_avg:98.37ms
step:2692/3000 train_time:266.026s step_avg:98.82ms
step:2693/3000 train_time:267.345s step_avg:99.27ms
step:2694/3000 train_time:268.658s step_avg:99.72ms
step:2695/3000 train_time:269.970s step_avg:100.17ms
step:2696/3000 train_time:271.286s step_avg:100.63ms
step:2697/3000 train_time:272.606s step_avg:101.08ms
step:2698/3000 train_time:273.924s step_avg:101.53ms
step:2699/3000 train_time:275.242s step_avg:101.98ms
step:2700/3000 train_time:276.556s step_avg:102.43ms
step:2700/3000 val_loss:3.33625 train_time:276.557s step_avg:1315.45ms
step:2701/3000 train_time:277.882s step_avg:102.88ms
step:2702/3000 train_time:279.195s step_avg:103.33ms
step:2703/3000 train_time:280.515s step_avg:103.78ms
step:2704/3000 train_time:281.838s step_avg:104.23ms
step:2705/3000 train_time:283.151s step_avg:104.68ms
step:2706/3000 train_time:284.467s step_avg:105.12ms
step:2707/3000 train_time:285.782s step_avg:105.57ms
step:2708/3000 train_time:287.099s step_avg:106.02ms
step:2709/3000 train_time:288.413s step_avg:106.46ms
step:2710/3000 train_time:289.734s step_avg:106.91ms
step:2711/3000 train_time:291.044s step_avg:107.36ms
step:2712/3000 train_time:292.360s step_avg:107.80ms
step:2713/3000 train_time:293.676s step_avg:108.25ms
step:2714/3000 train_time:294.995s step_avg:108.69ms
step:2715/3000 train_time:296.309s step_avg:109.14ms
step:2716/3000 train_time:297.624s step_avg:109.58ms
step:2717/3000 train_time:298.940s step_avg:110.03ms
step:2718/3000 train_time:300.255s step_avg:110.47ms
step:2719/3000 train_time:301.569s step_avg:110.91ms
step:2720/3000 train_time:302.880s step_avg:111.35ms
step:2721/3000 train_time:304.195s step_avg:111.80ms
step:2722/3000 train_time:305.516s step_avg:112.24ms
step:2723/3000 train_time:306.832s step_avg:112.68ms
step:2724/3000 train_time:308.146s step_avg:113.12ms
step:2725/3000 train_time:309.461s step_avg:113.56ms
step:2725/3000 val_loss:3.33593 train_time:309.461s step_avg:1316.19ms
step:2726/3000 train_time:310.778s step_avg:114.00ms
step:2727/3000 train_time:312.091s step_avg:114.44ms
step:2728/3000 train_time:313.409s step_avg:114.89ms
step:2729/3000 train_time:314.725s step_avg:115.33ms
step:2730/3000 train_time:316.040s step_avg:115.77ms
step:2731/3000 train_time:317.353s step_avg:116.20ms
step:2732/3000 train_time:318.668s step_avg:116.64ms
step:2733/3000 train_time:319.988s step_avg:117.08ms
step:2734/3000 train_time:321.310s step_avg:117.52ms
step:2735/3000 train_time:322.626s step_avg:117.96ms
step:2736/3000 train_time:323.937s step_avg:118.40ms
step:2737/3000 train_time:325.251s step_avg:118.83ms
step:2738/3000 train_time:326.566s step_avg:119.27ms
step:2739/3000 train_time:327.884s step_avg:119.71ms
step:2740/3000 train_time:329.200s step_avg:120.15ms
step:2741/3000 train_time:330.511s step_avg:120.58ms
step:2742/3000 train_time:331.828s step_avg:121.02ms
step:2743/3000 train_time:333.145s step_avg:121.45ms
step:2744/3000 train_time:334.464s step_avg:121.89ms
step:2745/3000 train_time:335.778s step_avg:122.32ms
step:2746/3000 train_time:337.093s step_avg:122.76ms
step:2747/3000 train_time:338.408s step_avg:123.19ms
step:2748/3000 train_time:339.728s step_avg:123.63ms
step:2749/3000 train_time:341.046s step_avg:124.06ms
track3_checkpoint_saved step:2750 path:/root/.cache/track3_checkpoints/track3_suffix_cold3000_from2500_seed3710_to3000_seed3710_step2750.pt val_loss:None
step:2750/3000 train_time:345.195s step_avg:125.53ms
step:2750/3000 val_loss:3.33562 train_time:345.195s step_avg:1429.34ms
step:2751/3000 train_time:346.511s step_avg:125.96ms
step:2752/3000 train_time:347.830s step_avg:126.39ms
step:2753/3000 train_time:349.145s step_avg:126.82ms
step:2754/3000 train_time:350.460s step_avg:127.25ms
step:2755/3000 train_time:351.773s step_avg:127.69ms
step:2756/3000 train_time:353.088s step_avg:128.12ms
step:2757/3000 train_time:354.406s step_avg:128.55ms
step:2758/3000 train_time:355.718s step_avg:128.98ms
step:2759/3000 train_time:357.029s step_avg:129.41ms
step:2760/3000 train_time:358.341s step_avg:129.83ms
step:2761/3000 train_time:359.653s step_avg:130.26ms
step:2762/3000 train_time:360.969s step_avg:130.69ms
step:2763/3000 train_time:362.282s step_avg:131.12ms
step:2764/3000 train_time:363.598s step_avg:131.55ms
step:2765/3000 train_time:364.910s step_avg:131.97ms
step:2766/3000 train_time:366.225s step_avg:132.40ms
step:2767/3000 train_time:367.537s step_avg:132.83ms
step:2768/3000 train_time:368.848s step_avg:133.25ms
step:2769/3000 train_time:370.161s step_avg:133.68ms
step:2770/3000 train_time:371.475s step_avg:134.11ms
step:2771/3000 train_time:372.790s step_avg:134.53ms
step:2772/3000 train_time:374.107s step_avg:134.96ms
step:2773/3000 train_time:375.419s step_avg:135.38ms
step:2774/3000 train_time:376.733s step_avg:135.81ms
step:2775/3000 train_time:378.045s step_avg:136.23ms
step:2775/3000 val_loss:3.33534 train_time:378.045s step_avg:1314.02ms
step:2776/3000 train_time:379.364s step_avg:136.66ms
step:2777/3000 train_time:380.679s step_avg:137.08ms
step:2778/3000 train_time:381.995s step_avg:137.51ms
step:2779/3000 train_time:383.312s step_avg:137.93ms
step:2780/3000 train_time:384.625s step_avg:138.35ms
step:2781/3000 train_time:385.938s step_avg:138.78ms
step:2782/3000 train_time:387.252s step_avg:139.20ms
step:2783/3000 train_time:388.565s step_avg:139.62ms
step:2784/3000 train_time:389.882s step_avg:140.04ms
step:2785/3000 train_time:391.197s step_avg:140.47ms
step:2786/3000 train_time:392.511s step_avg:140.89ms
step:2787/3000 train_time:393.821s step_avg:141.31ms
step:2788/3000 train_time:395.135s step_avg:141.73ms
step:2789/3000 train_time:396.452s step_avg:142.15ms
step:2790/3000 train_time:397.765s step_avg:142.57ms
step:2791/3000 train_time:399.079s step_avg:142.99ms
step:2792/3000 train_time:400.395s step_avg:143.41ms
step:2793/3000 train_time:401.712s step_avg:143.83ms
step:2794/3000 train_time:403.022s step_avg:144.25ms
step:2795/3000 train_time:404.336s step_avg:144.66ms
step:2796/3000 train_time:405.653s step_avg:145.08ms
step:2797/3000 train_time:406.965s step_avg:145.50ms
step:2798/3000 train_time:408.281s step_avg:145.92ms
step:2799/3000 train_time:409.598s step_avg:146.34ms
step:2800/3000 train_time:410.911s step_avg:146.75ms
step:2800/3000 val_loss:3.33513 train_time:410.912s step_avg:1314.65ms
step:2801/3000 train_time:412.228s step_avg:147.17ms
step:2802/3000 train_time:413.545s step_avg:147.59ms
step:2803/3000 train_time:414.856s step_avg:148.00ms
step:2804/3000 train_time:416.170s step_avg:148.42ms
step:2805/3000 train_time:417.483s step_avg:148.84ms
step:2806/3000 train_time:418.799s step_avg:149.25ms
step:2807/3000 train_time:420.113s step_avg:149.67ms
step:2808/3000 train_time:421.423s step_avg:150.08ms
step:2809/3000 train_time:422.736s step_avg:150.49ms
