track3_locom_runner source=records/track_3_optimization/train_gpt_simple.py generated=/tmp/track3_suffix_cold3000_from2000_seed3710_to2500.py steps=2500 trials=1 nproc=1 mbs=16 trial_arg_mode=positional-count
track3_locom_source_sha source=3191da541544c96aa4a4a9dfdde8a8e1fa674620583b69c61f10818c74c1436b generator=1f2aba256e8c0784674092a34bcec2b6faf9e7920af69a3218504a1fdebecc71 generated=03e40e0a41b353226e1db7cd63c9d9295ae335f8df1b06377f87e7e604f59598
logs/0c272994-2aeb-4d7d-b736-98baf8892f3a.txt
track3_trial_seed=3710 trial=0
locoprop_m_owner rank=0 world=1 owned_layers=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] surface=fc sample_tokens=1024 gather_samples=True accum_samples=False micro_sample_tokens=32 aux_capture=False aux_seqs=16 batched_prep=False
track3_checkpoint_loaded path:/root/.cache/track3_checkpoints/track3_locom_good2000_tailcopy43ad37_seed3710_step2000.pt step:2000 seed:3710 val_loss:None load_optimizers:True
track3_resume_advanced_data steps:2000
step:2000/2500 val_loss:3.37335 train_time:0.000s step_avg:nanms
step:2001/2500 train_time:3.180s step_avg:1.59ms
step:2002/2500 train_time:4.432s step_avg:2.21ms
step:2003/2500 train_time:5.682s step_avg:2.84ms
step:2004/2500 train_time:6.934s step_avg:3.46ms
step:2005/2500 train_time:8.187s step_avg:4.08ms
step:2006/2500 train_time:9.446s step_avg:4.71ms
step:2007/2500 train_time:10.699s step_avg:5.33ms
step:2008/2500 train_time:11.957s step_avg:5.95ms
step:2009/2500 train_time:13.213s step_avg:6.58ms
step:2010/2500 train_time:14.475s step_avg:7.20ms
step:2011/2500 train_time:15.733s step_avg:7.82ms
step:2012/2500 train_time:16.992s step_avg:8.45ms
step:2013/2500 train_time:18.247s step_avg:9.06ms
step:2014/2500 train_time:19.505s step_avg:9.68ms
step:2015/2500 train_time:20.765s step_avg:10.31ms
step:2016/2500 train_time:22.021s step_avg:10.92ms
step:2017/2500 train_time:23.276s step_avg:11.54ms
step:2018/2500 train_time:24.532s step_avg:12.16ms
step:2019/2500 train_time:25.790s step_avg:12.77ms
step:2020/2500 train_time:27.045s step_avg:13.39ms
step:2021/2500 train_time:28.308s step_avg:14.01ms
step:2022/2500 train_time:29.565s step_avg:14.62ms
step:2023/2500 train_time:30.821s step_avg:15.24ms
step:2024/2500 train_time:32.085s step_avg:15.85ms
step:2025/2500 train_time:33.341s step_avg:16.46ms
step:2025/2500 val_loss:3.37099 train_time:33.341s step_avg:1333.63ms
step:2026/2500 train_time:34.604s step_avg:17.08ms
step:2027/2500 train_time:35.860s step_avg:17.69ms
step:2028/2500 train_time:37.115s step_avg:18.30ms
step:2029/2500 train_time:38.370s step_avg:18.91ms
step:2030/2500 train_time:39.630s step_avg:19.52ms
step:2031/2500 train_time:40.888s step_avg:20.13ms
step:2032/2500 train_time:42.146s step_avg:20.74ms
step:2033/2500 train_time:43.407s step_avg:21.35ms
step:2034/2500 train_time:44.673s step_avg:21.96ms
step:2035/2500 train_time:45.932s step_avg:22.57ms
step:2036/2500 train_time:47.194s step_avg:23.18ms
step:2037/2500 train_time:48.454s step_avg:23.79ms
step:2038/2500 train_time:49.715s step_avg:24.39ms
step:2039/2500 train_time:50.975s step_avg:25.00ms
step:2040/2500 train_time:52.235s step_avg:25.61ms
step:2041/2500 train_time:53.497s step_avg:26.21ms
