track3_locom_runner source=records/track_3_optimization/train_gpt_simple.py generated=/tmp/track3_suffix_floor006_from2000_seed3710_to2500.py steps=2500 trials=1 nproc=1 mbs=16 trial_arg_mode=positional-count
track3_locom_source_sha source=3191da541544c96aa4a4a9dfdde8a8e1fa674620583b69c61f10818c74c1436b generator=1f2aba256e8c0784674092a34bcec2b6faf9e7920af69a3218504a1fdebecc71 generated=03e40e0a41b353226e1db7cd63c9d9295ae335f8df1b06377f87e7e604f59598
logs/5d83695e-9d21-49df-8e8c-cf5d7c5b477d.txt
track3_trial_seed=3710 trial=0
locoprop_m_owner rank=0 world=1 owned_layers=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] surface=fc sample_tokens=1024 gather_samples=True accum_samples=False micro_sample_tokens=32 aux_capture=False aux_seqs=16 batched_prep=False
track3_checkpoint_loaded path:/root/.cache/track3_checkpoints/track3_locom_good2000_tailcopy43ad37_seed3710_step2000.pt step:2000 seed:3710 val_loss:None load_optimizers:True
track3_resume_advanced_data steps:2000
step:2000/2500 val_loss:3.37335 train_time:0.000s step_avg:nanms
step:2001/2500 train_time:3.179s step_avg:1.59ms
step:2002/2500 train_time:4.439s step_avg:2.22ms
step:2003/2500 train_time:5.704s step_avg:2.85ms
step:2004/2500 train_time:6.967s step_avg:3.48ms
step:2005/2500 train_time:8.228s step_avg:4.10ms
step:2006/2500 train_time:9.493s step_avg:4.73ms
step:2007/2500 train_time:10.759s step_avg:5.36ms
step:2008/2500 train_time:12.024s step_avg:5.99ms
step:2009/2500 train_time:13.287s step_avg:6.61ms
step:2010/2500 train_time:14.556s step_avg:7.24ms
step:2011/2500 train_time:15.818s step_avg:7.87ms
step:2012/2500 train_time:17.082s step_avg:8.49ms
step:2013/2500 train_time:18.349s step_avg:9.12ms
step:2014/2500 train_time:19.612s step_avg:9.74ms
step:2015/2500 train_time:20.878s step_avg:10.36ms
step:2016/2500 train_time:22.141s step_avg:10.98ms
step:2017/2500 train_time:23.403s step_avg:11.60ms
step:2018/2500 train_time:24.668s step_avg:12.22ms
step:2019/2500 train_time:25.937s step_avg:12.85ms
step:2020/2500 train_time:27.201s step_avg:13.47ms
step:2021/2500 train_time:28.465s step_avg:14.08ms
step:2022/2500 train_time:29.730s step_avg:14.70ms
step:2023/2500 train_time:30.993s step_avg:15.32ms
step:2024/2500 train_time:32.256s step_avg:15.94ms
step:2025/2500 train_time:33.520s step_avg:16.55ms
step:2025/2500 val_loss:3.37099 train_time:33.520s step_avg:1340.79ms
