track3_locom_runner source=records/track_3_optimization/train_gpt_simple.py generated=/tmp/track3_suffix_h3200p2_from2000_seed3710_to2500.py steps=2500 trials=1 nproc=1 mbs=16 trial_arg_mode=positional-count
track3_locom_source_sha source=3191da541544c96aa4a4a9dfdde8a8e1fa674620583b69c61f10818c74c1436b generator=1f2aba256e8c0784674092a34bcec2b6faf9e7920af69a3218504a1fdebecc71 generated=03e40e0a41b353226e1db7cd63c9d9295ae335f8df1b06377f87e7e604f59598
logs/a4ad94de-dbb2-4d0d-b5fb-f899a066b38c.txt
track3_trial_seed=3710 trial=0
locoprop_m_owner rank=0 world=1 owned_layers=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] surface=fc sample_tokens=1024 gather_samples=True accum_samples=False micro_sample_tokens=32 aux_capture=False aux_seqs=16 batched_prep=False
track3_checkpoint_loaded path:/root/.cache/track3_checkpoints/track3_locom_good2000_tailcopy43ad37_seed3710_step2000.pt step:2000 seed:3710 val_loss:None load_optimizers:True
track3_resume_advanced_data steps:2000
step:2000/2500 val_loss:3.37335 train_time:0.000s step_avg:nanms
step:2001/2500 train_time:3.203s step_avg:1.60ms
step:2002/2500 train_time:4.461s step_avg:2.23ms
step:2003/2500 train_time:5.722s step_avg:2.86ms
step:2004/2500 train_time:6.980s step_avg:3.48ms
step:2005/2500 train_time:8.245s step_avg:4.11ms
step:2006/2500 train_time:9.512s step_avg:4.74ms
step:2007/2500 train_time:10.773s step_avg:5.37ms
step:2008/2500 train_time:12.033s step_avg:5.99ms
step:2009/2500 train_time:13.297s step_avg:6.62ms
step:2010/2500 train_time:14.556s step_avg:7.24ms
step:2011/2500 train_time:15.815s step_avg:7.86ms
step:2012/2500 train_time:17.078s step_avg:8.49ms
step:2013/2500 train_time:18.340s step_avg:9.11ms
step:2014/2500 train_time:19.600s step_avg:9.73ms
step:2015/2500 train_time:20.863s step_avg:10.35ms
step:2016/2500 train_time:22.121s step_avg:10.97ms
step:2017/2500 train_time:23.384s step_avg:11.59ms
step:2018/2500 train_time:24.652s step_avg:12.22ms
step:2019/2500 train_time:25.912s step_avg:12.83ms
step:2020/2500 train_time:27.172s step_avg:13.45ms
step:2021/2500 train_time:28.440s step_avg:14.07ms
step:2022/2500 train_time:29.707s step_avg:14.69ms
step:2023/2500 train_time:30.970s step_avg:15.31ms
step:2024/2500 train_time:32.231s step_avg:15.92ms
step:2025/2500 train_time:33.494s step_avg:16.54ms
