track3_locom_runner source=records/track_3_optimization/train_gpt_simple.py generated=/tmp/track3_locom_2000_control_seed3710.py steps=2250 trials=1 nproc=1 mbs=16 trial_arg_mode=positional-count
track3_locom_source_sha source=3191da541544c96aa4a4a9dfdde8a8e1fa674620583b69c61f10818c74c1436b generator=1f2aba256e8c0784674092a34bcec2b6faf9e7920af69a3218504a1fdebecc71 generated=16045446839288370e516a8e30beb039621d1a5b0d30bc0ad8ccd4df224d74cd
logs/0210c77c-c72f-4dec-b46b-4e95166006aa.txt
track3_trial_seed=3710 trial=0
locoprop_m_owner rank=0 world=1 owned_layers=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] surface=fc sample_tokens=1024 gather_samples=True accum_samples=False micro_sample_tokens=32 aux_capture=False aux_seqs=16 batched_prep=False
track3_checkpoint_loaded path:/root/.cache/track3_checkpoints/track3_locom_good2000_tailcopy43ad37_seed3710_step2000.pt step:2000 seed:3710 val_loss:None load_optimizers:True
track3_resume_advanced_data steps:2000
step:2000/2250 val_loss:3.37335 train_time:0.000s step_avg:nanms
step:2001/2250 train_time:22.794s step_avg:11.39ms
step:2002/2250 train_time:24.046s step_avg:12.01ms
step:2003/2250 train_time:25.297s step_avg:12.63ms
step:2004/2250 train_time:26.551s step_avg:13.25ms
step:2005/2250 train_time:27.805s step_avg:13.87ms
step:2006/2250 train_time:29.066s step_avg:14.49ms
step:2007/2250 train_time:30.320s step_avg:15.11ms
step:2008/2250 train_time:31.575s step_avg:15.72ms
step:2009/2250 train_time:32.831s step_avg:16.34ms
step:2010/2250 train_time:34.087s step_avg:16.96ms
step:2011/2250 train_time:35.345s step_avg:17.58ms
step:2012/2250 train_time:36.600s step_avg:18.19ms
step:2013/2250 train_time:37.853s step_avg:18.80ms
step:2014/2250 train_time:39.112s step_avg:19.42ms
step:2015/2250 train_time:40.373s step_avg:20.04ms
step:2016/2250 train_time:41.629s step_avg:20.65ms
step:2017/2250 train_time:42.889s step_avg:21.26ms
step:2018/2250 train_time:44.147s step_avg:21.88ms
step:2019/2250 train_time:45.403s step_avg:22.49ms
step:2020/2250 train_time:46.663s step_avg:23.10ms
step:2021/2250 train_time:47.923s step_avg:23.71ms
step:2022/2250 train_time:49.182s step_avg:24.32ms
