[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 57065.36it/s]
logs/86b7df81-74f2-4068-a1e6-fc15c135fd5c.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 18, 19, 20, 21, 38, 39, 40, 41, 58, 59, 60] for warmup
Resetting Model
step:0/60 val_loss:10.8296 train_time:0ms step_avg:0.03ms
step:1/60 train_time:346ms step_avg:345.74ms
step:2/60 train_time:700ms step_avg:349.86ms
step:3/60 train_time:1064ms step_avg:354.59ms
step:4/60 train_time:1424ms step_avg:356.04ms
step:5/60 train_time:1781ms step_avg:356.13ms
step:6/60 train_time:2143ms step_avg:357.10ms
step:7/60 train_time:2504ms step_avg:357.72ms
step:8/60 train_time:2861ms step_avg:357.59ms
step:9/60 train_time:3223ms step_avg:358.16ms
step:10/60 train_time:3585ms step_avg:358.47ms
step:11/60 train_time:3945ms step_avg:358.64ms
step:12/60 train_time:4309ms step_avg:359.04ms
step:13/60 train_time:4669ms step_avg:359.14ms
step:14/60 train_time:5031ms step_avg:359.37ms
step:15/60 train_time:5394ms step_avg:359.59ms
step:16/60 train_time:5755ms step_avg:359.70ms
step:17/60 train_time:6120ms step_avg:359.97ms
step:18/60 train_time:6482ms step_avg:360.11ms
step:19/60 train_time:6846ms step_avg:360.32ms
step:20/60 train_time:7208ms step_avg:360.42ms
step:20/60 val_loss:6.8604 train_time:7272ms step_avg:363.59ms
step:21/60 train_time:7853ms step_avg:373.96ms
step:22/60 train_time:8533ms step_avg:387.86ms
step:23/60 train_time:9208ms step_avg:400.35ms
step:24/60 train_time:9887ms step_avg:411.96ms
step:25/60 train_time:10565ms step_avg:422.59ms
step:26/60 train_time:11238ms step_avg:432.24ms
step:27/60 train_time:11918ms step_avg:441.40ms
step:28/60 train_time:12595ms step_avg:449.84ms
step:29/60 train_time:13273ms step_avg:457.69ms
step:30/60 train_time:13954ms step_avg:465.13ms
step:31/60 train_time:14636ms step_avg:472.12ms
step:32/60 train_time:15312ms step_avg:478.51ms
step:33/60 train_time:15991ms step_avg:484.57ms
step:34/60 train_time:16668ms step_avg:490.24ms
step:35/60 train_time:17346ms step_avg:495.61ms
step:36/60 train_time:18024ms step_avg:500.67ms
step:37/60 train_time:18704ms step_avg:505.52ms
step:38/60 train_time:19383ms step_avg:510.09ms
step:39/60 train_time:20059ms step_avg:514.35ms
step:40/60 train_time:20738ms step_avg:518.45ms
step:40/60 val_loss:5.6704 train_time:20841ms step_avg:521.02ms
step:41/60 train_time:21715ms step_avg:529.63ms
step:42/60 train_time:22723ms step_avg:541.03ms
step:43/60 train_time:23738ms step_avg:552.06ms
step:44/60 train_time:24747ms step_avg:562.42ms
step:45/60 train_time:25760ms step_avg:572.45ms
step:46/60 train_time:26767ms step_avg:581.89ms
step:47/60 train_time:27773ms step_avg:590.92ms
step:48/60 train_time:28781ms step_avg:599.60ms
step:49/60 train_time:29792ms step_avg:608.00ms
step:50/60 train_time:30798ms step_avg:615.95ms
step:51/60 train_time:31809ms step_avg:623.71ms
step:52/60 train_time:32819ms step_avg:631.14ms
step:53/60 train_time:33827ms step_avg:638.25ms
step:54/60 train_time:34836ms step_avg:645.12ms
step:55/60 train_time:35847ms step_avg:651.77ms
step:56/60 train_time:36859ms step_avg:658.20ms
step:57/60 train_time:37872ms step_avg:664.42ms
step:58/60 train_time:38877ms step_avg:670.29ms
step:59/60 train_time:39890ms step_avg:676.10ms
step:60/60 train_time:40896ms step_avg:681.60ms
step:60/60 val_loss:5.0265 train_time:41043ms step_avg:684.05ms
peak memory allocated: 37327 MiB reserved: 53100 MiB
