[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 79137.81it/s]
logs/b0aee599-69e5-4515-844d-1510ef232596.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 18, 19, 20, 21, 38, 39, 40, 41, 58, 59, 60] for warmup
Resetting Model
step:0/60 val_loss:10.8283 train_time:0ms step_avg:0.03ms
step:1/60 train_time:341ms step_avg:340.65ms
step:2/60 train_time:705ms step_avg:352.64ms
step:3/60 train_time:1067ms step_avg:355.75ms
step:4/60 train_time:1431ms step_avg:357.76ms
step:5/60 train_time:1794ms step_avg:358.82ms
step:6/60 train_time:2161ms step_avg:360.19ms
step:7/60 train_time:2527ms step_avg:361.00ms
step:8/60 train_time:2890ms step_avg:361.30ms
step:9/60 train_time:3260ms step_avg:362.17ms
step:10/60 train_time:3624ms step_avg:362.43ms
step:11/60 train_time:3991ms step_avg:362.82ms
step:12/60 train_time:4360ms step_avg:363.29ms
step:13/60 train_time:4727ms step_avg:363.62ms
step:14/60 train_time:5093ms step_avg:363.79ms
step:15/60 train_time:5462ms step_avg:364.16ms
step:16/60 train_time:5828ms step_avg:364.26ms
step:17/60 train_time:6197ms step_avg:364.52ms
step:18/60 train_time:6564ms step_avg:364.67ms
step:19/60 train_time:6931ms step_avg:364.78ms
step:20/60 train_time:7299ms step_avg:364.96ms
step:20/60 val_loss:6.5500 train_time:7364ms step_avg:368.22ms
step:21/60 train_time:7948ms step_avg:378.47ms
step:22/60 train_time:8635ms step_avg:392.49ms
step:23/60 train_time:9308ms step_avg:404.71ms
step:24/60 train_time:9989ms step_avg:416.19ms
step:25/60 train_time:10673ms step_avg:426.92ms
step:26/60 train_time:11348ms step_avg:436.46ms
step:27/60 train_time:12028ms step_avg:445.50ms
step:28/60 train_time:12711ms step_avg:453.96ms
step:29/60 train_time:13389ms step_avg:461.70ms
step:30/60 train_time:14069ms step_avg:468.98ms
step:31/60 train_time:14751ms step_avg:475.82ms
step:32/60 train_time:15430ms step_avg:482.19ms
step:33/60 train_time:16112ms step_avg:488.23ms
step:34/60 train_time:16792ms step_avg:493.89ms
step:35/60 train_time:17474ms step_avg:499.25ms
step:36/60 train_time:18152ms step_avg:504.21ms
step:37/60 train_time:18835ms step_avg:509.05ms
step:38/60 train_time:19513ms step_avg:513.51ms
step:39/60 train_time:20194ms step_avg:517.79ms
step:40/60 train_time:20875ms step_avg:521.88ms
step:40/60 val_loss:5.4533 train_time:20980ms step_avg:524.50ms
step:41/60 train_time:21854ms step_avg:533.01ms
step:42/60 train_time:22864ms step_avg:544.38ms
step:43/60 train_time:23874ms step_avg:555.21ms
step:44/60 train_time:24881ms step_avg:565.48ms
step:45/60 train_time:25888ms step_avg:575.30ms
step:46/60 train_time:26894ms step_avg:584.65ms
step:47/60 train_time:27904ms step_avg:593.71ms
step:48/60 train_time:28913ms step_avg:602.36ms
step:49/60 train_time:29922ms step_avg:610.64ms
step:50/60 train_time:30931ms step_avg:618.62ms
step:51/60 train_time:31938ms step_avg:626.24ms
step:52/60 train_time:32946ms step_avg:633.58ms
step:53/60 train_time:33957ms step_avg:640.70ms
step:54/60 train_time:34967ms step_avg:647.54ms
step:55/60 train_time:35979ms step_avg:654.16ms
step:56/60 train_time:36988ms step_avg:660.50ms
step:57/60 train_time:37999ms step_avg:666.65ms
step:58/60 train_time:39009ms step_avg:672.57ms
step:59/60 train_time:40022ms step_avg:678.33ms
step:60/60 train_time:41033ms step_avg:683.88ms
step:60/60 val_loss:4.8794 train_time:41180ms step_avg:686.33ms
peak memory allocated: 37327 MiB reserved: 53100 MiB
