[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 74235.47it/s]
logs/c958850e-56a8-40c6-b3dc-a5dd83a0e691.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 18, 19, 20, 21, 38, 39, 40, 41, 58, 59, 60] for warmup
Resetting Model
step:0/60 val_loss:10.8309 train_time:0ms step_avg:0.04ms
step:1/60 train_time:341ms step_avg:340.84ms
step:2/60 train_time:704ms step_avg:351.95ms
step:3/60 train_time:1069ms step_avg:356.18ms
step:4/60 train_time:1433ms step_avg:358.35ms
step:5/60 train_time:1794ms step_avg:358.76ms
step:6/60 train_time:2160ms step_avg:360.04ms
step:7/60 train_time:2528ms step_avg:361.14ms
step:8/60 train_time:2892ms step_avg:361.53ms
step:9/60 train_time:3258ms step_avg:362.03ms
step:10/60 train_time:3624ms step_avg:362.42ms
step:11/60 train_time:3991ms step_avg:362.85ms
step:12/60 train_time:4358ms step_avg:363.17ms
step:13/60 train_time:4726ms step_avg:363.57ms
step:14/60 train_time:5092ms step_avg:363.70ms
step:15/60 train_time:5460ms step_avg:364.01ms
step:16/60 train_time:5826ms step_avg:364.13ms
step:17/60 train_time:6194ms step_avg:364.35ms
step:18/60 train_time:6562ms step_avg:364.57ms
step:19/60 train_time:6930ms step_avg:364.71ms
step:20/60 train_time:7295ms step_avg:364.74ms
step:20/60 val_loss:6.6177 train_time:7360ms step_avg:368.00ms
step:21/60 train_time:7945ms step_avg:378.33ms
step:22/60 train_time:8625ms step_avg:392.06ms
step:23/60 train_time:9306ms step_avg:404.62ms
step:24/60 train_time:9982ms step_avg:415.93ms
step:25/60 train_time:10664ms step_avg:426.58ms
step:26/60 train_time:11341ms step_avg:436.20ms
step:27/60 train_time:12021ms step_avg:445.23ms
step:28/60 train_time:12701ms step_avg:453.62ms
step:29/60 train_time:13382ms step_avg:461.44ms
step:30/60 train_time:14062ms step_avg:468.75ms
step:31/60 train_time:14742ms step_avg:475.55ms
step:32/60 train_time:15423ms step_avg:481.96ms
step:33/60 train_time:16104ms step_avg:487.99ms
step:34/60 train_time:16785ms step_avg:493.69ms
step:35/60 train_time:17464ms step_avg:498.98ms
step:36/60 train_time:18144ms step_avg:503.99ms
step:37/60 train_time:18827ms step_avg:508.83ms
step:38/60 train_time:19506ms step_avg:513.31ms
step:39/60 train_time:20187ms step_avg:517.61ms
step:40/60 train_time:20868ms step_avg:521.71ms
step:40/60 val_loss:5.5229 train_time:20972ms step_avg:524.31ms
step:41/60 train_time:21844ms step_avg:532.79ms
step:42/60 train_time:22852ms step_avg:544.10ms
step:43/60 train_time:23863ms step_avg:554.95ms
step:44/60 train_time:24869ms step_avg:565.21ms
step:45/60 train_time:25881ms step_avg:575.13ms
step:46/60 train_time:26887ms step_avg:584.51ms
step:47/60 train_time:27897ms step_avg:593.56ms
step:48/60 train_time:28907ms step_avg:602.23ms
step:49/60 train_time:29914ms step_avg:610.50ms
step:50/60 train_time:30920ms step_avg:618.40ms
step:51/60 train_time:31930ms step_avg:626.09ms
step:52/60 train_time:32941ms step_avg:633.48ms
step:53/60 train_time:33951ms step_avg:640.59ms
step:54/60 train_time:34963ms step_avg:647.46ms
step:55/60 train_time:35974ms step_avg:654.08ms
step:56/60 train_time:36984ms step_avg:660.42ms
step:57/60 train_time:37993ms step_avg:666.55ms
step:58/60 train_time:39006ms step_avg:672.52ms
step:59/60 train_time:40016ms step_avg:678.24ms
step:60/60 train_time:41026ms step_avg:683.77ms
step:60/60 val_loss:4.9117 train_time:41174ms step_avg:686.23ms
peak memory allocated: 37327 MiB reserved: 53100 MiB
