[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 84733.41it/s]
logs/46efa300-c548-4832-8fd9-538d314142b0.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 18, 19, 20, 21, 38, 39, 40, 41, 58, 59, 60] for warmup
Resetting Model
step:0/60 val_loss:10.8289 train_time:0ms step_avg:0.04ms
step:1/60 train_time:364ms step_avg:363.92ms
step:2/60 train_time:722ms step_avg:361.19ms
step:3/60 train_time:1088ms step_avg:362.79ms
step:4/60 train_time:1453ms step_avg:363.35ms
step:5/60 train_time:1815ms step_avg:362.98ms
step:6/60 train_time:2180ms step_avg:363.39ms
step:7/60 train_time:2545ms step_avg:363.60ms
step:8/60 train_time:2908ms step_avg:363.56ms
step:9/60 train_time:3276ms step_avg:364.03ms
step:10/60 train_time:3641ms step_avg:364.12ms
step:11/60 train_time:4007ms step_avg:364.28ms
step:12/60 train_time:4374ms step_avg:364.53ms
step:13/60 train_time:4740ms step_avg:364.64ms
step:14/60 train_time:5105ms step_avg:364.64ms
step:15/60 train_time:5474ms step_avg:364.92ms
step:16/60 train_time:5840ms step_avg:365.03ms
step:17/60 train_time:6206ms step_avg:365.08ms
step:18/60 train_time:6574ms step_avg:365.21ms
step:19/60 train_time:6942ms step_avg:365.36ms
step:20/60 train_time:7309ms step_avg:365.43ms
step:20/60 val_loss:6.7014 train_time:7374ms step_avg:368.69ms
step:21/60 train_time:7959ms step_avg:378.99ms
step:22/60 train_time:8642ms step_avg:392.82ms
step:23/60 train_time:9319ms step_avg:405.19ms
step:24/60 train_time:10003ms step_avg:416.81ms
step:25/60 train_time:10683ms step_avg:427.33ms
step:26/60 train_time:11361ms step_avg:436.95ms
step:27/60 train_time:12043ms step_avg:446.03ms
step:28/60 train_time:12722ms step_avg:454.36ms
step:29/60 train_time:13402ms step_avg:462.15ms
step:30/60 train_time:14083ms step_avg:469.44ms
step:31/60 train_time:14764ms step_avg:476.27ms
step:32/60 train_time:15446ms step_avg:482.70ms
step:33/60 train_time:16127ms step_avg:488.68ms
step:34/60 train_time:16807ms step_avg:494.33ms
step:35/60 train_time:17488ms step_avg:499.66ms
step:36/60 train_time:18167ms step_avg:504.64ms
step:37/60 train_time:18847ms step_avg:509.38ms
step:38/60 train_time:19526ms step_avg:513.85ms
step:39/60 train_time:20206ms step_avg:518.10ms
step:40/60 train_time:20889ms step_avg:522.22ms
step:40/60 val_loss:5.6671 train_time:20994ms step_avg:524.84ms
step:41/60 train_time:21866ms step_avg:533.31ms
step:42/60 train_time:22873ms step_avg:544.59ms
step:43/60 train_time:23884ms step_avg:555.45ms
step:44/60 train_time:24893ms step_avg:565.75ms
step:45/60 train_time:25903ms step_avg:575.61ms
step:46/60 train_time:26907ms step_avg:584.93ms
step:47/60 train_time:27914ms step_avg:593.92ms
step:48/60 train_time:28921ms step_avg:602.51ms
step:49/60 train_time:29928ms step_avg:610.79ms
step:50/60 train_time:30932ms step_avg:618.64ms
step:51/60 train_time:31940ms step_avg:626.28ms
step:52/60 train_time:32949ms step_avg:633.63ms
step:53/60 train_time:33953ms step_avg:640.63ms
step:54/60 train_time:34961ms step_avg:647.43ms
step:55/60 train_time:35971ms step_avg:654.02ms
step:56/60 train_time:36982ms step_avg:660.39ms
step:57/60 train_time:37989ms step_avg:666.48ms
step:58/60 train_time:38997ms step_avg:672.35ms
step:59/60 train_time:40006ms step_avg:678.06ms
step:60/60 train_time:41013ms step_avg:683.56ms
step:60/60 val_loss:5.0237 train_time:41162ms step_avg:686.04ms
peak memory allocated: 37327 MiB reserved: 53100 MiB
