[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 75573.05it/s]
logs/7a5ed2ed-8076-490a-939c-284a64006d10.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 65, 66, 67, 68, 131, 132, 133, 134, 198, 199, 200] for warmup
loco_diag step=0 attn_o: mean=1.3416e+01 min=7.0414e+00 p01=8.1456e+00 p50=1.2551e+01 p99=2.6290e+01 max=5.1718e+01
loco_diag_grad_ratio step=0 o:n=10 mean=1.0000e+00 min=1.0000e+00 max=1.0000e+00
loco_diag step=1 attn_o: mean=1.8419e+01 min=7.0363e+00 p01=8.4432e+00 p50=1.5031e+01 p99=6.3594e+01 max=1.5081e+02
loco_diag_grad_ratio step=1 o:n=10 mean=9.9965e-01 min=9.9947e-01 max=9.9987e-01
Resetting Model
step:0/200 val_loss:10.8304 train_time:0ms step_avg:0.03ms
loco_diag step=0 attn_o: mean=1.3416e+01 min=7.0414e+00 p01=8.1456e+00 p50=1.2551e+01 p99=2.6290e+01 max=5.1718e+01
loco_diag_grad_ratio step=0 o:n=10 mean=1.0000e+00 min=1.0000e+00 max=1.0000e+00
step:1/200 train_time:387ms step_avg:386.99ms
loco_diag step=1 attn_o: mean=1.8419e+01 min=7.0363e+00 p01=8.4432e+00 p50=1.5031e+01 p99=6.3594e+01 max=1.5081e+02
loco_diag_grad_ratio step=1 o:n=10 mean=9.9965e-01 min=9.9947e-01 max=9.9987e-01
step:2/200 train_time:748ms step_avg:374.15ms
loco_diag step=2 attn_o: mean=8.7109e+02 min=4.6335e+00 p01=7.7202e+00 p50=2.5953e+02 p99=7.1023e+03 max=1.2787e+04
loco_diag_grad_ratio step=2 o:n=10 mean=9.9863e-01 min=9.9784e-01 max=9.9924e-01
step:3/200 train_time:1107ms step_avg:369.06ms
step:4/200 train_time:1414ms step_avg:353.40ms
step:5/200 train_time:1769ms step_avg:353.88ms
step:6/200 train_time:2127ms step_avg:354.57ms
step:7/200 train_time:2486ms step_avg:355.11ms
step:8/200 train_time:2842ms step_avg:355.31ms
step:9/200 train_time:3204ms step_avg:356.04ms
step:10/200 train_time:3562ms step_avg:356.19ms
loco_diag step=10 attn_o: mean=2.7167e+03 min=9.0029e+00 p01=2.3372e+01 p50=5.9844e+02 p99=3.2850e+04 max=9.2132e+04
loco_diag_grad_ratio step=10 o:n=10 mean=9.9380e-01 min=9.9204e-01 max=9.9625e-01
step:11/200 train_time:3975ms step_avg:361.41ms
step:12/200 train_time:4282ms step_avg:356.82ms
step:13/200 train_time:4644ms step_avg:357.25ms
step:14/200 train_time:5003ms step_avg:357.34ms
step:15/200 train_time:5365ms step_avg:357.67ms
step:16/200 train_time:5722ms step_avg:357.63ms
step:17/200 train_time:6083ms step_avg:357.85ms
step:18/200 train_time:6445ms step_avg:358.06ms
step:19/200 train_time:6803ms step_avg:358.08ms
step:20/200 train_time:7163ms step_avg:358.16ms
step:21/200 train_time:7525ms step_avg:358.33ms
step:22/200 train_time:7882ms step_avg:358.29ms
step:23/200 train_time:8245ms step_avg:358.50ms
step:24/200 train_time:8604ms step_avg:358.48ms
step:25/200 train_time:8964ms step_avg:358.58ms
step:26/200 train_time:9323ms step_avg:358.57ms
step:27/200 train_time:9684ms step_avg:358.66ms
