[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 9857.35it/s]
logs/be0f2f1f-211c-4ead-94ea-516ee3b7c9b1.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 18, 19, 20, 21, 38, 39, 40, 41, 58, 59, 60] for warmup
Resetting Model
step:0/60 val_loss:10.8289 train_time:0ms step_avg:0.03ms
step:1/60 train_time:336ms step_avg:336.16ms
step:2/60 train_time:692ms step_avg:346.14ms
step:3/60 train_time:1058ms step_avg:352.61ms
step:4/60 train_time:1423ms step_avg:355.71ms
step:5/60 train_time:1780ms step_avg:356.07ms
step:6/60 train_time:2147ms step_avg:357.76ms
step:7/60 train_time:2510ms step_avg:358.57ms
step:8/60 train_time:2873ms step_avg:359.07ms
step:9/60 train_time:3239ms step_avg:359.90ms
step:10/60 train_time:3605ms step_avg:360.53ms
step:11/60 train_time:3968ms step_avg:360.70ms
step:12/60 train_time:4336ms step_avg:361.35ms
step:13/60 train_time:4701ms step_avg:361.65ms
step:14/60 train_time:5066ms step_avg:361.83ms
step:15/60 train_time:5433ms step_avg:362.22ms
step:16/60 train_time:5798ms step_avg:362.36ms
step:17/60 train_time:6164ms step_avg:362.57ms
step:18/60 train_time:6530ms step_avg:362.78ms
step:19/60 train_time:6899ms step_avg:363.10ms
step:20/60 train_time:7264ms step_avg:363.18ms
step:20/60 val_loss:6.5605 train_time:7328ms step_avg:366.39ms
step:21/60 train_time:7907ms step_avg:376.51ms
step:22/60 train_time:8585ms step_avg:390.21ms
step:23/60 train_time:9260ms step_avg:402.60ms
step:24/60 train_time:9937ms step_avg:414.04ms
step:25/60 train_time:10618ms step_avg:424.72ms
step:26/60 train_time:11295ms step_avg:434.41ms
step:27/60 train_time:11975ms step_avg:443.53ms
step:28/60 train_time:12653ms step_avg:451.91ms
step:29/60 train_time:13334ms step_avg:459.78ms
step:30/60 train_time:14014ms step_avg:467.12ms
step:31/60 train_time:14694ms step_avg:474.01ms
step:32/60 train_time:15373ms step_avg:480.39ms
step:33/60 train_time:16049ms step_avg:486.32ms
step:34/60 train_time:16725ms step_avg:491.91ms
step:35/60 train_time:17400ms step_avg:497.15ms
step:36/60 train_time:18078ms step_avg:502.16ms
step:37/60 train_time:18758ms step_avg:506.97ms
step:38/60 train_time:19434ms step_avg:511.43ms
step:39/60 train_time:20114ms step_avg:515.73ms
step:40/60 train_time:20792ms step_avg:519.79ms
step:40/60 val_loss:5.4390 train_time:20899ms step_avg:522.49ms
step:41/60 train_time:21763ms step_avg:530.81ms
step:42/60 train_time:22767ms step_avg:542.08ms
step:43/60 train_time:23777ms step_avg:552.94ms
step:44/60 train_time:24782ms step_avg:563.23ms
step:45/60 train_time:25788ms step_avg:573.08ms
step:46/60 train_time:26792ms step_avg:582.43ms
step:47/60 train_time:27801ms step_avg:591.50ms
step:48/60 train_time:28806ms step_avg:600.13ms
step:49/60 train_time:29815ms step_avg:608.47ms
step:50/60 train_time:30818ms step_avg:616.37ms
step:51/60 train_time:31829ms step_avg:624.10ms
step:52/60 train_time:32834ms step_avg:631.43ms
step:53/60 train_time:33842ms step_avg:638.52ms
step:54/60 train_time:34843ms step_avg:645.24ms
step:55/60 train_time:35852ms step_avg:651.85ms
step:56/60 train_time:36860ms step_avg:658.22ms
step:57/60 train_time:37866ms step_avg:664.31ms
step:58/60 train_time:38870ms step_avg:670.17ms
step:59/60 train_time:39880ms step_avg:675.94ms
step:60/60 train_time:40885ms step_avg:681.41ms
step:60/60 val_loss:4.8637 train_time:41035ms step_avg:683.92ms
peak memory allocated: 37327 MiB reserved: 52600 MiB
