[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 54827.50it/s]
logs/7907e479-5c65-4401-85ec-7f6530731379.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 18, 19, 20, 21, 38, 39, 40, 41, 58, 59, 60] for warmup
Resetting Model
step:0/60 val_loss:10.8285 train_time:0ms step_avg:0.04ms
step:1/60 train_time:345ms step_avg:344.88ms
step:2/60 train_time:698ms step_avg:348.83ms
step:3/60 train_time:1059ms step_avg:353.02ms
step:4/60 train_time:1418ms step_avg:354.43ms
step:5/60 train_time:1774ms step_avg:354.76ms
step:6/60 train_time:2134ms step_avg:355.64ms
step:7/60 train_time:2493ms step_avg:356.17ms
step:8/60 train_time:2853ms step_avg:356.56ms
step:9/60 train_time:3214ms step_avg:357.13ms
step:10/60 train_time:3573ms step_avg:357.30ms
step:11/60 train_time:3934ms step_avg:357.62ms
step:12/60 train_time:4294ms step_avg:357.87ms
step:13/60 train_time:4656ms step_avg:358.13ms
step:14/60 train_time:5015ms step_avg:358.19ms
step:15/60 train_time:5378ms step_avg:358.51ms
step:16/60 train_time:5737ms step_avg:358.59ms
step:17/60 train_time:6098ms step_avg:358.73ms
step:18/60 train_time:6459ms step_avg:358.81ms
step:19/60 train_time:6820ms step_avg:358.94ms
step:20/60 train_time:7180ms step_avg:359.00ms
step:20/60 val_loss:6.5327 train_time:7247ms step_avg:362.35ms
step:21/60 train_time:7815ms step_avg:372.12ms
step:22/60 train_time:8487ms step_avg:385.79ms
step:23/60 train_time:9152ms step_avg:397.93ms
step:24/60 train_time:9821ms step_avg:409.20ms
step:25/60 train_time:10494ms step_avg:419.75ms
step:26/60 train_time:11161ms step_avg:429.27ms
step:27/60 train_time:11834ms step_avg:438.28ms
step:28/60 train_time:12503ms step_avg:446.54ms
step:29/60 train_time:13175ms step_avg:454.31ms
step:30/60 train_time:13844ms step_avg:461.47ms
step:31/60 train_time:14514ms step_avg:468.20ms
step:32/60 train_time:15181ms step_avg:474.40ms
step:33/60 train_time:15850ms step_avg:480.32ms
step:34/60 train_time:16517ms step_avg:485.80ms
step:35/60 train_time:17189ms step_avg:491.10ms
step:36/60 train_time:17858ms step_avg:496.05ms
step:37/60 train_time:18530ms step_avg:500.80ms
step:38/60 train_time:19197ms step_avg:505.18ms
step:39/60 train_time:19869ms step_avg:509.46ms
step:40/60 train_time:20536ms step_avg:513.40ms
step:40/60 val_loss:5.4161 train_time:20643ms step_avg:516.08ms
step:41/60 train_time:21500ms step_avg:524.40ms
step:42/60 train_time:22489ms step_avg:535.46ms
step:43/60 train_time:23487ms step_avg:546.21ms
step:44/60 train_time:24480ms step_avg:556.37ms
step:45/60 train_time:25472ms step_avg:566.04ms
step:46/60 train_time:26464ms step_avg:575.30ms
step:47/60 train_time:27457ms step_avg:584.20ms
step:48/60 train_time:28450ms step_avg:592.72ms
step:49/60 train_time:29444ms step_avg:600.89ms
step:50/60 train_time:30434ms step_avg:608.68ms
step:51/60 train_time:31431ms step_avg:616.30ms
step:52/60 train_time:32425ms step_avg:623.56ms
step:53/60 train_time:33416ms step_avg:630.50ms
step:54/60 train_time:34406ms step_avg:637.15ms
step:55/60 train_time:35401ms step_avg:643.65ms
step:56/60 train_time:36396ms step_avg:649.92ms
step:57/60 train_time:37390ms step_avg:655.96ms
step:58/60 train_time:38385ms step_avg:661.81ms
step:59/60 train_time:39382ms step_avg:667.49ms
step:60/60 train_time:40377ms step_avg:672.94ms
step:60/60 val_loss:4.8492 train_time:40523ms step_avg:675.39ms
peak memory allocated: 37327 MiB reserved: 52580 MiB
