[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 28876.45it/s]
logs/b6b644b0-ace9-4cd9-a29c-44b504fbb955.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 65, 66, 67, 68, 131, 132, 133, 134, 198, 199, 200] for warmup
Resetting Model
step:0/200 val_loss:10.8295 train_time:0ms step_avg:0.04ms
step:1/200 train_time:352ms step_avg:352.28ms
step:2/200 train_time:711ms step_avg:355.56ms
step:3/200 train_time:1076ms step_avg:358.58ms
step:4/200 train_time:1440ms step_avg:359.88ms
step:5/200 train_time:1798ms step_avg:359.63ms
step:6/200 train_time:2164ms step_avg:360.61ms
step:7/200 train_time:2526ms step_avg:360.87ms
step:8/200 train_time:2892ms step_avg:361.48ms
step:9/200 train_time:3255ms step_avg:361.68ms
step:10/200 train_time:3620ms step_avg:361.98ms
step:11/200 train_time:3982ms step_avg:362.04ms
step:12/200 train_time:4349ms step_avg:362.42ms
step:13/200 train_time:4714ms step_avg:362.63ms
step:14/200 train_time:5080ms step_avg:362.84ms
step:15/200 train_time:5444ms step_avg:362.95ms
step:16/200 train_time:5809ms step_avg:363.09ms
step:17/200 train_time:6175ms step_avg:363.23ms
step:18/200 train_time:6542ms step_avg:363.43ms
step:19/200 train_time:6906ms step_avg:363.45ms
step:20/200 train_time:7271ms step_avg:363.57ms
step:21/200 train_time:7637ms step_avg:363.66ms
step:22/200 train_time:8003ms step_avg:363.78ms
step:23/200 train_time:8369ms step_avg:363.88ms
step:24/200 train_time:8734ms step_avg:363.93ms
step:25/200 train_time:9100ms step_avg:364.00ms
step:26/200 train_time:9465ms step_avg:364.03ms
step:27/200 train_time:9830ms step_avg:364.07ms
step:28/200 train_time:10197ms step_avg:364.19ms
step:29/200 train_time:10563ms step_avg:364.24ms
step:30/200 train_time:10927ms step_avg:364.23ms
step:31/200 train_time:11291ms step_avg:364.24ms
step:32/200 train_time:11658ms step_avg:364.33ms
step:33/200 train_time:12021ms step_avg:364.28ms
step:34/200 train_time:12387ms step_avg:364.32ms
step:35/200 train_time:12753ms step_avg:364.37ms
step:36/200 train_time:13120ms step_avg:364.45ms
step:37/200 train_time:13486ms step_avg:364.47ms
step:38/200 train_time:13850ms step_avg:364.48ms
step:39/200 train_time:14217ms step_avg:364.55ms
step:40/200 train_time:14583ms step_avg:364.57ms
step:41/200 train_time:14949ms step_avg:364.60ms
step:42/200 train_time:15315ms step_avg:364.64ms
step:43/200 train_time:15683ms step_avg:364.72ms
step:44/200 train_time:16046ms step_avg:364.69ms
step:45/200 train_time:16413ms step_avg:364.74ms
step:46/200 train_time:16778ms step_avg:364.73ms
step:47/200 train_time:17143ms step_avg:364.75ms
step:48/200 train_time:17509ms step_avg:364.78ms
step:49/200 train_time:17876ms step_avg:364.82ms
step:50/200 train_time:18243ms step_avg:364.85ms
step:50/200 val_loss:5.6412 train_time:18300ms step_avg:366.00ms
step:51/200 train_time:18609ms step_avg:364.89ms
step:52/200 train_time:18973ms step_avg:364.86ms
step:53/200 train_time:19339ms step_avg:364.89ms
step:54/200 train_time:19706ms step_avg:364.93ms
step:55/200 train_time:20071ms step_avg:364.92ms
step:56/200 train_time:20437ms step_avg:364.95ms
step:57/200 train_time:20805ms step_avg:365.00ms
step:58/200 train_time:21170ms step_avg:365.00ms
step:59/200 train_time:21536ms step_avg:365.02ms
step:60/200 train_time:21904ms step_avg:365.07ms
step:61/200 train_time:22268ms step_avg:365.05ms
step:62/200 train_time:22635ms step_avg:365.08ms
step:63/200 train_time:22999ms step_avg:365.07ms
step:64/200 train_time:23367ms step_avg:365.11ms
step:65/200 train_time:23733ms step_avg:365.12ms
step:66/200 train_time:24097ms step_avg:365.11ms
step:67/200 train_time:24466ms step_avg:365.16ms
step:68/200 train_time:25107ms step_avg:369.21ms
step:69/200 train_time:25786ms step_avg:373.71ms
step:70/200 train_time:26464ms step_avg:378.06ms
step:71/200 train_time:27143ms step_avg:382.30ms
step:72/200 train_time:27820ms step_avg:386.39ms
step:73/200 train_time:28501ms step_avg:390.42ms
step:74/200 train_time:29178ms step_avg:394.30ms
step:75/200 train_time:29856ms step_avg:398.08ms
step:76/200 train_time:30533ms step_avg:401.75ms
step:77/200 train_time:31212ms step_avg:405.36ms
step:78/200 train_time:31889ms step_avg:408.84ms
step:79/200 train_time:32570ms step_avg:412.28ms
step:80/200 train_time:33249ms step_avg:415.62ms
step:81/200 train_time:33930ms step_avg:418.89ms
step:82/200 train_time:34610ms step_avg:422.07ms
step:83/200 train_time:35289ms step_avg:425.17ms
step:84/200 train_time:35969ms step_avg:428.20ms
step:85/200 train_time:36650ms step_avg:431.17ms
step:86/200 train_time:37328ms step_avg:434.04ms
step:87/200 train_time:38006ms step_avg:436.86ms
step:88/200 train_time:38686ms step_avg:439.62ms
step:89/200 train_time:39367ms step_avg:442.32ms
step:90/200 train_time:40047ms step_avg:444.96ms
step:91/200 train_time:40727ms step_avg:447.55ms
step:92/200 train_time:41404ms step_avg:450.04ms
step:93/200 train_time:42087ms step_avg:452.55ms
step:94/200 train_time:42765ms step_avg:454.95ms
step:95/200 train_time:43446ms step_avg:457.33ms
step:96/200 train_time:44125ms step_avg:459.64ms
step:97/200 train_time:44806ms step_avg:461.92ms
step:98/200 train_time:45484ms step_avg:464.12ms
step:99/200 train_time:46167ms step_avg:466.33ms
step:100/200 train_time:46846ms step_avg:468.46ms
step:100/200 val_loss:4.6847 train_time:46944ms step_avg:469.44ms
step:101/200 train_time:47524ms step_avg:470.54ms
step:102/200 train_time:48206ms step_avg:472.61ms
step:103/200 train_time:48886ms step_avg:474.62ms
step:104/200 train_time:49566ms step_avg:476.59ms
step:105/200 train_time:50247ms step_avg:478.55ms
step:106/200 train_time:50925ms step_avg:480.43ms
step:107/200 train_time:51608ms step_avg:482.31ms
step:108/200 train_time:52286ms step_avg:484.13ms
step:109/200 train_time:52967ms step_avg:485.94ms
step:110/200 train_time:53648ms step_avg:487.71ms
step:111/200 train_time:54329ms step_avg:489.45ms
step:112/200 train_time:55007ms step_avg:491.13ms
step:113/200 train_time:55688ms step_avg:492.82ms
step:114/200 train_time:56368ms step_avg:494.46ms
step:115/200 train_time:57048ms step_avg:496.07ms
step:116/200 train_time:57729ms step_avg:497.66ms
step:117/200 train_time:58409ms step_avg:499.23ms
step:118/200 train_time:59086ms step_avg:500.73ms
step:119/200 train_time:59767ms step_avg:502.25ms
step:120/200 train_time:60447ms step_avg:503.73ms
step:121/200 train_time:61128ms step_avg:505.19ms
step:122/200 train_time:61809ms step_avg:506.63ms
step:123/200 train_time:62489ms step_avg:508.04ms
step:124/200 train_time:63170ms step_avg:509.43ms
step:125/200 train_time:63849ms step_avg:510.79ms
step:126/200 train_time:64527ms step_avg:512.12ms
step:127/200 train_time:65209ms step_avg:513.46ms
step:128/200 train_time:65889ms step_avg:514.76ms
step:129/200 train_time:66570ms step_avg:516.05ms
step:130/200 train_time:67249ms step_avg:517.30ms
step:131/200 train_time:67932ms step_avg:518.56ms
step:132/200 train_time:68610ms step_avg:519.77ms
step:133/200 train_time:69292ms step_avg:520.99ms
step:134/200 train_time:70260ms step_avg:524.33ms
step:135/200 train_time:71274ms step_avg:527.96ms
step:136/200 train_time:72282ms step_avg:531.48ms
step:137/200 train_time:73291ms step_avg:534.97ms
step:138/200 train_time:74301ms step_avg:538.41ms
step:139/200 train_time:75310ms step_avg:541.80ms
step:140/200 train_time:76315ms step_avg:545.11ms
step:141/200 train_time:77327ms step_avg:548.42ms
step:142/200 train_time:78335ms step_avg:551.66ms
step:143/200 train_time:79348ms step_avg:554.88ms
step:144/200 train_time:80358ms step_avg:558.04ms
step:145/200 train_time:81370ms step_avg:561.17ms
step:146/200 train_time:82378ms step_avg:564.23ms
step:147/200 train_time:83385ms step_avg:567.24ms
step:148/200 train_time:84387ms step_avg:570.18ms
step:149/200 train_time:85391ms step_avg:573.09ms
step:150/200 train_time:86392ms step_avg:575.94ms
step:150/200 val_loss:4.1302 train_time:86529ms step_avg:576.86ms
step:151/200 train_time:87393ms step_avg:578.76ms
step:152/200 train_time:88394ms step_avg:581.54ms
step:153/200 train_time:89398ms step_avg:584.30ms
step:154/200 train_time:90396ms step_avg:586.99ms
step:155/200 train_time:91398ms step_avg:589.67ms
step:156/200 train_time:92400ms step_avg:592.31ms
step:157/200 train_time:93402ms step_avg:594.92ms
step:158/200 train_time:94401ms step_avg:597.48ms
step:159/200 train_time:95406ms step_avg:600.04ms
step:160/200 train_time:96408ms step_avg:602.55ms
step:161/200 train_time:97414ms step_avg:605.05ms
step:162/200 train_time:98416ms step_avg:607.50ms
step:163/200 train_time:99420ms step_avg:609.94ms
step:164/200 train_time:100420ms step_avg:612.31ms
step:165/200 train_time:101421ms step_avg:614.67ms
step:166/200 train_time:102420ms step_avg:616.99ms
step:167/200 train_time:103422ms step_avg:619.29ms
step:168/200 train_time:104421ms step_avg:621.55ms
step:169/200 train_time:105428ms step_avg:623.83ms
step:170/200 train_time:106430ms step_avg:626.06ms
step:171/200 train_time:107435ms step_avg:628.27ms
step:172/200 train_time:108437ms step_avg:630.45ms
step:173/200 train_time:109441ms step_avg:632.61ms
step:174/200 train_time:110444ms step_avg:634.73ms
step:175/200 train_time:111446ms step_avg:636.84ms
step:176/200 train_time:112449ms step_avg:638.91ms
step:177/200 train_time:113451ms step_avg:640.96ms
step:178/200 train_time:114454ms step_avg:643.00ms
step:179/200 train_time:115459ms step_avg:645.02ms
step:180/200 train_time:116463ms step_avg:647.02ms
step:181/200 train_time:117462ms step_avg:648.96ms
step:182/200 train_time:118464ms step_avg:650.90ms
step:183/200 train_time:119467ms step_avg:652.82ms
step:184/200 train_time:120469ms step_avg:654.72ms
step:185/200 train_time:121475ms step_avg:656.62ms
step:186/200 train_time:122479ms step_avg:658.49ms
step:187/200 train_time:123481ms step_avg:660.32ms
step:188/200 train_time:124480ms step_avg:662.13ms
step:189/200 train_time:125482ms step_avg:663.93ms
step:190/200 train_time:126485ms step_avg:665.71ms
step:191/200 train_time:127492ms step_avg:667.50ms
step:192/200 train_time:128498ms step_avg:669.26ms
step:193/200 train_time:129499ms step_avg:670.98ms
step:194/200 train_time:130500ms step_avg:672.68ms
step:195/200 train_time:131505ms step_avg:674.38ms
step:196/200 train_time:132505ms step_avg:676.05ms
step:197/200 train_time:133509ms step_avg:677.71ms
step:198/200 train_time:134509ms step_avg:679.34ms
step:199/200 train_time:135518ms step_avg:680.99ms
step:200/200 train_time:136521ms step_avg:682.60ms
step:200/200 val_loss:3.8937 train_time:136669ms step_avg:683.35ms
peak memory allocated: 37327 MiB reserved: 52600 MiB
