[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 70197.56it/s]
logs/442a07f9-ccaf-4a9f-a6f1-07d52905f61b.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 18, 19, 20, 21, 38, 39, 40, 41, 58, 59, 60] for warmup
Resetting Model
step:0/60 val_loss:10.8311 train_time:0ms step_avg:0.04ms
step:1/60 train_time:350ms step_avg:350.29ms
step:2/60 train_time:710ms step_avg:355.02ms
step:3/60 train_time:1074ms step_avg:358.02ms
step:4/60 train_time:1437ms step_avg:359.33ms
step:5/60 train_time:1798ms step_avg:359.65ms
step:6/60 train_time:2165ms step_avg:360.87ms
step:7/60 train_time:2529ms step_avg:361.24ms
step:8/60 train_time:2891ms step_avg:361.33ms
step:9/60 train_time:3260ms step_avg:362.22ms
step:10/60 train_time:3624ms step_avg:362.39ms
step:11/60 train_time:3988ms step_avg:362.57ms
step:12/60 train_time:4354ms step_avg:362.86ms
step:13/60 train_time:4721ms step_avg:363.13ms
step:14/60 train_time:5087ms step_avg:363.36ms
step:15/60 train_time:5453ms step_avg:363.56ms
step:16/60 train_time:5820ms step_avg:363.73ms
step:17/60 train_time:6187ms step_avg:363.91ms
step:18/60 train_time:6553ms step_avg:364.08ms
step:19/60 train_time:6920ms step_avg:364.20ms
step:20/60 train_time:7287ms step_avg:364.34ms
step:20/60 val_loss:6.5488 train_time:7353ms step_avg:367.63ms
step:21/60 train_time:7929ms step_avg:377.58ms
step:22/60 train_time:8607ms step_avg:391.25ms
step:23/60 train_time:9284ms step_avg:403.64ms
step:24/60 train_time:9959ms step_avg:414.96ms
step:25/60 train_time:10640ms step_avg:425.61ms
step:26/60 train_time:11317ms step_avg:435.26ms
step:27/60 train_time:11996ms step_avg:444.30ms
step:28/60 train_time:12672ms step_avg:452.58ms
step:29/60 train_time:13352ms step_avg:460.40ms
step:30/60 train_time:14029ms step_avg:467.64ms
step:31/60 train_time:14709ms step_avg:474.49ms
step:32/60 train_time:15386ms step_avg:480.81ms
step:33/60 train_time:16063ms step_avg:486.75ms
step:34/60 train_time:16738ms step_avg:492.30ms
step:35/60 train_time:17419ms step_avg:497.68ms
step:36/60 train_time:18096ms step_avg:502.67ms
step:37/60 train_time:18777ms step_avg:507.48ms
step:38/60 train_time:19456ms step_avg:511.99ms
step:39/60 train_time:20134ms step_avg:516.27ms
step:40/60 train_time:20811ms step_avg:520.27ms
step:40/60 val_loss:5.4220 train_time:20918ms step_avg:522.96ms
step:41/60 train_time:21784ms step_avg:531.31ms
step:42/60 train_time:22788ms step_avg:542.58ms
step:43/60 train_time:23795ms step_avg:553.36ms
step:44/60 train_time:24797ms step_avg:563.57ms
step:45/60 train_time:25806ms step_avg:573.47ms
step:46/60 train_time:26809ms step_avg:582.81ms
step:47/60 train_time:27815ms step_avg:591.80ms
step:48/60 train_time:28820ms step_avg:600.42ms
step:49/60 train_time:29829ms step_avg:608.76ms
step:50/60 train_time:30832ms step_avg:616.63ms
step:51/60 train_time:31838ms step_avg:624.28ms
step:52/60 train_time:32844ms step_avg:631.61ms
step:53/60 train_time:33853ms step_avg:638.73ms
step:54/60 train_time:34857ms step_avg:645.49ms
step:55/60 train_time:35866ms step_avg:652.10ms
step:56/60 train_time:36871ms step_avg:658.41ms
step:57/60 train_time:37876ms step_avg:664.49ms
step:58/60 train_time:38881ms step_avg:670.36ms
step:59/60 train_time:39892ms step_avg:676.13ms
step:60/60 train_time:40899ms step_avg:681.65ms
step:60/60 val_loss:4.8334 train_time:41050ms step_avg:684.16ms
peak memory allocated: 37327 MiB reserved: 52600 MiB
