[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 4308.48it/s]
logs/74705cc9-13e5-4e28-83d8-746918cba22c.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 8, 16, 24, 32, 40, 48, 56, 64, 65, 66, 67, 68, 72, 80, 88, 96, 104, 112, 120, 128, 131, 132, 133, 134, 136, 144, 152, 160, 168, 176, 184, 192, 198, 199, 200] for warmup
loco_full step=0 v_gram_ema refreshed=1 mean_diag=1.6384e+04 min=1.2373e+04 p01=1.3093e+04 p50=1.6199e+04 p99=2.1603e+04 max=2.4543e+04
loco_full step=1 v_gram_ema refreshed=0 mean_diag=1.6384e+04 min=1.2373e+04 p01=1.3093e+04 p50=1.6199e+04 p99=2.1603e+04 max=2.4543e+04
loco_diag_grad_ratio step=1 full_v:n=10 mean=9.9951e-01 min=9.9950e-01 max=9.9952e-01
Resetting Model
step:0/200 val_loss:10.8280 train_time:0ms step_avg:0.11ms
loco_full step=0 v_gram_ema refreshed=1 mean_diag=1.6384e+04 min=1.2373e+04 p01=1.3093e+04 p50=1.6199e+04 p99=2.1603e+04 max=2.4543e+04
step:1/200 train_time:668ms step_avg:667.51ms
loco_full step=1 v_gram_ema refreshed=0 mean_diag=1.6384e+04 min=1.2373e+04 p01=1.3093e+04 p50=1.6199e+04 p99=2.1603e+04 max=2.4543e+04
loco_diag_grad_ratio step=1 full_v:n=10 mean=9.9951e-01 min=9.9950e-01 max=9.9952e-01
step:2/200 train_time:1236ms step_avg:617.95ms
loco_full step=2 v_gram_ema refreshed=0 mean_diag=1.6384e+04 min=1.2373e+04 p01=1.3093e+04 p50=1.6199e+04 p99=2.1603e+04 max=2.4543e+04
loco_diag_grad_ratio step=2 full_v:n=10 mean=9.9899e-01 min=9.9896e-01 max=9.9902e-01
step:3/200 train_time:1775ms step_avg:591.79ms
step:4/200 train_time:2244ms step_avg:560.90ms
step:5/200 train_time:2786ms step_avg:557.13ms
step:6/200 train_time:3332ms step_avg:555.32ms
step:7/200 train_time:3879ms step_avg:554.14ms
step:8/200 train_time:4420ms step_avg:552.47ms
step:9/200 train_time:5104ms step_avg:567.06ms
step:10/200 train_time:5568ms step_avg:556.84ms
loco_full step=10 v_gram_ema refreshed=0 mean_diag=1.6384e+04 min=1.1883e+04 p01=1.2810e+04 p50=1.6190e+04 p99=2.1524e+04 max=2.4844e+04
loco_diag_grad_ratio step=10 full_v:n=10 mean=9.9517e-01 min=9.9467e-01 max=9.9593e-01
step:11/200 train_time:6239ms step_avg:567.16ms
step:12/200 train_time:6799ms step_avg:566.59ms
step:13/200 train_time:7423ms step_avg:570.99ms
step:14/200 train_time:7987ms step_avg:570.53ms
step:15/200 train_time:8551ms step_avg:570.05ms
step:16/200 train_time:9114ms step_avg:569.65ms
step:17/200 train_time:9853ms step_avg:579.61ms
step:18/200 train_time:10393ms step_avg:577.40ms
step:19/200 train_time:10985ms step_avg:578.15ms
step:20/200 train_time:11566ms step_avg:578.32ms
step:21/200 train_time:12148ms step_avg:578.48ms
step:22/200 train_time:12736ms step_avg:578.91ms
step:23/200 train_time:13315ms step_avg:578.90ms
