[Gloo] Rank 0 is connected to 0 peer ranks. Expected number of connected peer ranks is : 0
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 4184.89it/s]
logs/1cda5e6d-143a-4a4f-a06f-b0e2c8683321.txt
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 8, 16, 24, 32, 40, 48, 56, 64, 65, 66, 67, 68, 72, 80, 88, 96, 104, 112, 120, 128, 131, 132, 133, 134, 136, 144, 152, 160, 168, 176, 184, 192, 198, 199, 200] for warmup
loco_full step=0 v_gram_ema refreshed=1 mean_diag=1.6384e+04 min=1.2449e+04 p01=1.3210e+04 p50=1.6101e+04 p99=2.3226e+04 max=2.6902e+04
loco_full step=1 v_gram_ema refreshed=0 mean_diag=1.6384e+04 min=1.2449e+04 p01=1.3210e+04 p50=1.6101e+04 p99=2.3226e+04 max=2.6902e+04
loco_diag_grad_ratio step=1 full_v:n=10 mean=9.9952e-01 min=9.9951e-01 max=9.9953e-01
/usr/local/lib/python3.10/dist-packages/torch/_inductor/compile_fx.py:321: UserWarning: TensorFloat32 tensor cores for float32 matrix multiplication available but not enabled. Consider setting `torch.set_float32_matmul_precision('high')` for better performance.
  warnings.warn(
[rank0]:W0526 21:16:59.666000 9109 torch/_inductor/select_algorithm.py:2387] [0/13] Constructing input/output tensor meta failed for Extern Choice
[rank0]:W0526 21:16:59.799000 9109 torch/_inductor/select_algorithm.py:2387] [0/13] Constructing input/output tensor meta failed for Extern Choice
[rank0]:W0526 21:16:59.921000 9109 torch/_inductor/select_algorithm.py:2387] [0/13] Constructing input/output tensor meta failed for Extern Choice
[rank0]:W0526 21:17:00.052000 9109 torch/_inductor/select_algorithm.py:2387] [0/13] Constructing input/output tensor meta failed for Extern Choice
[rank0]:W0526 21:17:00.170000 9109 torch/_inductor/select_algorithm.py:2387] [0/13] Constructing input/output tensor meta failed for Extern Choice
[rank0]:W0526 21:17:00.325000 9109 torch/_inductor/select_algorithm.py:2387] [0/13] Constructing input/output tensor meta failed for Extern Choice
Resetting Model
step:0/200 val_loss:10.8323 train_time:0ms step_avg:0.05ms
loco_full step=0 v_gram_ema refreshed=1 mean_diag=1.6384e+04 min=1.2449e+04 p01=1.3210e+04 p50=1.6101e+04 p99=2.3226e+04 max=2.6902e+04
step:1/200 train_time:529ms step_avg:528.95ms
loco_full step=1 v_gram_ema refreshed=0 mean_diag=1.6384e+04 min=1.2449e+04 p01=1.3210e+04 p50=1.6101e+04 p99=2.3226e+04 max=2.6902e+04
loco_diag_grad_ratio step=1 full_v:n=10 mean=9.9952e-01 min=9.9951e-01 max=9.9953e-01
step:2/200 train_time:1007ms step_avg:503.53ms
loco_full step=2 v_gram_ema refreshed=0 mean_diag=1.6384e+04 min=1.2449e+04 p01=1.3210e+04 p50=1.6101e+04 p99=2.3226e+04 max=2.6902e+04
loco_diag_grad_ratio step=2 full_v:n=10 mean=9.9903e-01 min=9.9901e-01 max=9.9905e-01
step:3/200 train_time:1478ms step_avg:492.74ms
step:4/200 train_time:1870ms step_avg:467.51ms
step:5/200 train_time:2332ms step_avg:466.42ms
step:6/200 train_time:2904ms step_avg:484.05ms
step:7/200 train_time:3471ms step_avg:495.92ms
step:8/200 train_time:4024ms step_avg:502.94ms
step:9/200 train_time:4698ms step_avg:521.99ms
step:10/200 train_time:5117ms step_avg:511.69ms
loco_full step=10 v_gram_ema refreshed=0 mean_diag=1.6384e+04 min=1.1649e+04 p01=1.3071e+04 p50=1.6036e+04 p99=2.2703e+04 max=2.7592e+04
loco_diag_grad_ratio step=10 full_v:n=10 mean=9.9516e-01 min=9.9437e-01 max=9.9596e-01
step:11/200 train_time:5708ms step_avg:518.89ms
step:12/200 train_time:6148ms step_avg:512.35ms
step:13/200 train_time:6685ms step_avg:514.22ms
step:14/200 train_time:7221ms step_avg:515.76ms
step:15/200 train_time:7763ms step_avg:517.53ms
step:16/200 train_time:8305ms step_avg:519.05ms
step:17/200 train_time:8998ms step_avg:529.27ms
step:18/200 train_time:9369ms step_avg:520.48ms
step:19/200 train_time:9945ms step_avg:523.40ms
step:20/200 train_time:10542ms step_avg:527.09ms
step:21/200 train_time:11116ms step_avg:529.32ms
step:22/200 train_time:11685ms step_avg:531.13ms
step:23/200 train_time:12231ms step_avg:531.76ms
step:24/200 train_time:12765ms step_avg:531.87ms
step:25/200 train_time:13440ms step_avg:537.59ms
step:26/200 train_time:13853ms step_avg:532.80ms
step:27/200 train_time:14403ms step_avg:533.46ms
step:28/200 train_time:14954ms step_avg:534.06ms
step:29/200 train_time:15516ms step_avg:535.04ms
step:30/200 train_time:16080ms step_avg:536.01ms
step:31/200 train_time:16638ms step_avg:536.72ms
step:32/200 train_time:17161ms step_avg:536.29ms
