family	last_step	last_val	total	name	path
3250 schedule	3250	3.28369	3250	seedlog/modal_3250_seed400	/Users/progyan/speedrun/wr-fresh-20260526/.opencode/track3_locom_seed_logs/modal_3250_seed400.log
PR287 cap0.20 suffix	3025	3.29725	3030	suffix/s3030-pr2873065-cap020_ap-ESCBCX09CLtifBrkufpDT5	/Users/progyan/speedrun/wr-fresh-20260526/.opencode/suffix_final_logs_20260601/s3030-pr2873065-cap020_ap-ESCBCX09CLtifBrkufpDT5.log
Prime long run	3325	3.27973	3350	prime/final_track3_simple_locom_seed300/root/prime_track3_logs/track3_simple_locom_prime_b_target328_seed300	/Users/progyan/speedrun/wr-fresh-20260526/.opencode/prime_run_snapshots_20260601/final_track3_simple_locom_seed300/root/prime_track3_logs/track3_simple_locom_prime_b_target328_seed300.log
Prime long run	3350	3.28038	3350	prime/final_track3_simple_locom_seed200/root/prime_track3_logs/track3_simple_locom_prime_a_target328_seed200	/Users/progyan/speedrun/wr-fresh-20260526/.opencode/prime_run_snapshots_20260601/final_track3_simple_locom_seed200/root/prime_track3_logs/track3_simple_locom_prime_a_target328_seed200.log
current cap-window	2500	3.36171	3100	live/capwin3100_ap-2jVszraxi9ZJJG8r0sKWZD	/Users/progyan/speedrun/wr-fresh-20260526/.opencode/live_logs_20260601/capwin3100_ap-2jVszraxi9ZJJG8r0sKWZD.log
no LocoProp late	3100	3.29267	3100	suffix/s3100-linear-no-late-locom_ap-0wXGZcfvVOjT6HM7SNZZZo	/Users/progyan/speedrun/wr-fresh-20260526/.opencode/suffix_final_logs_20260601/s3100-linear-no-late-locom_ap-0wXGZcfvVOjT6HM7SNZZZo.log
original 3100	3100	3.29066	3100	seedlog/modal_3100_seed400	/Users/progyan/speedrun/wr-fresh-20260526/.opencode/track3_locom_seed_logs/modal_3100_seed400.log
other	2875	3.30866	3030	suffix/s3030-pr2873100-cap020_ap-qjxBh8oWe5sv5ciC8Is66I	/Users/progyan/speedrun/wr-fresh-20260526/.opencode/suffix_final_logs_20260601/s3030-pr2873100-cap020_ap-qjxBh8oWe5sv5ciC8Is66I.log
other	2875	3.31271	3030	suffix/s3030-linear-floor012-cap020_ap-KtxcN0v55IqDAxkvYD4q1c	/Users/progyan/speedrun/wr-fresh-20260526/.opencode/suffix_final_logs_20260601/s3030-linear-floor012-cap020_ap-KtxcN0v55IqDAxkvYD4q1c.log
other	2900	3.30675	3030	suffix/s3030-linear-floor008-nolate_ap-IO90Av4ImKhO8l6Azni83w	/Users/progyan/speedrun/wr-fresh-20260526/.opencode/suffix_final_logs_20260601/s3030-linear-floor008-nolate_ap-IO90Av4ImKhO8l6Azni83w.log
other	2925	3.30477	3030	suffix/s3030-linear-floor008-cap020_ap-U80DH4VfTAfsH8a3JcB6f4	/Users/progyan/speedrun/wr-fresh-20260526/.opencode/suffix_final_logs_20260601/s3030-linear-floor008-cap020_ap-U80DH4VfTAfsH8a3JcB6f4.log
other	2950	3.30368	3100	suffix/s3100-linear-floor008-nolate_ap-EqVhA57Tnyy6CYcOZDB40j	/Users/progyan/speedrun/wr-fresh-20260526/.opencode/suffix_final_logs_20260601/s3100-linear-floor008-nolate_ap-EqVhA57Tnyy6CYcOZDB40j.log
other	3025	3.29694	3100	suffix/s3100-linear-cap050_ap-MwGHUkQwA5zKHkDUdNTY11	/Users/progyan/speedrun/wr-fresh-20260526/.opencode/suffix_final_logs_20260601/s3100-linear-cap050_ap-MwGHUkQwA5zKHkDUdNTY11.log
other	3025	3.29737	3030	suffix/s3030-pr2873065-cap050_ap-cCqNWnVkhHjj4PQLo5PAAG	/Users/progyan/speedrun/wr-fresh-20260526/.opencode/suffix_final_logs_20260601/s3030-pr2873065-cap050_ap-cCqNWnVkhHjj4PQLo5PAAG.log
other	3030	3.29696	3030	suffix/s3030-linear-cap020_ap-mlYvGiAAXPeRD0HomuoSTy	/Users/progyan/speedrun/wr-fresh-20260526/.opencode/suffix_final_logs_20260601/s3030-linear-cap020_ap-mlYvGiAAXPeRD0HomuoSTy.log
other	3030	3.29714	3030	suffix/s3030-linear-cap050_ap-2yxnsm1GC3AGkvEVbAupsz	/Users/progyan/speedrun/wr-fresh-20260526/.opencode/suffix_final_logs_20260601/s3030-linear-cap050_ap-2yxnsm1GC3AGkvEVbAupsz.log
other	3350	3.28003	3350	modal_track3_locom_m_all_k4_8xh100_mbs16_target328_r1_20260531	/Users/progyan/speedrun/wr-fresh-20260526/.opencode/modal_track3_locom_m_all_k4_8xh100_mbs16_target328_r1_20260531.launch.log
