latest_step	latest_loss	label	seed	path
3350	3.28003	modal_track3_locom_m_all_k4_8xh100_mbs16_target328_r1_20260531		.opencode/modal_track3_locom_m_all_k4_8xh100_mbs16_target328_r1_20260531.launch.log
3250	3.28369	modal_3250_seed400	400	.opencode/track3_locom_seed_logs/modal_3250_seed400.log
3100	3.29066	modal_3100_seed400	400	.opencode/track3_locom_seed_logs/modal_3100_seed400.log
3100	3.29267	s3100-linear-no-late-locom_ap-0wXGZcfvVOjT6HM7SNZZZo	400	.opencode/suffix_final_logs_20260601/s3100-linear-no-late-locom_ap-0wXGZcfvVOjT6HM7SNZZZo.log
3030	3.29696	s3030-linear-cap020_ap-mlYvGiAAXPeRD0HomuoSTy	400	.opencode/suffix_final_logs_20260601/s3030-linear-cap020_ap-mlYvGiAAXPeRD0HomuoSTy.log
3030	3.29714	s3030-linear-cap050_ap-2yxnsm1GC3AGkvEVbAupsz	400	.opencode/suffix_final_logs_20260601/s3030-linear-cap050_ap-2yxnsm1GC3AGkvEVbAupsz.log
3025	3.29694	s3100-linear-cap050_ap-MwGHUkQwA5zKHkDUdNTY11	400	.opencode/suffix_final_logs_20260601/s3100-linear-cap050_ap-MwGHUkQwA5zKHkDUdNTY11.log
3025	3.29725	s3030-pr2873065-cap020_ap-ESCBCX09CLtifBrkufpDT5	400	.opencode/suffix_final_logs_20260601/s3030-pr2873065-cap020_ap-ESCBCX09CLtifBrkufpDT5.log
3025	3.29737	s3030-pr2873065-cap050_ap-cCqNWnVkhHjj4PQLo5PAAG	400	.opencode/suffix_final_logs_20260601/s3030-pr2873065-cap050_ap-cCqNWnVkhHjj4PQLo5PAAG.log
2950	3.30368	s3100-linear-floor008-nolate_ap-EqVhA57Tnyy6CYcOZDB40j	400	.opencode/suffix_final_logs_20260601/s3100-linear-floor008-nolate_ap-EqVhA57Tnyy6CYcOZDB40j.log
2925	3.30477	s3030-linear-floor008-cap020_ap-U80DH4VfTAfsH8a3JcB6f4	400	.opencode/suffix_final_logs_20260601/s3030-linear-floor008-cap020_ap-U80DH4VfTAfsH8a3JcB6f4.log
2900	3.30675	s3030-linear-floor008-nolate_ap-IO90Av4ImKhO8l6Azni83w	400	.opencode/suffix_final_logs_20260601/s3030-linear-floor008-nolate_ap-IO90Av4ImKhO8l6Azni83w.log
2875	3.30866	s3030-pr2873100-cap020_ap-qjxBh8oWe5sv5ciC8Is66I	400	.opencode/suffix_final_logs_20260601/s3030-pr2873100-cap020_ap-qjxBh8oWe5sv5ciC8Is66I.log
2875	3.31271	s3030-linear-floor012-cap020_ap-KtxcN0v55IqDAxkvYD4q1c	400	.opencode/suffix_final_logs_20260601/s3030-linear-floor012-cap020_ap-KtxcN0v55IqDAxkvYD4q1c.log
1250	3.57726	modal_3250_seed500	500	.opencode/track3_locom_seed_logs/modal_3250_seed500.log
500	3.74855	modal_track3_locom_m_all_k4_mbs16_500_confirm_r2_h100_20260531		.opencode/modal_track3_locom_m_all_k4_mbs16_500_confirm_r2_h100_20260531.launch.log
