label	step	loss	delta_vs_prime_mean
Modal3000 seed1000	125	4.64597	-0.001845
Modal3000 seed1000	250	4.11253	0.004270
Modal3000 seed1000	375	3.93143	0.002630
Modal3000 seed1100	125	4.65326	0.005445
Modal3000 seed1100	250	4.11034	0.002080
Modal3000 seed1100	375	3.92905	0.000250
Modal3000 seed1200	125	4.63377	-0.014045
Modal3000 seed1200	250	4.11335	0.005090
Modal3000 seed1200	375	3.92993	0.001130
Modal3000 seed1300	125	4.64551	-0.002305
Modal3000 seed1300	250	4.10838	0.000120
Modal3000 seed1400	125	4.66014	0.012325
Modal3000 seed1400	250	4.11732	0.009060
Modal3000 seed1500	125	4.65656	0.008745
Modal3000 seed1500	250	4.11346	0.005200
Modal3000 seed900	125	4.64812	0.000305
Modal3000 seed900	250	4.11286	0.004600
Modal3000 seed900	375	3.92871	-0.000090
Modal3100 seed400	125	4.65254	0.004725
Modal3100 seed400	250	4.11702	0.008760
Modal3100 seed400	375	3.93393	0.005130
Modal3100 seed400	500	3.82902	0.001635
Modal3100 seed400	625	3.76108	0.002665
Modal3100 seed400	750	3.71211	0.000470
Modal3100 seed400	875	3.67229	-0.000165
Modal3100 seed400	1000	3.63751	-0.001500
Modal3100 seed400	1125	3.60363	-0.009405
Modal3100 seed400	1250	3.57351	-0.007875
Modal3100 seed400	1375	3.54449	-0.009960
Modal3100 seed400	1500	3.51766	-0.009230
Modal3100 seed400	1625	3.49769	-0.010450
Modal3100 seed400	1750	3.47400	-0.010975
Modal3100 seed400	1875	3.45382	-0.011195
Modal3100 seed400	2000	3.43303	-0.013350
Modal3100 seed400	2125	3.41412	-0.014530
Modal3100 seed400	2250	3.39504	-0.015725
Modal3100 seed400	2375	3.37766	-0.016810
Modal3100 seed400	2500	3.35990	-0.018435
Modal3100 seed400	2625	3.34224	-0.018515
Modal3100 seed400	2750	3.32528	-0.019430
Modal3100 seed400	2800	3.31815	
Modal3100 seed400	2825	3.31559	
Modal3100 seed400	2850	3.31248	
Modal3100 seed400	2875	3.30966	-0.018985
Modal3100 seed400	2900	3.30680	
Modal3100 seed400	2925	3.30379	
Modal3100 seed400	2950	3.30127	
Modal3100 seed400	2975	3.29885	
Modal3100 seed400	3000	3.29672	-0.016080
