label	step	val_loss
WR source mean	125	4.51583
WR source mean	250	4.05577
WR source mean	375	3.90701
WR source mean	500	3.82515
WR source mean	625	3.77195
WR source mean	750	3.73640
WR source mean	875	3.69573
WR source mean	1000	3.65493
WR source mean	1125	3.62872
WR source mean	1250	3.59611
WR source mean	1375	3.56948
WR source mean	1500	3.53872
WR source mean	1625	3.51663
WR source mean	1750	3.48916
WR source mean	1875	3.46209
WR source mean	2000	3.43519
WR source mean	2125	3.41101
WR source mean	2250	3.38693
WR source mean	2375	3.36512
WR source mean	2500	3.34377
WR source mean	2625	3.32395
WR source mean	2750	3.30654
WR source mean	2875	3.29183
WR source mean	3000	3.28096
WR source mean	3010	3.28024
WR source mean	3020	3.27960
WR source mean	3030	3.27901
WR source mean	3040	3.27850
lead seed stop1600+PR287	0	10.82580
lead seed stop1600+PR287	125	4.64611
lead seed stop1600+PR287	250	4.11183
lead seed stop1600+PR287	375	3.92924
lead seed stop1600+PR287	500	3.82259
lead seed stop1600+PR287	625	3.75622
lead seed stop1600+PR287	750	3.71019
lead seed stop1600+PR287	875	3.67175
lead seed stop1600+PR287	1000	3.63361
lead seed stop1600+PR287	1125	3.60412
lead seed stop1600+PR287	1250	3.57134
lead seed stop1600+PR287	1375	3.54476
lead seed stop1600+PR287	1500	3.51805
lead seed stop1600+PR287	1625	3.49718
lead seed stop1600+PR287	1750	3.47255
lead seed stop1600+PR287	1875	3.44775
lead seed stop1600+PR287	2000	3.42485
lead seed stop1600+PR287	2125	3.40419
lead seed stop1600+PR287	2250	3.38332
lead seed stop1600+PR287	2375	3.36462
lead seed stop1600+PR287	2500	3.34646
lead seed stop1600+PR287	2625	3.32907
lead seed stop1600+PR287	2750	3.31391
lead seed stop1600+PR287	2800	3.30849
lead seed stop1600+PR287	2825	3.30611
lead seed stop1600+PR287	2850	3.30396
lead seed stop1600+PR287	2875	3.30185
lead seed stop1600+PR287	2900	3.29978
lead seed stop1600+PR287	2925	3.29786
lead seed stop1600+PR287	2950	3.29625
lead seed stop1600+PR287	2975	3.29488
lead seed stop1600+PR287	3000	3.29374
lead seed stop1600+PR287	3025	3.29278
lead seed stop1600+PR287	3050	3.29225
lead seed stop1600+PR287	3075	3.29218
lead seed stop1600+PR287	3100	3.29218
live blend 1900->2400	1600	3.48242
live blend 1900->2400	1625	3.48020
live blend 1900->2400	1650	3.47485
live blend 1900->2400	1675	3.47067
live blend 1900->2400	1700	3.46682
live blend 1900->2400	1725	3.46284
live blend 1900->2400	1750	3.45903
live blend 1900->2400	1775	3.45641
live blend 1900->2400	1800	3.44962
live blend 1900->2400	1825	3.44602
live blend 1900->2400	1850	3.44361
live blend 1900->2400	1875	3.43827
live blend 1900->2400	1900	3.43428
live blend 1900->2400	1925	3.43036
live blend 1900->2400	1950	3.42770
live blend 1900->2400	1975	3.42412
live blend 1900->2400	2000	3.42047
live blend 1900->2400	2025	3.41760
live blend 1900->2400	2050	3.41554
live blend 1900->2400	2075	3.41330
live blend 1900->2400	2100	3.40980
live blend 1900->2400	2125	3.40724
live blend 1900->2400	2150	3.40385
live blend 1900->2400	2175	3.40130
live blend 1900->2400	2200	3.39797
live blend 1900->2400	2225	3.39661
live blend 1900->2400	2250	3.39374
live blend 1900->2400	2275	3.38974
live blend 1900->2400	2300	3.38716
live blend 1900->2400	2325	3.38456
live blend 1900->2400	2350	3.38188
live blend 1900->2400	2375	3.37770
live blend 1900->2400	2400	3.37339
live blend 1900->2400	2425	3.37007
live blend 1900->2400	2450	3.36573
live blend 1900->2400	2475	3.36300
live blend 1900->2400	2500	3.35947
live blend 1900->2400	2525	3.35619
live blend 1900->2400	2550	3.35198
live blend 1900->2400	2575	3.34790
live blend 1900->2400	2600	3.34461
live blend 1900->2400	2625	3.34079
live blend 1900->2400	2650	3.33706
live blend 1900->2400	2675	3.33317
live blend 1900->2400	2700	3.33033
live blend 1900->2400	2725	3.32720
live blend 1900->2400	2750	3.32382
live blend 1900->2400	2775	3.32039
live blend 1900->2400	2800	3.31710
live blend 1900->2400	2825	3.31449
live blend 1900->2400	2850	3.31197
live blend 1900->2400	2875	3.30950
live blend 1900->2400	2900	3.30704
live blend 1900->2400	2925	3.30448
live blend 1900->2400	2950	3.30244
live blend 1900->2400	2975	3.30058
live blend 1900->2400	3000	3.29892
live blend 2000->2400	1600	3.48242
live blend 2000->2400	1625	3.48026
live blend 2000->2400	1650	3.47517
live blend 2000->2400	1675	3.47072
live blend 2000->2400	1700	3.46653
live blend 2000->2400	1725	3.46175
live blend 2000->2400	1750	3.45914
live blend 2000->2400	1775	3.45656
live blend 2000->2400	1800	3.44963
live blend 2000->2400	1825	3.44610
live blend 2000->2400	1850	3.44359
live blend 2000->2400	1875	3.43843
live blend 2000->2400	1900	3.43442
live blend 2000->2400	1925	3.43039
live blend 2000->2400	1950	3.42742
live blend 2000->2400	1975	3.42358
live blend 2000->2400	2000	3.41930
live blend 2000->2400	2025	3.41577
live blend 2000->2400	2050	3.41304
live blend 2000->2400	2075	3.41029
live blend 2000->2400	2100	3.40658
live blend 2000->2400	2125	3.40391
live blend 2000->2400	2150	3.40072
live blend 2000->2400	2175	3.39840
live blend 2000->2400	2200	3.39522
live blend 2000->2400	2225	3.39421
live blend 2000->2400	2250	3.39173
live blend 2000->2400	2275	3.38812
live blend 2000->2400	2300	3.38583
live blend 2000->2400	2325	3.38359
live blend 2000->2400	2350	3.38116
live blend 2000->2400	2375	3.37716
live blend 2000->2400	2400	3.37301
live blend 2000->2400	2425	3.36986
live blend 2000->2400	2450	3.36563
live blend 2000->2400	2475	3.36290
live blend 2000->2400	2500	3.35942
live blend 2000->2400	2525	3.35628
live blend 2000->2400	2550	3.35204
live blend 2000->2400	2575	3.34800
live blend 2000->2400	2600	3.34475
live blend 2000->2400	2625	3.34091
live blend 2000->2400	2650	3.33719
live blend 2000->2400	2675	3.33330
live blend 2000->2400	2700	3.33044
live blend 2000->2400	2725	3.32731
live blend 2000->2400	2750	3.32394
live blend 2000->2400	2775	3.32050
live blend 2000->2400	2800	3.31720
live blend 2000->2400	2825	3.31460
live blend 2000->2400	2850	3.31209
live blend 2000->2400	2875	3.30963
live blend 2000->2400	2900	3.30715
live blend 2000->2400	2925	3.30458
live blend 2000->2400	2950	3.30253
live blend 2000->2400	2975	3.30069
live blend 2000->2400	3000	3.29903
live blend 2000->2600	1600	3.48242
live blend 2000->2600	1625	3.47974
live blend 2000->2600	1650	3.47471
live blend 2000->2600	1675	3.47086
live blend 2000->2600	1700	3.46690
live blend 2000->2600	1725	3.46223
live blend 2000->2600	1750	3.45903
live blend 2000->2600	1775	3.45659
live blend 2000->2600	1800	3.44919
live blend 2000->2600	1825	3.44609
live blend 2000->2600	1850	3.44355
live blend 2000->2600	1875	3.43905
live blend 2000->2600	1900	3.43442
live blend 2000->2600	1925	3.43038
live blend 2000->2600	1950	3.42742
live blend 2000->2600	1975	3.42340
live blend 2000->2600	2000	3.41919
live blend 2000->2600	2025	3.41568
live blend 2000->2600	2050	3.41287
live blend 2000->2600	2075	3.40988
live blend 2000->2600	2100	3.40577
live blend 2000->2600	2125	3.40253
live blend 2000->2600	2150	3.39885
live blend 2000->2600	2175	3.39606
live blend 2000->2600	2200	3.39238
live blend 2000->2600	2225	3.39074
live blend 2000->2600	2250	3.38796
live blend 2000->2600	2275	3.38405
live blend 2000->2600	2300	3.38161
live blend 2000->2600	2325	3.37919
live blend 2000->2600	2350	3.37688
live blend 2000->2600	2375	3.37327
live blend 2000->2600	2400	3.36955
live blend 2000->2600	2425	3.36684
live blend 2000->2600	2450	3.36316
live blend 2000->2600	2475	3.36091
live blend 2000->2600	2500	3.35782
live blend 2000->2600	2525	3.35498
live blend 2000->2600	2550	3.35108
live blend 2000->2600	2575	3.34733
live blend 2000->2600	2600	3.34423
live blend 2000->2600	2625	3.34048
live blend 2000->2600	2650	3.33686
live blend 2000->2600	2675	3.33301
live blend 2000->2600	2700	3.33018
live blend 2000->2600	2725	3.32710
live blend 2000->2600	2750	3.32375
live blend 2000->2600	2775	3.32035
live blend 2000->2600	2800	3.31707
live blend 2000->2600	2825	3.31448
live blend 2000->2600	2850	3.31197
live blend 2000->2600	2875	3.30953
