track3_locom_runner source=records/track_3_optimization/train_gpt_simple.py generated=/home/ubuntu/prime_track3_logs/track3_from2400_wr3105p120_hold2450_fade2750_seed3710_train_gpt_simple_locom.py steps=3000 trials=1 nproc=1 mbs=16 trial_arg_mode=positional-count
track3_locom_source_sha source=3191da541544c96aa4a4a9dfdde8a8e1fa674620583b69c61f10818c74c1436b generator=6c530bfd8a9d1e502d46102bdc30a534e0270ca62de581e264c299f9d5e58bcb generated=05d786f5f6a0540973dd64eac1d0fb4c768dcc2d614af4a5a51dff6dcce081cf
logs/4f6f030d-15a5-428a-bbdc-745f2e7690b0.txt
track3_trial_seed=3710 trial=0
locoprop_m_owner rank=0 world=1 owned_layers=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] sample_tokens=1024 gather_samples=True accum_samples=False micro_sample_tokens=32 aux_capture=False aux_seqs=16 batched_prep=False
track3_checkpoint_loaded path:/home/ubuntu/.cache/track3_checkpoints/track3_short2000_wr3105p120_mult035_hold2400_seed3710_step2400.pt step:2400 seed:3710 val_loss:None load_optimizers:True
track3_resume_advanced_data steps:2400
step:2400/3000 val_loss:3.34502 train_time:0.000s step_avg:nanms
step:2401/3000 train_time:15.961s step_avg:6.65ms
step:2402/3000 train_time:22.735s step_avg:9.46ms
step:2403/3000 train_time:29.514s step_avg:12.28ms
step:2404/3000 train_time:36.296s step_avg:15.10ms
step:2405/3000 train_time:43.080s step_avg:17.91ms
step:2406/3000 train_time:49.862s step_avg:20.72ms
step:2407/3000 train_time:56.646s step_avg:23.53ms
step:2408/3000 train_time:63.431s step_avg:26.34ms
step:2409/3000 train_time:70.215s step_avg:29.15ms
step:2410/3000 train_time:77.001s step_avg:31.95ms
step:2411/3000 train_time:83.789s step_avg:34.75ms
step:2412/3000 train_time:90.574s step_avg:37.55ms
step:2413/3000 train_time:97.363s step_avg:40.35ms
step:2414/3000 train_time:104.153s step_avg:43.15ms
step:2415/3000 train_time:110.944s step_avg:45.94ms
step:2416/3000 train_time:117.735s step_avg:48.73ms
step:2417/3000 train_time:124.528s step_avg:51.52ms
step:2418/3000 train_time:131.318s step_avg:54.31ms
step:2419/3000 train_time:138.109s step_avg:57.09ms
step:2420/3000 train_time:144.901s step_avg:59.88ms
step:2421/3000 train_time:151.693s step_avg:62.66ms
step:2422/3000 train_time:158.483s step_avg:65.43ms
step:2423/3000 train_time:165.272s step_avg:68.21ms
step:2424/3000 train_time:172.063s step_avg:70.98ms
step:2425/3000 train_time:178.855s step_avg:73.75ms
step:2425/3000 val_loss:3.34337 train_time:178.856s step_avg:7154.22ms
step:2426/3000 train_time:185.647s step_avg:76.52ms
step:2427/3000 train_time:192.442s step_avg:79.29ms
step:2428/3000 train_time:199.234s step_avg:82.06ms
step:2429/3000 train_time:206.025s step_avg:84.82ms
step:2430/3000 train_time:212.816s step_avg:87.58ms
step:2431/3000 train_time:219.609s step_avg:90.34ms
step:2432/3000 train_time:226.400s step_avg:93.09ms
step:2433/3000 train_time:233.192s step_avg:95.85ms
step:2434/3000 train_time:239.983s step_avg:98.60ms
step:2435/3000 train_time:246.774s step_avg:101.34ms
step:2436/3000 train_time:253.564s step_avg:104.09ms
step:2437/3000 train_time:260.356s step_avg:106.83ms
step:2438/3000 train_time:267.148s step_avg:109.58ms
step:2439/3000 train_time:273.940s step_avg:112.32ms
step:2440/3000 train_time:280.734s step_avg:115.06ms
step:2441/3000 train_time:287.525s step_avg:117.79ms
step:2442/3000 train_time:294.317s step_avg:120.52ms
step:2443/3000 train_time:301.107s step_avg:123.25ms
step:2444/3000 train_time:307.899s step_avg:125.98ms
step:2445/3000 train_time:314.689s step_avg:128.71ms
step:2446/3000 train_time:321.480s step_avg:131.43ms
step:2447/3000 train_time:328.271s step_avg:134.15ms
step:2448/3000 train_time:335.065s step_avg:136.87ms
