track3_locom_runner source=records/track_3_optimization/train_gpt_simple.py generated=/root/prime_track3_logs/track3_locom_orthogonal_seed3704_t500_h3000_20260604_train_gpt_simple_locom.py steps=500 trials=1 nproc=1 mbs=64 trial_arg_mode=positional-count
track3_locom_source_sha source=3191da541544c96aa4a4a9dfdde8a8e1fa674620583b69c61f10818c74c1436b generator=6c530bfd8a9d1e502d46102bdc30a534e0270ca62de581e264c299f9d5e58bcb generated=ff87e64b59da6edb55003ecde6c52f77746de9c06581bd238dda58fbf34e83a9
logs/65566613-c73b-4433-b90e-37235806cc48.txt
track3_trial_seed=3704 trial=0
locoprop_m_owner rank=0 world=1 owned_layers=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] sample_tokens=2048 gather_samples=True accum_samples=False micro_sample_tokens=32 aux_capture=True aux_seqs=16 batched_prep=True
step:0/500 val_loss:10.82583 train_time:0.000s step_avg:nanms
locoprop_m_prepare step=0 l0:loss0=1.428e-06,lossK=6.404e-02,corr_norm=1.002e+01,grad_norm=1.000e-12,raw_cos_desc=0.000,cos_desc=0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1 | l1:loss0=1.412e-06,lossK=6.851e-02,corr_norm=1.096e+01,grad_norm=1.000e-12,raw_cos_desc=0.000,cos_desc=0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1 | l2:loss0=1.395e-06,lossK=3.485e-02,corr_norm=7.771e+00,grad_norm=1.000e-12,raw_cos_desc=0.000,cos_desc=0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1 | l3:loss0=1.423e-06,lossK=5.617e-02,corr_norm=9.900e+00,grad_norm=1.000e-12,raw_cos_desc=0.000,cos_desc=0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1
locoprop_m_apply step=0 shape=(3072, 768):base_step=0.000e+00,corr_norm=1.002e+01,cap=0.200,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=1.096e+01,cap=0.200,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=7.771e+00,cap=0.200,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=9.900e+00,cap=0.200,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=2.742e+01,cap=0.200,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=9.654e+00,cap=0.200,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=8.834e+00,cap=0.200,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=7.902e+00,cap=0.200,scale=0.000e+00
step:1/500 train_time:23.766s step_avg:23765.82ms
locoprop_m_prepare step=1 l0:loss0=1.409e-06,lossK=2.046e-01,corr_norm=2.021e+01,grad_norm=1.000e-12,raw_cos_desc=0.000,cos_desc=0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1 | l1:loss0=1.408e-06,lossK=7.267e-02,corr_norm=1.179e+01,grad_norm=1.000e-12,raw_cos_desc=0.000,cos_desc=0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1 | l2:loss0=1.403e-06,lossK=1.231e-01,corr_norm=1.525e+01,grad_norm=1.000e-12,raw_cos_desc=0.000,cos_desc=0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1 | l3:loss0=1.408e-06,lossK=6.133e-02,corr_norm=1.068e+01,grad_norm=1.000e-12,raw_cos_desc=0.000,cos_desc=0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1
locoprop_m_apply step=1 shape=(3072, 768):base_step=0.000e+00,corr_norm=2.021e+01,cap=0.200,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=1.179e+01,cap=0.200,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=1.525e+01,cap=0.200,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=1.068e+01,cap=0.200,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=1.407e+01,cap=0.200,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=1.342e+01,cap=0.200,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=1.130e+01,cap=0.200,scale=0.000e+00 | shape=(3072, 768):base_step=0.000e+00,corr_norm=7.519e+00,cap=0.200,scale=0.000e+00
step:2/500 train_time:25.029s step_avg:12514.32ms
locoprop_m_prepare step=2 l0:loss0=1.376e-06,lossK=1.787e-01,corr_norm=2.084e+01,grad_norm=2.637e+03,raw_cos_desc=-0.052,cos_desc=-0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1 | l1:loss0=1.430e-06,lossK=3.108e-02,corr_norm=9.505e+00,grad_norm=2.912e+03,raw_cos_desc=-0.088,cos_desc=0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1 | l2:loss0=1.387e-06,lossK=7.783e-02,corr_norm=1.690e+01,grad_norm=3.135e+03,raw_cos_desc=-0.124,cos_desc=-0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1 | l3:loss0=1.408e-06,lossK=3.253e-01,corr_norm=3.975e+01,grad_norm=3.378e+03,raw_cos_desc=-0.132,cos_desc=-0.000,accepted=1,tokens=2048,opt=sgd,mode=orthogonal,batched=1
locoprop_m_apply step=2 shape=(3072, 768):base_step=1.939e+00,corr_norm=2.084e+01,cap=0.200,scale=1.861e-02 | shape=(3072, 768):base_step=1.940e+00,corr_norm=9.505e+00,cap=0.200,scale=4.082e-02 | shape=(3072, 768):base_step=1.940e+00,corr_norm=1.690e+01,cap=0.200,scale=2.295e-02 | shape=(3072, 768):base_step=1.939e+00,corr_norm=3.975e+01,cap=0.200,scale=9.753e-03 | shape=(3072, 768):base_step=1.941e+00,corr_norm=1.397e+02,cap=0.200,scale=2.779e-03 | shape=(3072, 768):base_step=1.940e+00,corr_norm=1.716e+02,cap=0.200,scale=2.261e-03 | shape=(3072, 768):base_step=1.942e+00,corr_norm=5.451e+02,cap=0.200,scale=7.126e-04 | shape=(3072, 768):base_step=1.942e+00,corr_norm=9.884e+02,cap=0.200,scale=3.929e-04
step:3/500 train_time:26.346s step_avg:8782.08ms
step:4/500 train_time:27.667s step_avg:6916.65ms
step:5/500 train_time:28.988s step_avg:5797.60ms
step:6/500 train_time:30.307s step_avg:5051.10ms
step:7/500 train_time:31.633s step_avg:4518.97ms
