locoprop_m_prepare step=10 l0:loss0=4.406e-06,lossK=1.050e+09,corr_norm=1.267e+06,grad_norm=1.906e+04,cos_desc=-0.272,tokens=1024 | l1:loss0=3.152e-06,lossK=6.966e+02,corr_norm=2.162e+03,grad_norm=1.626e+04,cos_desc=-0.085,tokens=1024 | l2:loss0=9.734e-06,lossK=5.527e+13,corr_norm=2.954e+08,grad_norm=2.625e+04,cos_desc=-0.381,tokens=1024 | l3:loss0=3.026e-06,lossK=1.124e+05,corr_norm=3.463e+04,grad_norm=1.618e+04,cos_desc=-0.230,tokens=1024
locoprop_m_apply step=10 shape=(3072, 768):base_step=1.942e+00,corr_norm=1.267e+06,scale=3.066e-07 | shape=(3072, 768):base_step=1.941e+00,corr_norm=2.162e+03,scale=1.796e-04 | shape=(3072, 768):base_step=1.914e+00,corr_norm=2.954e+08,scale=1.296e-09 | shape=(3072, 768):base_step=1.934e+00,corr_norm=3.463e+04,scale=1.117e-05 | shape=(3072, 768):base_step=1.918e+00,corr_norm=4.877e+04,scale=7.865e-06 | shape=(3072, 768):base_step=1.917e+00,corr_norm=4.769e+03,scale=8.039e-05 | shape=(3072, 768):base_step=1.901e+00,corr_norm=3.922e+03,scale=9.694e-05 | shape=(3072, 768):base_step=1.884e+00,corr_norm=2.876e+03,scale=1.310e-04
step:11/3350 train_time:85.542s step_avg:7776.57ms
step:12/3350 train_time:92.393s step_avg:7699.41ms
step:13/3350 train_time:99.244s step_avg:7634.15ms
step:14/3350 train_time:106.099s step_avg:7578.48ms
step:15/3350 train_time:112.962s step_avg:7530.79ms
step:16/3350 train_time:119.819s step_avg:7488.67ms
step:17/3350 train_time:126.679s step_avg:7451.72ms
step:18/3350 train_time:133.539s step_avg:7418.83ms
step:19/3350 train_time:140.396s step_avg:7389.29ms
step:20/3350 train_time:147.248s step_avg:7362.42ms
step:21/3350 train_time:154.104s step_avg:7338.28ms
step:22/3350 train_time:160.970s step_avg:7316.83ms
step:23/3350 train_time:167.824s step_avg:7296.71ms
step:24/3350 train_time:174.673s step_avg:7278.03ms
step:25/3350 train_time:181.528s step_avg:7261.13ms
step:26/3350 train_time:188.375s step_avg:7245.18ms
step:27/3350 train_time:195.219s step_avg:7230.33ms
step:28/3350 train_time:202.059s step_avg:7216.39ms
step:29/3350 train_time:208.899s step_avg:7203.42ms
step:30/3350 train_time:215.740s step_avg:7191.34ms
step:31/3350 train_time:222.582s step_avg:7180.06ms
step:32/3350 train_time:229.423s step_avg:7169.48ms
step:33/3350 train_time:236.269s step_avg:7159.66ms
step:34/3350 train_time:243.108s step_avg:7150.24ms
step:35/3350 train_time:249.964s step_avg:7141.82ms
step:36/3350 train_time:256.806s step_avg:7133.50ms
